"关于","About"
"渲染资产缩略图并将其保存到所选类别中","Renders asset thumbnail and saves it to the selected category"
"保存资产文件","Save Asset File"
"将资产文件保存到所选类别","Save the asset file to the selected category"
"设置/更新资产数据","Set / Update Asset Data"
"所有属性","All Properties"
"未找到属性","No properties found"
"流动资产数据","Flow Asset Data"
"< 无子类别 >","< no subcategory >"
"未设置类别！","No category set!"
"找到资产数据！","Asset data found!"
"无资产数据集","No asset data set"
"资产浏览器类型","Asset Browser Type"
"资产格式","Asset Format"
"信息和警告","Info & Warnings"
"文件未保存","File not saved"
"数据不存在","Data doesn\"
"资产已存在","Asset already exists"
"未找到缩略图","No thumbnail found"
"未找到警告","No warnings found"
"工具架","Toolshelf"
"更新","Update"
"添加新属性","Add New Property"
"为选定对象添加新的自定义属性","Adds new custom property to the selected object"
"属性类型","Type"
"属性类型","Property type"
"默认值","Default value"
"最小值","Min"
"最大值","Max"
"使用软限制","Use soft limits"
"软最小值","Soft Min"
"软上限","Soft Max"
"默认颜色","Default color:"
"警告！此名称的属性已存在！","WARNING! Property with this name already exists!"
"此属性将被替换","This property will be replaced"
"应用属性","Apply Properties"
"将调整后的设置应用于链接实例","Applies the adjusted settings to the linked instance"
"报告图像路径","Report images paths"
"在控制台中打印所有图像路径","All images paths are printed in the console"
"查找丢失的文件","Find Missing Files"
"在 Flow 库中搜索丢失的文件","Search for missing files in Flow Library"
"替换现有文件","Replace existing files"
"尽可能用 Flow 库文件替换现有外部文件","Replace existing external files with Flow library files if possible"
"使其相对","Make Realtive"
"使找到的文件相对","Make found files relative"
"仅在 Flow 库/贴图目录中搜索","Search only in Flow Library/textures"
"仅在 Flow Library/textures 目录中搜索丢失的文件","Search for missing files only in Flow Library/textures directory"
"将对象移至 [0,0,0] 处","Object to [0,0,0]"
"将选定对象移动到坐标系的起点","Move selected objects to the beginning of the coordinate system"
"保存和打开源文件","Save & Open Source File"
"保存当前项目并打开选定实例的源文件","Save the current project and open the source file of a selected instance"
"保存当前文件？","Save current file?"
"保存当前 .blend 文件","Save current .blend file"
"将打开源 .blend 文件！","Source .blend file will be opened!"
"当前进度将丢失","Current progress will be lost"
"原点到楼层","Origin to Floor"
"全部选中","All selected"
"全局变换","Global Transform"
"_temp_cam","_temp_cam"
"将选定对象作为单个资产保存到库中","Save selected objects to the library as a single asset"
"当前目录中的项目","Items in current directory"
"资产渲染样式","Asset Render Style"
"类别名称","Cat. name"
"子名称","Subc. name"
"路径重映射","Path remap"
"选择路径重塑方法","Select the method of path remaping"
"摄像机类型","Camera Type"
"预览渲染时首选的相机类型","Prefered camera type for previews renderings"
"创建唯一标识符","Create Unique ID"
"创建唯一标识符。如果输入了名称，唯一 ID 将作为名称后缀添加。如果没有输入名称，则将由此 ID 取代","Creates unique identifier. If you have entered the name, the unique ID will be added as a name suffix. If you did not enter the name, it will be replaced by this ID"
"应用比例","Apply Scale"
"应用选定对象的比例","Apply selected objects scale"
"应用旋转","Apply Rotation"
"应用选定对象的旋转","Apply selected objects rotation"
"复制名称","Copy name"
"复制选中的项目名称","Copies selected item name"
"纹理路径","Textures paths"
"批量添加选定对象","Batch Add Selected Objects"
"将所有选定对象添加为单独的资产。插件将使用对象名称作为资产名称","Add all selected objects as the separate assets. Plugin will use objects name as the asset name"
"在预览中显示人体姿态","Show Human Posture in preview"
"使用父集合名称","Use Parent Collection Name"
"活动为父对象","Active is Parent"
"当前项目预览","Current items preview"
"此目录中没有项目","No items in this directory"
"资产浏览器的资产类型：","Asset type for Asset Browser:"
"资产浏览器不支持收藏集","Collections are not supported in Asset Browser"
"在 Blender 3.2 以上版本中","in Blender versions older than 3.2"
"资产将使用当前实例名称","Asset will use current instance name"
"资产将使用当前对象名称","Assets will use current objects name"
"操作可能需要一段时间","Operation may take a while"
"路径重映射类型","Path remap type"
"包含所选流程库之外的纹理","Contains textures from outside selected Flow Library"
"未找到所选 Flow 库以外的纹理","No textures from outside selected Flow Library found"
"路径重映射类型","Path Remap Type"
"纹理将被复制到 asset/textures 目录中","Textures will be copied to the asset/textures directory"
"选项","Options"
"摄像机类型","Camera type"
"摄像机角度","Camera Angle"
"资产预览样式","Asset Preview Style"
"警告","Warnings"
"将活动槽中的材料添加到流程库中","Add material from the active slot to the Flow Library"
"留空以保留当前名称","Leave blank to keep the current name"
"预览对象","Preview Object"
"选择创建材质缩略图的对象类型","Select type of object to create your material thumbnail"
"批量添加材质","Batch add materials"
"从选定对象中批量添加材质","Batch add materials from the selected objects"
"预览对象：","Preview object:"
"包含来自 Flow 库外的材质","Contains textures from outside Flow Library"
"未找到来自 Flow 库以外的材质","No textures from outside Flow Library found"
"当前项目","Current items"
"新名称（如果要保留当前名称，则留空）","New name (leave blank if you want to keep current name)"
"光标位置：","Cursor location:"
"清除","Purge"
"相对路径","Relative Paths"
"绝对路径","Absolute Paths"
"原点到 3d 光标","Origin to 3d cursor"
"几何节点","Geometry Nodes"
"添加修改器组","Append Modifier Group"
"类别","Categories"
"选定预设","Selected preset"
"流几何节点","Flow Geometry Nodes"
"所选类别中没有项目","No items in selected category"
"您的资料库中没有项目。请先添加内容！","No items in your library. Add something first!"
"附加节点组","Append Node Group"
"节点组","Groups"
"保存修改器组","Save Modifier Group"
"修改器名称","Modifier name"
"将渲染结果用作图标","Use Render Result as icon"
"保存选定组","Save selected group"
"将选定的节点组添加到库中","Adds selected node group to Library"
"新名称","New name"
"组名称","Group name"
"选定库","Selected Library"
"获取更新","Get the update"
"没有连接任何库","There are no libraries connected"
"图库设置","Library Settings"
"网格编辑","mesh_edit"
"从资料库添加材质","Add Material from Library"
"从 Flow 库中添加选定的材质，并将其链接到插槽或整个对象","Appends selected material from the Flow library and links it to the slot or entire object"
"此类别中没有项目","No items in this category"
"替换模式","Replacement mode"
"取消","Cancel"
"取消当前操作","Cancel the current operator"
"创建属性节点组","Create Property Node Group"
"组名称","Group Name"
"清除组插座","Clear group sockets"
"使用材料名称","Use Material Name"
"FLOW_PropertyNodeGroup 属性节点组","FLOW_PropertyNodeGroup"
"粘贴到位","Paste in place"
"将复制的缓冲区粘贴到 3D 光标处","Pastes copied buffer in the 3d cursor"
"移动到光标","Move to cursor"
"将活动对象捕捉到光标","Snap active object to cursor"
"复制到光标","Duplicate to cursor"
"将活动对象复制到光标","Duplicate active object to cursor"
"向左旋转","Rotate Left"
"将活动对象向左旋转 90 度","Rotate active object 90 degrees left"
"向右旋转","Rotate Right"
"将活动对象向右旋转 90 度","Rotate active object 90 degrees right"
"重置变换","Reset Transformations"
"重置旋转和缩放","Resets rotation & scaling"
"颜色","Color"
"颜色选择器","color picker"
"选定资产","Selected Asset"
"搜索结果","Search Results"
"实例类型","Instance Type"
"删除重复材料","Remove Duplicated Materials"
"来源","Source"
"本地材料","Local Materials"
"搜索结果","Search results"
"材料插槽","Material Slot"
"加载为重复","Load as Duplicate"
"位移","Displacement"
"模式","Mode"
"选定模式","Selected Mode"
"缩略图大小","Thumbnails size"
"所选 HDRi","Selected HDRi"
"节点编辑器","Node Editor"
"从库中添加 IES 纹理","Add IES Texture from Library"
"为当前灯光添加 IES 纹理","Adds IES texture to the current light"
"在库中添加节点组","Add Node Group to Library"
"保存默认值","Save Default Values"
"新名称（留空以保留当前名称）","New name (leave blank to keep the current name)"
"从库中添加纹理","Add Texture from Library"
"为当前材质添加图像纹理","Adds image texture to the current material"
"投影","Projection"
"贴图类型","Map type"
"从目录中加载所有图像","Load all images from the directory"
"将加载的纹理自动连接到选定节点","Auto connect loaded texture to the selected node"
"非彩色","Non-Color"
"胶片日志","Filmic Log"
"预览图像","Preview images"
"地图类型将自动设置","Map type will be set automatically"
"无活动节点","No active node"
"将 Flow 库中的节点组添加到场景中","Appends node group from the Flow Library to your scene"
"节点组","Node Groups"
"库中没有节点组","No groups in your library"
"将纹理复制到图库","Copy Textures to Library"
"将选定的图像纹理复制到库中","Copies selected image texture to the library"
"库名称","Library name"
"创建当前","Make current"
"用 Flow 库路径替换所选纹理路径","Replace selected textures paths with Flow library paths"
"以下纹理可在 Flow 库中找到：","Following textures are found in your Flow Library:"
"添加新材质","Add New Material"
"为选定对象创建新材质","Creates new material for the selected object"
"对象模式","Object Mode"
"flow.asset_painter","flow.asset_painter"
"选择目标","Selection to target"
"鼠标左键运行此函数，执行光线投射","Run this function on left mouse, execute the ray cast"
"循环（对象、矩阵）对（仅限网格）","Loop over (object, matrix) pairs (mesh only)"
"将光线移动到对象空间的光线投射包装器","Wrapper for ray casting that moves the ray into object space"
"在场景中植入选定的资产或对象","Plant selected assets or objects in your scene"
"资产绘制器","Asset Painter"
"集合设置","Collections Settings"
"全部隐藏","Hide all"
"全部显示","Show all"
"使用自定义随机化","Use custom randomization"
"显示属性","Show properties"
"隐藏属性","Hide properties"
"旋转随机化","Rotation Randomization"
"Z","Z"
"Y","Y"
"X","X"
"当前集合中没有对象","No objects in current collection"
"资产源","Asset Source"
"项目","Items"
"收藏","Collection"
"使用目录中的所有项目","Use all items from directory"
"画家收藏","Painter Collection"
"目标","Target"
"绘制资产的目标。如果没有，资产将被放置在任何对象上","Target for painting the asset. If none, the asset will be placed on any object"
"绘制步骤","Draw Step"
"使用活动集合","Use Active Collection"
"在活动的 Blender 集合（而不是新的 Flow_Scene 集合）上绘制新对象","Paints new object on the active Blender collection, instead of new Flow_Scene collection"
"基本比例","Base scale"
"最小比例","Scale min"
"最大比例尺","Scale max"
"使用平板压力","Use Tablet Pressure"
"在选定范围内使用平板压力缩放对象。如果没有适用的平板，将使用默认的随机值","Use tablet pressure for scaling object in selected range. Default random value will be used if no tablet applicable"
"随机化 Z 旋转","Randomize Z Rotation"
"随机化 Y 旋转","Randomize Y Rotation"
"随机化 X 旋转","Randomize X Rotation"
"抓取到面","Snap to face"
"链接对象数据","Linked object data"
"选择是否创建链接对象数据或数据副本，例如网格的数据副本","Select whether to create linked object data or data copy, eg. of meshes"
"方向","Direction"
"画笔大小","Brush Size"
"项目数","Items Count"
"添加到绘图收集","Add to Painter Collection"
"无项目","No items"
"您的资料库中没有项目！","No items in your libary!"
"未找到流量库","No Flow Libraries found"
"没有画家收藏","No painter collections"
"添加项目到收藏","Add item to Collection"
"油漆资产","Paint Asset"
"资产绘制设置","Asset Painter Settings"
"画笔设置","Brush Settings"
"基本比例","Base Scale"
"比例随机化范围","Scale Randomization Range"
"资产方向","Asset Direction"
"是否主要","Is Main"
"隔离","Is Isolated"
"概率","Probability"
"设置为主对象","Set as Main Object"
"将当前对象设置为所选画家集合的主对象","Sets current object as the main object for the selected painter collection"
"显示/隐藏所有","Show / Hide All"
"显示/隐藏所有对象子面板","Show / hide all object subpanels"
"将项目添加到画家收藏","Add item to Painter Collection"
"这是链接集合。不会保存对象！","This is linked collection. Object will not be saved!"
"加载收藏","Load Collection"
"从所选库加载 Flow Asset Painter Collection","Load Flow Asset Painter Collection from the selected Library"
"收藏集","Collections"
"收藏实例化","Collection instancing"
"该库中没有已保存的收藏集","No saved collections in this Library"
"从收藏中删除","Remove from Collection"
"保存收藏集","Save Collection"
"将选定的 Flow Asset Painter 收藏保存到库中","Save the selected Flow Asset Painter Collection to the Library"
"新名称，留空表示保留当前名称","New name, leave blank to keep the current name"
"木地板生成器","Wooden Floor Generator"
"纹理","Texture"
"粗糙度贴图","Roughness map"
"法线贴图","Normal map"
"创建地板！","Create floor!"
"创建木地板","Create Wooden Floor"
"使用选定参数创建木地板，偏移 1/2。警告！仅适用于地板，在墙壁上无法正常工作","Create wooden floor with selected parameters, offset 1/2. WARNING! Works only for the floor, will not work properly on the walls"
"材料名称","Material Name"
"木板长度（厘米）","Plank Length (cm)"
"木板宽度（厘米）","Plank Width (cm)"
"缝隙大小（毫米）","Gap Size (mm)"
"视口颜色","Viewport Color"
"间隙颜色","Gap Color"
"板面粗糙度","Planks roughness"
"反转粗糙度","Invert Roughness"
"板块","Planks"
"创建地板","Create Floor!"
"根据所选参数创建木地板","Creates wooden floor with selected parameters"
"FLOW_Procedural Floor 基础","FLOW_Procedural Floor Basis"
"FLOW_程序地板设置","FLOW_Procedural Floor Settings"
"程序地板基础","Procedural Floor Basis"
"程序地板设置","Procedural Floor Settings"
"激活不是实例","Active is not instance"
"使实例本地化","Make instance local"
"是否正在编辑实例","Is instance editing"
"实例","Instance"
"初始场景","Initial Scene"
"初始视图层","Initial View layer"
"编辑场景","Editor Scene"
"编辑本地实例","Edit Local Instance"
"编辑选定的实例集合","Edit selected instance collection"
"编辑嵌套实例","Edit Nested Instance"
"编辑嵌套在当前编辑的实例集合中的实例集合","Edit instance collection nested in currently edited instance collection"
"将选定对象转换为本地实例集。实例原点由活动对象原点设置","Converts selected object to local instance collection. Instance origin is set by active objects origin"
"分解所选实例的基本元素","Explode selected instance for its base elements"
"将活动实例转换为数组","Convert active instance to array"
"转换为单一网格","Convert to single mesh"
"将选定的实例集合转换为可编辑的单一网格","Converts the selected instance collection to the single editable mesh"
"使所有实例本地化","Make all instances local"
"使链接的集合实例本地化--允许集合具有可编辑属性。警告：此功能会使所有链接资产本地化，可能会降低场景运行速度","Make linked collection instances local - allows collections to have editable properties. WARNING: This function makes ALL linked assets local and may slow down your scene"
"单用户实例","Single-user instance"
"将所选实例设为单用户，以分离属性和实例数据","Making the selected instance a single-user, to separate properties and instance data"
"生成智能 UV","Generate Smart UV"
"材质绘制器","Material Painter"
"flow.material_painter","flow.material_painter"
" 显示搜索"," Show Search"
"在选定对象上绘制","Paint on Selected"
"仅在选定对象上绘制材质","Paints material only on the selected object"
"处于活动状态","Is Active"
"材质来源","Material Source"
"限制","Limit by"
"材料替换","Material replacement"
"限制角度","Limit angle"
"删除未使用的插槽","Remove Unused Slots"
"为选定区域生成智能 UV","Generate Smart UV for the selected area"
"在所选区域上绘制： 关闭","Paint on Selected: OFF"
"无项目 => 选择子类别","No items => Select Subcategory"
"自动生成 UV","Auto Generate UV"
"绘制表面","Paint Surface"
"材料选择器","Material Picker"
"新尺寸","New Size"
"使用全局设置","Use Global Settings"
"自定义图像大小（px）","Custom Image Size (px)"
"调整纹理大小","Resize Textures"
"全局设置","Global settings"
"纹理覆盖","Texture overwrite"
"信息","Info"
"调整后的纹理将复制到 //textures 目录中","Resized textures will be copied to //textures directory"
"尺寸将应用到较长的图像一侧","Size will be applied to longer image side"
"只能替换 //textures 目录中的现有图像","Only existing images from //textures can be replaced"
"纹理是本地的","Texture is local"
"打包图像","Packed Image"
"瓷砖生成器","Tiles Generator"
"创建瓷砖！","Create tiles!"
"使用选定的参数和洗牌纹理创建真实大小的瓷砖（使用无缝纹理效果最佳）","Create real-size ceramic tiles with selected parameters and shuffled texture (the best results are with seamless textures)"
"瓷砖长度（厘米）","Tile Length (cm)"
"瓷砖宽度（厘米）","Tile Width (cm)"
"砂浆尺寸（毫米）","Mortar Size (mm)"
"瓷砖颜色","Tiles Color"
"砂浆颜色","Mortar Color"
"瓷砖粗糙度","Tiles roughness"
"六角形瓷砖尺寸","Hex Tile Size"
"瓷砖图案","Tile pattern"
"瓷砖","Tiles"
"用选定的参数创建瓷砖","Create ceramic tiles with selected parameters"
"FLOW_Procedural Tiles Basis","FLOW_Procedural Tiles Basis"
"FLOW_Procedural 砖基础","FLOW_Procedural Bricks Basis"
"FLOW_Procedural 六边形瓷砖基础","FLOW_Procedural Hex Tiles Basis"
"FLOW_Procedural 瓷砖着色器","FLOW_Procedural Tiles Shader"
"FLOW_MT_main_menu","FLOW_MT_main_menu"
"FLOWBASIC_MT_PieMenu","FLOWBASIC_MT_PieMenu"
"三维视图","3D View"
"流","Flow"
"从库中添加项目","Add Item from Library"
"从库中添加材料","Add material from Library"
"添加几何节点","Append Geometry Nodes"
"画笔工具","Flow Brush Tools"
"加载绘画纹理","Load Paint Texture"
"加载遮罩纹理","Load Mask Texture"
"资产","Assets"
"从库中添加对象","Add Object from Library"
"控制","Controls"
"重置所有变换","Reset all transforms"
"加载几何节点","Load Geometry Nodes"
"保存几何节点","Save Geometry Nodes"
"材料库","Material Library"
"从材料库添加材料","Append Material from Library"
"资产创建器","Assets Creator"
"世界库","Worlds Library"
"实例工具","Instance Tools"
"流程快速控制","Flow Quick Controls"
"向左旋转","Rotate left"
"向右旋转","Rotate right"
"捕捉到 3D 光标","Snap to 3d cursor"
"复制到 3D 光标","Duplicate to 3d cursor"
"高级创建器","Advanced Creator"
"流程资产库","Flow Asset Library"
"执行","EXEC_DEFAULT"
"以数组形式加载资产","Load Asset as Array"
"开发工具","Development Tools"
"流材质工具","Flow Material Tools"
"纹理库","Textures Library"
"将纹理复制到纹理库","Copy Texture to Library"
"节点组库","Node Groups Library"
"流属性节点组","Flow Property Node Groups"
"流纹理工具","Flow Texture Tools"
"属性","Properties"
"将链接实例设为本地","Make Linked instance local"
"以便编辑属性","to be able to edit properties"
"所选对象无属性","No properties for selected object"
"未选择对象","No object selected"
"将世界保存到资料库","Save World to Library"
"将选定的世界添加到流程库","Add selected World to Flow Library"
"世界名称","World name"
"加载世界","Load World"
"从 Flow 库中加载预先保存的世界","Loads pre-saved worlds from Flow Library"
"世界","Worlds"
"此目录中没有已保存的世界！","There are no saved worlds in this directory!"
"您的资料库中没有世界！","There are no worlds in your library!"
"世界","World"
"选择 HDRi 纹理","Select HDRi Texture"
"从资料库中选择 hdri 纹理","Select hdri texture from library"
"所选目录中没有项目","No items in selected directory"
"添加环境纹理","Add Environment Texture"
"为当前世界添加环境纹理节点","Adds environment texutre node to the current world"
"添加天空纹理","Add Sky Texture"
"为当前世界添加天空纹理节点","Adds sky texutre node to the current world"
"下一个","Next"
"为当前世界设置下一张 hdri 图像","Sets next hdri image for the current World"
"场景中没有链接的世界！","No worlds linked to your scene!"
"无环境纹理","No Environment Texture"
"当前的 HDRi： ","Current HDRi: "
"上一个","Previous"
"HDR 强度","HDR Strength"
"旋转","Rotation"
"天空纹理设置：","Sky Texture Settings:"
"替换为天空纹理","Replace with Sky Texture"
"替换为 HDRi","Replace with HDRi"
"创建新库/创建丢失的文件夹","Create new Library / Create missing folders"
"在所选目录中创建有效的资料库文件夹","Creates the valid library folders in the selected directory"
"路径","Path"
"属性 ID","Property Id"
"加载库列表","Load Libraries List"
"保存更改","Save Changes"
"添加新库","Add New Library"
"删除库","Remove Library"
"项目索引","item index"
"在资产浏览器中启用/禁用当前库","Enable / Disable current library in Asset Browser"
"显示资料库","Show library"
"可用更新","Update Available"
"最新版本","Latest Version"
"筛选方法","Filtering method"
"用于渲染预览图像的首选渲染引擎","Prefered render engine used for rendering the preview image"
"渲染引擎","Render Engine"
"采样","Samples"
"渲染预览图像的采样","Sampling for rendering the preview images"
"预览图像大小","Preview image size"
"预览图像的大小（单位：px","Size of the preview image in px"
"图像格式","Image format"
"预览缩略图的首选图像格式","Prefered image format of the preview thumbnail"
"JPG 质量","JPG Quality"
"颜色深度","Color depth"
"PNG 色彩深度","PNG Color depth"
"PNG 压缩","PNG Compression"
"PNG 压缩率","PNG Compression rate"
"透明背景","Transparent Background"
"流程面板名称","Flow Panel Name"
"流量创建器面板名称","Flow Creator Panel Name"
"重要事项","IMPORTANT"
"此 Flow 版本与 Blender 4.0+ 兼容","This Flow version is compatible with Blender 4.0+"
"并非所有功能都能正常运行","Not all the features may work properly"
"对于 Blender < 3.6，请使用 Flow 4.0","For Blender < 3.6, use Flow 4.0"
"更新日志","Changelog"
"Polyspaace Youtube 频道","Polyspaace Youtube Channel"
"安装 Pillow 以加快图像预览速度","Install Pillow for faster images previews"
"已安装 Pillow","Pillow is installed"
"资产库","Asset Libraries"
"库路径","Library path"
"路径不正确！","Path is not correct!"
"在 “资产浏览器 ”中添加路径","Add path to Asset Browser"
"无法在保存的文件中添加新的库路径！","You cannot add new library paths in a saved file!"
"打开空白的 Blender 文件来添加新库","Open empty Blender file to add new libraries"
"添加另一个库路径","Add another library path"
"保存更改","Save changes"
"没有连接任何库！","There are no libraries connected!"
"在使用插件之前，请先添加或创建库！","Add or create library first, before using the plugin!"
"加载库列表","Load Library List"
"添加图书馆路径","Add Library Path"
"记住保存任何更改！","Remeber to save any changes!"
"库缩略图设置","Library thumbnails settings"
"显示所选类别和所有子类别中的所有项目","Shows all items from selected category and all subcategories"
"只显示直接类别/子类别文件夹中的项目","Shows items only from the direct category / subcategory folder"
"面板设置","Panels settings"
"输入相同的名称来合并面板","Type the same name to merge panels"
"预览图像渲染设置","Preview image render settings"
"图像大小","Image size"
"仅用于创建资产","For Asset creation only"
"文件格式设置：","File Format Settings:"
"PNG 设置：","PNG Settings:"
"颜色深度：","Color depth:"
"JPG 文件不会以透明背景渲染！","JPG File will not be rendered with transparent background!"
"JPG 设置：","JPG Settings:"
"安装枕头","Install Pillow"
".\n",".\n"
"PIL","PIL"
