"在屏幕外绘制元素","Draw elements offscreen"
"距离约束小工具组","Distance Constraint Gizmo Group"
"预选 ggt","preselection ggt"
"返回要检查的坐标列表，从给定位置开始螺旋上升","Returns a list of coordinates to check starting from given position spiraling out"
"测量辅助角度","Measure supplementary angle"
"绘制偏移","Draw Offset"
"绘制偏移","Draw Outset"
"显示约束值的位置","location to display the constraint value"
"反转方向","Invert direction"
"以反转顺序连接各点","Connect the points in the inverted order"
"以弧度为单位返回从 0 到 2*PI 的角度","Returns an angle in radians from zero to 2*PI"
"返回给定位置处的法向量","Return the normal vector at a given position"
"返回圆弧的方向，如果反转则为 true","Returns the direction of the arc, true if inverted"
"将点投影到弧上","Projects a point onto the arc"
"名称","Name"
"可见","Visible"
"依赖关系：","Dependencies:"
"返回其集合内的元素索引","Return elements index inside its collection"
"返回应显示约束的实体","Return the entities where the constraint should be displayed"
"仅测量","Only measure"
"全局索引","Global Index"
"起源","Origin"
"构建","Construction"
"需要更新","Needs Update"
"根据参数创建求解空间实体","Create a solvespace entity from parameters"
"从求解空间实体更新参数","Update parameters from the solvespace entity"
"类型： ","Type: "
"是 起源 ","Is Origin: "
"索引： ","Index: "
"基于此实例创建新实体","Create new entity based on this instance"
"半径","Radius"
"圆的半径","The radius of the circle"
"设置弧或圆的直径。","Sets the diameter of an arc or a circle."
"尺寸","Size"
"使用半径","Use Radius"
"引导角","Leader Angle"
"设置点与其他实体（点/线/工作平面）之间的距离。","Sets the distance between a point and some other entity (point/line/Workplane)."
"翻转","Flip"
"对齐","Align"
"如果约束的实体允许距离对齐，则返回 True","Returns True if constraint's entities allow distance to be aligned"
"如果约束已对齐，则返回 True","Returns True if constraint is aligned"
"对齐：","Alignment:"
"保存所有求解空间实体","Holds all Solvespace Entities"
"初始化所有共享实体属性","Initializes all shared entity properties"
"草图","Sketch"
"返回所有选定实体，可能包括不活动实体","Return all selected entities, might include inactive entities"
"返回所有选中实体，可能包括不可见实体","Return all selected entities, might include invisible entities"
"返回所有选中的活动实体","Returns all selected and active entities"
"原点 3D","OriginPoint3D"
"CAD 草图器的基本结构","The base structure for CAD Sketcher"
"显示原点实体","Show Origin Entities"
"构造模式","Construction Mode"
"以构造模式绘制所有后续实体","Draw all subsequent entities in construction mode"
"约束条件可选性","Constraints Selectability"
"扩展版本","Extension Version"
"该场景保存时的 CAD Sketcher 扩展版本","CAD Sketcher extension version this scene was saved with"
"遍历各种类型的实体和约束","Iterate over entities and constraints of every type"
"父草图","Parent Sketch"
"返回该实体上最靠近选取射线的点","Returns the point on this entity which is closest to the picking ray"
"将点投影到直线上","Projects a point onto the line"
"返回线的方向，如果倒置则为 true","Returns the direction of the line, true if inverted"
"返回直线在三维空间中的方向","Return the orientation of the line in 3d space"
"返回垂直于直线的向量，位置忽略不计","Returns vector perpendicular to line, position is ignored"
"强制点位于直线的中点。","Forces a point to lie on the midpoint of a line."
"方向","Orientation"
"描述法线方向的四元数","Quaternion which describes the orientation of the normal"
"使两条直线平行。仅适用于二维空间。","Forces two lines to be parallel. Applies only in 2D."
"坐标","Coordinates"
"点在草图上的坐标","The coordinates of the point on its sketch"
"位置","Location"
"点的位置","The location of the point"
"转换类型","Convert Type"
"定义草图的转换方式，以便在本地混合器中使用","Define how the sketch should be converted in order to be usable in native blender"
"填充形状","Fill Shape"
"填充生成的形状","Fill the resulting shape if it"
"求解器状态","Solver Status"
"自由度","Degrees of Freedom"
"网格曲线分辨率","Mesh Curve Resolution"
"强制两条曲线（弧/圆）或一条曲线和一条直线相切。","Forces two curves (arc/circle) or a curve and a line to be tangent."
"用新索引替换对实体索引的所有引用","Replaces all references to an entity index with its new index"
"添加角度约束","Add an angle constraint"
"角度","Angle"
"在活动草图中添加弧线","Add an arc to the active sketch"
"添加求解空间 2D 弧线","Add Solvespace 2D Arc"
"在活动草图中添加圆","Add a circle to the active sketch"
"添加求解空间二维圆","Add Solvespace 2D Circle"
"添加直径约束","Add a diameter constraint"
"直径","Diameter"
"添加距离约束","Add a distance constraint"
"距离","Distance"
"对齐","Alignment"
"添加重合约束","Add a coincident constraint"
"重合","Coincident"
"添加相等约束","Add an equal constraint"
"相等","Equal"
"添加垂直约束","Add a vertical constraint"
"垂直","Vertical"
"添加水平约束","Add a horizontal constraint"
"水平","Horizontal"
"添加平行约束","Add a parallel constraint"
"平行","Parallel"
"添加垂直约束","Add a perpendicular constraint"
"垂直","Perpendicular"
"添加切线约束","Add a tangent constraint"
"切线","Tangent"
"添加中点约束","Add a midpoint constraint"
"中点","Midpoint"
"添加比例约束","Add a ratio constraint"
"比率","Ratio"
"在活动草图中添加直线","Add a line to the active sketch"
"添加求解空间 2D 线条","Add Solvespace 2D Line"
"连续绘制","Continuous Draw"
"在三维空间中添加线条","Add a line in 3d space"
"添加求解空间三维线","Add Solvespace 3D Line"
"在活动草图中添加点","Add a point to the active sketch"
"添加求解空间二维点","Add Solvespace 2D Point"
"在三维空间中添加一个点","Add a point in 3d space"
"添加三维空间点","Add Solvespace 3D Point"
"在活动草图中添加矩形","Add a rectangle to the active sketch"
"添加矩形","Add Rectangle"
"添加草图","Add a sketch"
"添加草图","Add Sketch"
"添加工作平面","Add a workplane"
"添加求解空间工作平面","Add Solvespace Workplane"
"添加静态放置的工作平面，方向和位置从选定的网格面复制","Add a statically placed workplane, orientation and location is copied from selected mesh face"
"将工作平面与 3D 光标对齐","Align workplane to the 3D Cursor"
"将工作平面与 3D 光标对齐","Align Workplane to 3D Cursor"
"返回已设置的字典","Return a dictionary with settings that are already set"
"将未设置的操作符属性与约束属性同步","Sync operator properties that are not set with constraint's properties"
"使用特定扩展类型扩展 StatefulOperator","Extend StatefulOperator with extension specific types"
"批量设置给定序列中所有项目的属性","Batch set a property on all items in a given sequence"
"批量设置","Batch Set"
"数据路径","Data Path"
"从上下文中解析的数据路径，例如 ","Data path to resolve from the context e.g. "
"序列","Sequence"
"属性","Property"
"值","Value"
"在选定点的两个线段之间添加切向弧","Add a tangential arc between the two segments of a selected point"
"草图斜面","Sketch Bevel"
"斜面点","Point to bevel"
"斜面半径","Radius of the bevel"
"设置所有约束的可见性","Set all constraints' visibility"
"设置所有约束","Set all constraints"
"可见性","Visibility"
"显示元素设置","Show element's settings"
"求解空间上下文菜单","Solvespace Context Menu"
"类型","Type"
"索引","Index"
"VIEW3D_MT_selected_menu","VIEW3D_MT_selected_menu"
"复制选中的实体","Copy selected entities"
"复制","Copy"
"粘贴复制的实体","Paste copied entities"
"粘贴","Paste"
"按类型和索引删除约束","Delete constraint by type and index"
"删除约束","Delete Constraint"
"按索引删除实体，如果未提供索引，则根据选择删除实体","Delete Entity by index or based on the selection if index isn't provided"
"删除实体","Delete Entity"
"报告","Report"
"报告无法删除的实体","Report entities that prevent deletion"
"复制选定实体","Duplicate selected entities"
"复制","Duplicate"
"添加节点组的基本对象","Base object to add the nodegroup"
"所有基于节点操作符的基类","Base class for all node-based operators"
"为对象添加填充修改器节点组","Add a fill modifier node group to the object"
"填充轮廓","Fill Profile"
"添加挤出修改器节点组","Add an extrude modifier node group"
"挤出","Extrude"
"偏移","Offset"
"用于选择实体的偏移向量","Offset vector to apply to the selection of entities"
"添加选定元素的线性阵列","Add a linear array of the selected element"
"线性阵列","Linear Array"
"方向","Direction"
"计数","Count"
"线性阵列的方向","Direction of the linear array"
"单个元素之间的距离","Distance between individual elements"
"创建元素的数量","Amount of created elements"
"返回选中点或选中实体依赖点的列表","Return a list of points that are either selected or a dependency of a selected entity"
"移动选中的实体，与约束无关","Move selected entities around, independent of constraints"
"移动实体","Move Entities"
"根据距离值复制并偏移选定实体及其约束条件","Copy and offset selected entities along with their constraints by the distance value"
"从基准实体获取路径","Base entity to get path from"
"偏移创建实体的距离","Distance to offset the created entities"
"添加主题预设","Add an Theme Preset"
"添加主题预设","Add Theme Preset"
"将选择纹理写入图像以便调试","Write selection texture to image for debugging"
"写入选择纹理","Write selection texture"
"选择草图实体","Select Sketch Entities"
"选择/取消选择所有实体","Select / Deselect all entities"
"选择/取消选择实体","Select / Deselect Entities"
"取消选择","Deselect"
"反转实体选择","Invert entities selection"
"选择邻近实体","Select neighbour entities"
"通过画框选择实体","Select entities by drawing a box"
"框选","Box Select"
"设置活动草图","Set the active sketch"
"设置活动草图","Set active Sketch"
"求解","Solve"
"全部求解","Solve All"
"显示求解器状态详情","Show details about solver status"
"修剪线段至最近交点","Trim segment to its closest intersections"
"修剪线段","Trim Segment"
"调整悬停元素","Tweak the hovered element"
"调整求解空间实体","Tweak Solvespace Entities"
"调整约束","Tweak Constraint"
"调整约束","Tweak constraint"
"解决所有草图并更新转换后的几何体","Solve all sketches and update converted geometry"
"强制更新","Force Update"
"导入和注册外部定义的操作符","Imports and registers externally defined operators"
"扩展逻辑类，与原生的 Blender 集成","Extends logic class with native blender integration"
"调用工具","Invoke Tool"
"工具 ID","Tool ID"
"操作符 ID","Operator ID"
"实现行为逻辑的基类","Base class which implements the behaviour logic"
"检查状态是否支持数字编辑","Check if the state supports numeric edit"
"附加数值后检查现有输入是否有效","Check if existing input is valid after appending value"
"测试打印选中网格元素的有状态操作符","Test stateful operator which prints picked mesh element"
"测试状态操作符","Test StateOps"
"选择要打印的元素","Pick an element to print"
"暴露了有状态操作符的工作空间工具的基类","Base for WorkSpaceTools that expose a StatefulOperator"
"获取所有继承自 StatefulOperatorLogic 的类","Get all classes that inherit from StatefulOperatorLogic"
"草图 2","Sketch2"
"选定菜单","Selected Menu"
"删除实体","Delete Entities"
"创建可用草图的 UI 列表","Creates UI list of available Sketches"
"编辑草图","Edit Sketch"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"限制条件","Constraints"
"尺寸","Dimensional:"
"几何图形","Geometric:"
"调试菜单","Debug Menu"
"调试设置","Debug Settings"
"实体","Entities"
"离开： ","Leave: "
"选择要进入的草图的菜单","Menu for selecting the sketch you want to enter into"
"草图器","Sketcher"
"删除素描","Delete Sketch"
"名称","name"
"工具","Tools"
"限制：","Constraints:"
"绘图：","Drawing:"
"节点工具：","Node Tools:"
"获取包含元素的集合","Get the collection containing the element"
"简单格式化","Simply for formatting"
"在给定位置放置空元素，用于测试","Places an empty at given location, useful for testing"
"在不触发更新机制的情况下设置 id 命题","Set an id prop without triggering it's update mehtod"
"确保值是列表类型","Ensure value is of type list"
"返回给定实体依赖的实体的扁平化列表","Return flattened list of entities given entity depends on"
"返回实体及其依赖关系的列表","Returns a list of entities along with their dependencies"
"检查实体是否依赖于另一个实体","Check if entity is a dependency of another entity"
"检查实体是否在任何地方被引用","Checks if the entity is referenced from anywhere"
"返回一组实体范围内的约束列表","Return a list of constraints that are in the scope of a set of entities"
"从原点到面顶点的平均距离。","Average distance from origin to face vertices."
"复制 mathutils.geometry 模块中的函数，但适用于直线而非线段","Replicates the fuction from the mathutils.geometry module but works on lines instead of segments"
"高亮显示","Highlight Hover"
"突出显示成员","Highlight Members"
"子进程调用 ensurepip 模块","Subprocess call ensurepip module"
"刷新安装后找到的软件包路径","refresh path to packages found after install"
"返回偏移球的 sphere_co 和 sphere_radius","Return sphere_co and sphere_radius of offset sphere"
"查找元素（类型、元素）所有组合之间的所有交点","Find all intersections between all combinations of elements, (type, element)"
"配置记录仪，此功能应在根记录仪上运行","Configures a logger, this is intended to be run on the root logger"
"将角度范围 -Pi/+Pi 映射到 0/2*Pi","Map angle range -Pi/+Pi to 0/2*Pi"
"确保在非实验模式下不使用实验设置","Ensure experimental setting is unused when not in experimental mode"
"在 blender python sys.modules 中搜索插件模块并将其删除","search for your plugin modules in blender python sys.modules and remove them"
"返回插件包名称","Return the name of the addon package"
"模式","Mode"
"更新场景并重新运行求解器，用作属性更新回调","Update scene and re-run the solver, used as a property update callback"
"保存待修剪线段的数据","Holds data of a segment to be trimmed"
"返回鼠标指向的工作平面坐标","Returns the coordinates on the workplane the mouse points at"
"新小工具","Update gizmos"
"获取每个点的实体映射","Get a entities per point mapping"
"返回非循环路径的起点和终点，如果路径是循环的，则返回非起点和终点","Returns the start- and endpoint of a non-cyclic path or non if path is cyclic"
"返回最长路径，优先考虑封闭路径","Return the longest path, priorize closed paths"
"添加二维弧线","Add 2D Arc"
"添加二维圆","Add 2D Circle"
"添加二维直线","Add 2D Line"
"添加三维直线","Add 3D Line"
"添加二维点","Add 2D Point"
"添加 3D 点","Add 3D Point"
"添加工作平面","Add Workplane"
"在网格面上添加工作平面","Add Workplane on mesh face"
"斜面","Bevel"
"偏移实体","Offset Entities"
"选择求解空间","Solvespace Select"
"选择求解空间实体","Select Solvespace Entities"
"修剪","Trim"
