"%s弯曲","%sBend"
"影响对象","Affect Object"
"支持改变静止姿势的 ERC 变形","Support for ERC morphs that change the rest pose"
"带材类别","Strip Category"
"如果类别名称与变体名称相同，则从其开头删除类别名称","Strip the category name from the beginning of the morph name if they are the same"
"导入到修改后的网格","Import To Modified Meshes"
"将变形导入已通过合并地理移植或睫毛修改的网格。\n警告：如果在编辑模式下修改了网格，则可能会给出不正确的形状键","Import morphs to meshes that have been modified by merging geografts or lashes.\nWarning: can give incorrect shapekeys if meshes have been modified in edit mode"
"默认驱动程序","Default Drivers"
"创建场景文件中定义的默认驱动程序","Create default drivers defined in the scene file"
"优化 JCM 驱动程序","Optimize JCM Drivers"
"加载 JCM 和屈曲时优化驱动程序。实验","Optimize drivers when loading JCMs and flexions. Experimental"
"制作隐藏滑块","Make Hidden Sliders"
"为隐藏的变形创建属性，以便它们可以在 UI 中显示","Create properties for hidden morphs,\nso they can be displayed in the UI"
"烘焙变形","Baked Morphs"
"允许导入烘焙变形，并在变形面板中显示它们","Allow that baked morphs are imported,\nand display them in the Morphs panel"
"显示隐藏对象","Show Hidden Objects"
"大学教师","Don"
"忽略隐藏对象","Ignore Hidden Objects"
"通往 DAZ 库的路径","Paths To DAZ Library"
"内容目录","Content Directories"
"MDL 目录","MDL Directories"
"云目录","Cloud Directories"
"材料法","Material Method"
"南海","SSS"
"次表面散射方法","Method for subsurface scattering"
"视口","Viewport"
"在视口中显示对象的方法","Method to display object in viewport"
"世界","World"
"何时创建世界材质","When to create a world material"
"低分辨率文件夹","Lower Resolution Folders"
"将较低分辨率的纹理存储在单独的文件夹中。\n纹理名称也会被修改","Store lower resolution textures in separate folders.\nTexture names are also modified"
"材料按索引","Materials By Index"
"使用索引而不是名称来识别材料。\n如果多个材料具有相同的名称，则需要。\n这只会发生在由 MikuMikuDance 导出器生成的文件中","Use index rather than name to identify materials.\nNeeded if multiple materials have identical names.\nThis only happens in files generated by the MikuMikuDance exporter"
"按字母顺序排列材料","Sort Materials Alphabetically"
"材料按字母顺序排列。\n如果禁用，则使用 duf 文件中的顺序","Materials are sorted in alphabetical order.\nIf disabled the order in the duf file is used"
"渲染设置","Render Settings"
"灯光设置","Light Settings"
"位置锁","Location Locks"
"使用位置锁","Use location locks"
"位置限制","Location Limits"
"启用位置限制","Enable location limits"
"旋转锁","Rotation Locks"
"使用旋转锁","Use rotation locks"
"旋转限制","Rotation Limits"
"启用旋转限制","Enable rotation limits"
"骨骼继承比例","Bones Inherit Scale"
"骨骼从其父级继承比例（Blender 默认设置）。\n禁用以模仿 DAZ Studio 中的行为","Bones inherit scale from their parents (Blender default).\nDisable to mimic behaviour in DAZ Studio"
"显示旋转限制","Display Rotation Limits"
"将旋转限制显示为 IK 限制","Display rotation limits as IK limits"
"骨骼颜色","Bone Colors"
"给骨头上色。用于在 Blender 4 中进行调试","Colorize bones. For debugging in Blender 4"
"转储调试信息","Dump Debug Info"
"加载文件后，将调试信息转储到文件 \ndaz_importer_errors.text 中","Dump debug info in the file\ndaz_importer_errors.text after loading file"
"Z 向上","Z Up"
"从 DAZ 转换","Convert from DAZ"
"未翻转的骨骼","Unflipped Bones"
"提高三轴重量","Improve Triax Weights"
"改进三轴权重的顶点组（仅限 Genesis/Genesis 2）","Improve vertex groups for triax weights (Genesis/Genesis 2 only)"
"凸起权重","Bulge Weights"
"为三轴凸起权重添加顶点组","Add vertex groups for triax bulge weights"
"保持三轴重量","Keep Triax Weights"
"保持三轴局部权重","Keep triax local weights"
"Triax 应用","Triax Apply"
"应用三轴顶点权重修改器","Apply triax vertex weight modifiers"
"衔铁","Armature"
"为导入的人物创建骨架","Create armatures for imported figures"
"DAZ 方向（实验性）","DAZ Orientation (Experimental)"
"假设加载姿势时骨骼的方向与 DAZ Studio 中相同。\n已知在某些情况下不起作用","Assume that bones are oriented as in DAZ Studio when loading poses.\nKnown not to work in some cases"
"减去休息姿势","Subtract Rest Pose"
"减去静止姿势中的旋转。\n适用于预弯曲的人物","Subtract rotations baked into the rest pose.\nUseful for prebent figures"
"四元数","Quaternions"
"使用四元数表示球窝关节（肩部和臀部）","Use quaternions for ball-and-socket joints (shoulders and hips)"
"区分大小写的路径","Case-Sensitive Paths"
"将 URL 转换为小写。在 Windows 上效果最佳","Convert URLs to lowercase. Works best on Windows"
"使用实例","Use Instancing"
"使用实例化 DAZ 实例","Use instancing for DAZ instances"
"导入所有发型版本","Import All Hair Versions"
"即使已生成相应的 PS 头发，也需要导入头发指南。\n仅适用于 DBZ 网格拟合","Import hair guides even if the corresponding PS hairs have also been generated.\nOnly for DBZ mesh fitting"
"构建高清网格","Build HD Meshes"
"如果包含在 .dbz 文件中，则构建高清网格","Build HD meshes if included in .dbz file"
"保持基础网格","Keep Base Meshes"
"如果构建了高清网格，则保留基本分辨率网格","Keep base resolution meshes if HD mesh is built"
"将骨架添加到高清网格","Add Armature To HD Meshes"
"将骨架修改器和顶点组添加到真正的高清网格中","Add armature modifier and vertex groups to true HD meshes"
"添加多分辨率","Add Multires"
"为高清网格添加多分辨率修改器并重建较低的细分级别","Add multires modifier to HD meshes and rebuild lower subdivision levels"
"多个 UV 层","Multiple UV Layers"
"使用多分辨率修改器对高清网格使用多个 UV 层","Use multiple UV layers for HD meshes with multires modifiers"
"自动平滑","Auto Smooth"
"最大细分级别","Max Subdivision Level"
"最大细分级别。\n值太高可能会导致 Blender 崩溃","The maximum subdivision level.\nToo high a value can cause Blender to crash"
"脸部地图","Face Maps"
"导入时生成脸部地图","Generate face maps on import"
"鳞片眼部水分","Scale Eye Moisture"
"缩放眼睛水分顶点以避免渲染眼睛时出现黑圈","Scale eye moisture vertices to avoid dark rings when rendering eyes"
"模拟","Simulation"
"添加影响（固定）顶点组以进行模拟","Add influence (pinning) vertex groups for simulation"
"壳法","Shell Method"
"几何壳法","Method for geometry shells"
"修剪节点树","Prune Node Tree"
"修剪材质节点树。\n仅对调试禁用","Prune material node-tree.\nDisable for debugging only"
"使用假焦散","Use fake caustics"
"使用置换贴图","Use displacement maps"
"使用排放","Use emission"
"鬼火","Ghost Lights"
"模仿 iray 鬼灯错误，已在 DS 4.20 中修复。\n不要用来模仿 DS 4.20","Mimics the iray ghost light bug, that is fixed in DS 4.20.\nDo not use to mimic DS 4.20"
"反射","Reflection"
"使用反射贴图","Use reflection maps"
"凹凸倍增器","Bump Multiplier"
"乘以碰撞距离的因子","Factor to multiply bump distance"
"皮肤法","Skin Method"
"体积蒙皮材质的转换方法","Conversion method for volumetric skin materials"
"对体积材料使用体积","Use volume for volumetice materials"
"插值","Interpolation"
"图像插值","Image interpolation"
"构建未使用的纹理","Build Unused Textures"
"在未使用的通道中构建纹理","Build texture found in unused channels"
"Shell 驱动程序","Shell Drivers"
"将驱动程序添加到 shell influence","Add drivers to shell influence"
"分层图像影响","Layered Image Influence"
"添加分层图像影响","Add layered image influence"
"Shell 中的分层图像","Layered Images In Shells"
"在 shell 中使用分层图像（实验性）","Use layered images in shells (experimental)"
"预设文件中的作者信息","Author info in preset files"
"电子邮件","Email"
"预设文件中的电子邮件信息","Email info in preset files"
"网站","Website"
"预设文件中的网站信息","Website info in preset files"
"DAZ Studio 根目录","DAZ Studio Root Directories"
"输出错误的路径：","Path To Output Errors:"
"扫描数据库的路径：","Path To Scanned Database:"
"扫描区分大小写的路径：","Path To Scanned Case-sensitive Paths:"
"一般的","General"
"网格","Meshes"
"索具","Rigging"
"对象","Objects"
"调试","Debugging"
"變形","Morphs"
"预设","Presets"
"材料","Materials"
"首选根目录","Preferred Root Directory"
"某些导入工具使用的首选根目录","Preferred root directory used by some import tools"
"ID","ID"
"网址","URL"
"场景","Scene"
"钻机类型","Rig Type"
"网格类型","Mesh Type"
"没有任何","None"
"导入 DBZ 变形","Import DBZ Morphs"
"导入 DBZ 或 JSON 文件 (*.dbz、*.json) 作为变形","Import DBZ or JSON file(s) (*.dbz, *.json) as morphs"
"dForce 影响力","dForce Influence"
"dForce Pin","dForce Pin"
"碰撞距离","Collision Distance"
"最小碰撞距离（mm）","Minimun collision distance (mm)"
"制造碰撞","Make Collision"
"为选定的网格添加碰撞修改器","Add collision modifiers to selected meshes"
"预设","Preset"
"模拟预设","Simulation preset"
"品组","Pin Group"
"使用该组作为引脚组","Use this group as pin group"
"模拟质量","Simulation Quality"
"碰撞质量","Collision Quality"
"GSM 因素","GSM Factor"
"GSM 因子（顶点质量倍增器）","GSM Factor (vertex mass multiplier)"
"制作布料","Make Cloth"
"为选定的网格添加布料修改器","Add cloth modifiers to selected meshes"
"进行模拟","Make Simulation"
"根据 Daz 数据创建模拟","Create simulation from Daz data"
"胸部","Chest"
"添加胸部的软体模拟","Add softbody simulation for chest"
"腹部","Belly"
"添加腹部的软体模拟","Add softbody simulation for belly"
"臀大肌","Glutes"
"添加臀部的软体模拟","Add softbody simulation for glutes"
"手臂碰撞","Arm Collision"
"为手臂添加碰撞","Add collision to arms"
"腿部碰撞","Leg Collision"
"为腿部添加碰撞","Add collision to legs"
"添加软体","Add Softbody"
"为选定的网格添加软体模拟","Add softbody simulation to selected meshes"
"光滑的","Smooth"
"为网格添加校正平滑修改器","Add a corrective smooth modifier to the meshes"
"组合软体","Combined Softbody"
"仅使用组合软体","Only use a combined softbody"
"移除现有对象","Remove Existing Objects"
"移除现有的碰撞和软体对象","Remove existing collision and softbody objects"
"软体对象","Softbody Objects"
"碰撞物体","Collision Objects"
"软体","SOFTBODY"
"A","a"
"复制驱动程序","Copy Drivers"
"将驱动器从活动电枢复制到选定电枢","Copy drivers from active armature to selected armatures"
"重新定位形状键","Retarget Shapekeys"
"重新定位子网格的形键","Retarget shapekeys of child meshes"
"复制形态集","Copy Morphsets"
"复制用户界面","Copy user interface"
"覆盖现有驱动程序","Override Existing Drivers"
"优化驱动程序","Optimize Drivers"
"优化司机网页。\n之后无法加载新的变形","Optimize the web of drivers.\nNew morphs can not be loaded afterwards"
"移除乘数","Remove Multipliers"
"从驱动程序中移除乘数。\n可以更改驱动程序的工作方式","Remove multipliers from drivers.\nCan change how drivers work"
"删除隐藏的滑块","Remove Hidden Sliders"
"从驱动程序中删除隐藏变量的滑块。\n可以改变驱动程序的工作方式","Remove sliders for hidden variables from drivers.\nCan change how drivers work"
"删除 ERC 变形","Remove ERC Morphs"
"从驱动器中移除 ERC 变形。\n电枢不再能变形","Remove ERC morphs from drivers.\nArmatures can no longer be morphed"
"达兹%s","Daz%s"
"全部更新","Update All"
"更新所有内容。如果驱动骨骼混乱，请尝试此方法","Update everything. Try this if driven bones are messed up"
"禁用驱动程序","Disable Drivers"
"禁用所有驱动程序以提高性能","Disable all drivers to improve performance"
"启用驱动程序","Enable Drivers"
"启用所有驱动程序","Enable all drivers"
"删除损坏的驱动程序","Remove Corrupt Drivers"
"删除损坏的驱动程序和导致依赖循环的驱动程序","Remove corrupt drivers and drivers leading to dependencey loops"
"Daz 进口商","Daz Importer"
"打印骨基质","Print Bone Matrix"
"旋转骨骼","Rotate Bones"
"将选定的骨骼旋转相同的角度","Rotate selected bones the same angle"
"X","X"
"是","Y"
"是","Z"
"忽略锁定位置","Ignore Locked Location"
"错误失败","Fail On Error"
"复制 %s","Copy %s"
"添加额外的面部骨骼","Add Extra Face Bones"
"添加一层额外的面部骨骼，既可驱动，又可摆姿势","Add an extra layer of face bones, which can be both driven and posed"
"使所有骨骼可动","Make All Bones Posable"
"添加额外的驱动骨骼层，使其可动","Add an extra layer of driven bones, to make them posable"
"移除驱动骨骼","Remove Driven Bones"
"移除驱动 (drv) 骨骼并驱动可摆动骨骼。\n这将撤消使所有骨骼可摆动","Remove driven (drv) bones and drive the posable bones.\nThis undoes Make All Bones Posable"
"修复旧版可动骨骼","Fix Legacy Posable Bones"
"将传统的可动骨骼转换为现代骨骼","Convert legacy posable bones to modern ones"
"完成骨架","Finalize Armature"
"删除未使用的骨骼约束","Remove unused bone constraints"
"启用锁定和限制","Enable Locks And Limits"
"启用锁定和限制","Enable locks and limits"
"禁用锁定和限制","Disable Locks And Limits"
"禁用锁定和限制","Disable locks and limits"
"变形骨架","Morph Armature"
"更新 ERC 变形的骨架","Update the armature for ERC morphs"
"检查世界矩阵","Inspect World Matrix"
"列出活动对象的世界矩阵","List world matrix of active object"
"启用所有图层","Enable All Layers"
"启用所有骨骼层","Enable all bone layers"
"继承比例","Inherit Scale"
"骨骼继承比例","Bones inherit scale"
"自动变形骨架","Auto Morph Armatures"
"框架变化时自动变形骨架","Automatically morph armatures on frame change"
"文件路径","File Path"
"用于导出 .json 文件的文件路径","Filepath used for exporting the .json file"
"用于导入文件的文件路径","Filepath used for importing the file"
"获取指纹","Get Fingerprint"
"获取活动角色的指纹","Get fingerprint of active character"
"改善 IK","Improve IK"
"通过预弯曲 IK 骨骼来改善 IK","Improve IK by prebending IK bones"
"手指运动","Finger IK"
"为手指生成 IK 控制","Generate IK controls for fingers"
"舌头运动","Tongue IK"
"生成舌头的 IK 控制","Generate IK controls for tongue"
"重复使用弯曲和扭曲骨骼","Reuse Bend And Twist Bones"
"使用原始的弯曲扭曲骨骼和顶点组","Use the original bend-twist bones and vertex groups"
"保留 DAZ Rig","Keep DAZ Rig"
"保留原始 DAZ 装置以进行变形","Keep the original DAZ rig for deformation"
"修改 DAZ Rig","Modify DAZ Rig"
"改变变形装置的静止姿势以匹配控制装置","Change the rest pose of the deform rig to match the control rig"
"％s.％s","%s.%s"
"复制变换 %s","Copy Transform %s"
"将前缀更改为后缀","Change Prefix To Suffix"
"将 l/r 前缀更改为 .L/.R 后缀，\n以使用 Blender 对称工具","Change l/r prefix to .L/.R suffix,\nto use Blender symmetry tools"
"将后缀更改为前缀","Change Suffix To Prefix"
"将 .L/.R 后缀更改为 l/r 前缀，\n为 MHX 或 Rigify 准备装备","Change .L/.R suffix to l/r prefix,\nto prepare rig for MHX or Rigify"
"%s.fk.%s","%s.fk.%s"
"％s_fk。％s","%s_fk.%s"
"%s.弯曲.%s","%s.bend.%s"
"%s.扭曲.%s","%s.twist.%s"
"改变电枢","Change Armature"
"将活动骨架设为选定网格的骨架","Make the active armature the armature of selected meshes"
"重新定位驱动程序","Retarget Drivers"
"将shapekey驱动程序重新定位到新的骨架。\n警告：如果新的骨架缺少驱动程序，将导致错误","Retarget shapekey drivers to the new armature.\nWarning: Will cause errors if the new armature lack drivers"
"修复限制旋转约束","Fix Limit Rotation Constraints"
"将眼睛转移到凝视","Transfer Eye To Gaze"
"将眼骨动画转移到注视骨骼","Transfer eye bone animation to gaze bones"
"将目光转移到眼睛","Transfer Gaze To Eye"
"将凝视骨骼动画转移到眼骨","Transfer gaze bone animation to eye bones"
"%s%s","%s%s"
"%s_高清","%s_HD"
"UV 层","UV Layer"
"制作多分辨率","Make Multires"
"将高清网格转换为具有多分辨率修改器的网格，\n并添加顶点组和额外的 UV 层","Convert HD mesh into mesh with multires modifier,\nand add vertex groups and extra UV layers"
"折痕边","crease_edge"
"修剪 UV 贴图","Prune UV Maps"
"删除未使用的 UV 贴图","Remove unused UV maps"
"折叠 UDIM","Collapse UDIMs"
