均衡二维点尺寸的长宽比,Equalize aspect ratio of 2D point dimensions
从可能未绑定的函数中获取函数,Get the function out of a possibly unbound function
字节字面,Byte literal
文本字面,Text literal
在命名空间中执行代码。,Execute code in a namespace.
"exec _code_ in _globs_, _locs_","exec _code_ in _globs_, _locs_"
Python 2.4 和 2.5 的新式 print 函数。,The new-style print function for Python 2.4 and 2.5.
引发异常,Reraise an exception.
创建带有元类的基类。,Create a base class with a metaclass.
用于创建元类的类装饰器。,Class decorator for creating a class with a metaclass.
分析 OCAF 文档结构的类。,A class that analyzes the structure of an OCAF document.
提供文档或 STEP 文件名中的一个。,Supply one or the other: document or STEP filename.
读取 STEP 文件并返回 <TDocStd_Document>。,Read STEP file and return <TDocStd_Document>.
单个三角形的关联数据,Associated data for a single triangle
检查所有三角形是否重叠。如果没有发现则返回无,Check all tris for overlap. Return None if none found
删除所有面积为零的三角形,Remove all tris with zero area
删除所有重复的三角形,Remove all duplicate tris
使相同位置的顶点相同，更新三角形,"Make verts in identical locations the same, update tris"
假设：空 BMesh,ASSUMPTION: empty BMesh
" 生长 UV 选区 "," Grow UV selection "
" 将 UV 选区扩展到面 "," Grow UV selection to faces "
" 与美化面基本相同 "," Basically the same as beautify faces "
" 计算指定网格的曲率 "," Calculates curvature for specified mesh "
" 计算指定网格的曲率向量 "," Calculates curvature vectors for specified mesh "
" 在网格拓扑上平滑数据 [0, 1] 中的变量 "," Smooths variables in data [0, 1] over the mesh topology "
" 数据 [0, 1] 网格拉普拉斯 "," Data [0, 1] mesh Laplacian "
" 将 RGBA 图像数组从 Numpy 压缩成字符串 "," Compresses RGBA image array from Numpy into a string "
" 将字符串解压缩为 Numpy RGBA 图像数组 "," Unpacks a string into a Numpy RGBA image array "
工具的显示设置,Display settings of the tool
面板_,panel_
kmeans++," kmeans++ "
"用 np.ones((len(values), 4)) 初始化值"," init values with np.ones((len(values), 4)) "
,'
,.
DumpToString（AdvApp2Var_ApproxAFunc2Var self）-> std::string,DumpToString(AdvApp2Var_ApproxAFunc2Var self) -> std::string
DumpToString（AdvApprox_ApproxAFunction 自身）-> std::string,DumpToString(AdvApprox_ApproxAFunction self) -> std::string
DumpToString（AdvApprox_SimpleApprox 自身）-> std::string,DumpToString(AdvApprox_SimpleApprox self) -> std::string
用于向 SWIG 包装类添加元类的类装饰器 - six.add_metaclass 的精简版,Class decorator for adding a metaclass to a SWIG wrapped class - a slimmed down version of six.add_metaclass
元类强制执行类的非动态属性（没有新属性）,Meta class to enforce nondynamic attributes (no new attributes) for a class
myIsHidden : bool,myIsHidden : bool
myHasOwnColor : bool,myHasOwnColor : bool
myHasOwnTransp : bool,myHasOwnTransp : bool
myHasOwnWidth : bool,myHasOwnWidth : bool
:rtype: 无,:rtype: None
DumpToString（AppDef_MultiLine self）-> std::string,DumpToString(AppDef_MultiLine self) -> std::string
DumpToString（AppDef_MultiPointConstraint 自身）-> std::string,DumpToString(AppDef_MultiPointConstraint self) -> std::string
DumpToString（AppDef_Variational self）-> std::string,DumpToString(AppDef_Variational self) -> std::string
获取EstLength（AppDef_LinearCriteria 自身）-> Standard_Real,GetEstLength(AppDef_LinearCriteria self) -> Standard_Real
SetEstLength（AppDef_LinearCriteria 自身，Standard_Real 值）,"SetEstLength(AppDef_LinearCriteria self, Standard_Real value)"
DumpToString（AppParCurves_MultiCurve 自身）-> std::string,DumpToString(AppParCurves_MultiCurve self) -> std::string
DumpToString（AppParCurves_MultiPoint 自身）-> std::string,DumpToString(AppParCurves_MultiPoint self) -> std::string
DumpToString（AppParCurves_MultiBSpCurve 自身）-> std::string,DumpToString(AppParCurves_MultiBSpCurve self) -> std::string
DumpToString（Approx_Curve3d self）-> std::string,DumpToString(Approx_Curve3d self) -> std::string
DumpToString（Approx_CurvilinearParameter self）-> std::string,DumpToString(Approx_CurvilinearParameter self) -> std::string
DumpToString（Approx_SweepApproximation 自身）-> std::string,DumpToString(Approx_SweepApproximation self) -> std::string
__init__(AppStd_Application 自身) -> AppStd_Application,__init__(AppStd_Application self) -> AppStd_Application
__init__(AppStdL_Application 自身) -> AppStdL_Application,__init__(AppStdL_Application self) -> AppStdL_Application
写入TOCToString（BinLDrivers_DocumentSection self）-> std::string,WriteTOCToString(BinLDrivers_DocumentSection self) -> std::string
读取ShapeSectionFromString（BinMNaming_NamedShapeDriver self，std::string src）,"ReadShapeSectionFromString(BinMNaming_NamedShapeDriver self, std::string src)"
写入ShapeSectionToString（BinMNaming_NamedShapeDriver self）-> std::string,WriteShapeSectionToString(BinMNaming_NamedShapeDriver self) -> std::string
从字符串读取（BinObjMgt_Persistent self，std::string src）,"ReadFromString(BinObjMgt_Persistent self, std::string src)"
WriteToString（BinObjMgt_Persistent self）-> std::string,WriteToString(BinObjMgt_Persistent self) -> std::string
从字符串读取（BinTools_Curve2dSet self，std::string src）,"ReadFromString(BinTools_Curve2dSet self, std::string src)"
写入字符串（BinTools_Curve2dSet 自身）-> std::string,WriteToString(BinTools_Curve2dSet self) -> std::string
从字符串读取（BinTools_CurveSet 自身，std::string src）,"ReadFromString(BinTools_CurveSet self, std::string src)"
写入字符串（BinTools_CurveSet 自身）-> std::string,WriteToString(BinTools_CurveSet self) -> std::string
从字符串读取（BinTools_LocationSet 自身，std::string src）,"ReadFromString(BinTools_LocationSet self, std::string src)"
WriteToString（BinTools_LocationSet 自身）-> std::string,WriteToString(BinTools_LocationSet self) -> std::string
从字符串读取（BinTools_ShapeSet self，std::string src）,"ReadFromString(BinTools_ShapeSet self, std::string src)"
读取几何体从字符串（BinTools_ShapeSet 自身，std::string src）,"ReadGeometryFromString(BinTools_ShapeSet self, std::string src)"
读取Polygon3DFromString（BinTools_ShapeSet self，std::string src）,"ReadPolygon3DFromString(BinTools_ShapeSet self, std::string src)"
从字符串读取多边形（BinTools_ShapeSet self，std::string src）,"ReadPolygonOnTriangulationFromString(BinTools_ShapeSet self, std::string src)"
从字符串读取三角测量（BinTools_ShapeSet self，std::string src）,"ReadTriangulationFromString(BinTools_ShapeSet self, std::string src)"
写入字符串（BinTools_ShapeSet 自身）->std::string,WriteToString(BinTools_ShapeSet self) -> std::string
WriteGeometryToString（BinTools_ShapeSet self）-> std::string,WriteGeometryToString(BinTools_ShapeSet self) -> std::string
将Polygon3D写入String（BinTools_ShapeSet self）->std::string,WritePolygon3DToString(BinTools_ShapeSet self) -> std::string
将多边形写入三角测量到字符串（BinTools_ShapeSet 自身）->std::string,WritePolygonOnTriangulationToString(BinTools_ShapeSet self) -> std::string
写入三角测量到字符串（BinTools_ShapeSet self）->std::string,WriteTriangulationToString(BinTools_ShapeSet self) -> std::string
从字符串读取（BinTools_SurfaceSet 自身，std::string src）,"ReadFromString(BinTools_SurfaceSet self, std::string src)"
写入字符串（BinTools_SurfaceSet 自身）-> std::string,WriteToString(BinTools_SurfaceSet self) -> std::string
GetChangeValue(BlendFunc_Tensor self、Standard_Integer const Row、Standard_Integer const Col、Standard_Integer const Mat) -> Standard_Real,"GetChangeValue(BlendFunc_Tensor self, Standard_Integer const Row, Standard_Integer const Col, Standard_Integer const Mat) -> Standard_Real"
"SetChangeValue(BlendFunc_Tensor self, Standard_Integer const Row, Standard_Integer const Col, Standard_Integer const Mat, Standard_Real value)","SetChangeValue(BlendFunc_Tensor self, Standard_Integer const Row, Standard_Integer const Col, Standard_Integer const Mat, Standard_Real value)"
__eq_wrapper__(Bnd_Range 自身，Bnd_Range 其他) -> bool,"__eq_wrapper__(Bnd_Range self, Bnd_Range other) -> bool"
DumpErrorsToString（BOPAlgo_Options 自身）-> std::string,DumpErrorsToString(BOPAlgo_Options self) -> std::string
DumpWarningsToString（BOPAlgo_Options 自身）-> std::string,DumpWarningsToString(BOPAlgo_Options self) -> std::string
获取参数类型模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetArgumentTypeMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
设置参数类型模式（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetArgumentTypeMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取连续性模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetContinuityMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
SetContinuityMode（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetContinuityMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取表面曲线模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetCurveOnSurfaceMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
设置曲线表面模式（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetCurveOnSurfaceMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取合并边缘模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetMergeEdgeMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
SetMergeEdgeMode（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetMergeEdgeMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取合并顶点模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetMergeVertexMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
SetMergeVertexMode（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetMergeVertexMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取重建脸部模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetRebuildFaceMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
SetRebuildFaceMode（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetRebuildFaceMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取自身交互模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetSelfInterMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
SetSelfInterMode（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetSelfInterMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取小边缘模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetSmallEdgeMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
设置小边缘模式（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetSmallEdgeMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
GetStopOnFirstFaulty（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetStopOnFirstFaulty(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
SetStopOnFirstFaulty（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetStopOnFirstFaulty(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
获取切线模式（BOPAlgo_ArgumentAnalyzer 自身）-> Standard_Boolean,GetTangentMode(BOPAlgo_ArgumentAnalyzer self) -> Standard_Boolean
设置切线模式（BOPAlgo_ArgumentAnalyzer 自身，Standard_Boolean 值）,"SetTangentMode(BOPAlgo_ArgumentAnalyzer self, Standard_Boolean value)"
DumpToString（BRepBlend_AppSurface 自身）-> std::string,DumpToString(BRepBlend_AppSurface self) -> std::string
DumpToString（BRepExtrema_DistShapeShape 自身）-> std::string,DumpToString(BRepExtrema_DistShapeShape self) -> std::string
统计信息到字符串（BRepMesh_DataStructureOfDelaun 自身）-> std::string,StatisticsToString(BRepMesh_DataStructureOfDelaun self) -> std::string
统计信息到字符串（BRepMesh_VertexTool 自身）-> std::string,StatisticsToString(BRepMesh_VertexTool self) -> std::string
从字符串反序列化 TopoDS_Shape,Deserializes TopoDS_Shape from string
DumpToString（BRepTools_History self）-> std::string,DumpToString(BRepTools_History self) -> std::string
__init__(BRepTools_History 自身) -> BRepTools_History,__init__(BRepTools_History self) -> BRepTools_History
DumpGeometryToString（BRepTools_ShapeSet self）-> std::string,DumpGeometryToString(BRepTools_ShapeSet self) -> std::string
DumpPolygon3DToString（BRepTools_ShapeSet self）-> std::string,DumpPolygon3DToString(BRepTools_ShapeSet self) -> std::string
DumpPolygonOnTriangulationToString（BRepTools_ShapeSet self）-> std::string,DumpPolygonOnTriangulationToString(BRepTools_ShapeSet self) -> std::string
DumpTriangulationToString（BRepTools_ShapeSet self）-> std::string,DumpTriangulationToString(BRepTools_ShapeSet self) -> std::string
读取几何体从字符串（BRepTools_ShapeSet self，std::string src）,"ReadGeometryFromString(BRepTools_ShapeSet self, std::string src)"
读取Polygon3DFromString（BRepTools_ShapeSet self，std::string src）,"ReadPolygon3DFromString(BRepTools_ShapeSet self, std::string src)"
读取多边形上的三角测量字符串（BRepTools_ShapeSet self，std::string src）,"ReadPolygonOnTriangulationFromString(BRepTools_ShapeSet self, std::string src)"
从字符串读取三角测量（BRepTools_ShapeSet self，std::string src）,"ReadTriangulationFromString(BRepTools_ShapeSet self, std::string src)"
WriteGeometryToString（BRepTools_ShapeSet self）-> std::string,WriteGeometryToString(BRepTools_ShapeSet self) -> std::string
从字符串读取（CDF_Application self，std::string src）,"ReadFromString(CDF_Application self, std::string src)"
PrintToString（CDM_Document 自身）-> std::string,PrintToString(CDM_Document self) -> std::string
PrintToString（CDM_MetaData 自身）-> std::string,PrintToString(CDM_MetaData self) -> std::string
获取更改参数（Draft_VertexInfo self，TopoDS_Edge E）-> Standard_Real,"GetChangeParameter(Draft_VertexInfo self, TopoDS_Edge E) -> Standard_Real"
设置更改参数（Draft_VertexInfo 自身，TopoDS_Edge E，Standard_Real 值）,"SetChangeParameter(Draft_VertexInfo self, TopoDS_Edge E, Standard_Real value)"
DumpToString（FairCurve_Batten 自身）-> std::string,DumpToString(FairCurve_Batten self) -> std::string
DumpToString（FairCurve_MinimalVariation 自身）-> std::string,DumpToString(FairCurve_MinimalVariation self) -> std::string
"GetChangeValue(FEmTool_ProfileMatrix self, Standard_Integer const I, Standard_Integer const J) -> Standard_Real","GetChangeValue(FEmTool_ProfileMatrix self, Standard_Integer const I, Standard_Integer const J) -> Standard_Real"
"SetChangeValue(FEmTool_ProfileMatrix self, Standard_Integer const I, Standard_Integer const J, Standard_Real value)","SetChangeValue(FEmTool_ProfileMatrix self, Standard_Integer const I, Standard_Integer const J, Standard_Real value)"
__imul_wrapper__(Geom2d_VectorWithMagnitude 自身，Standard_Real const 其他),"__imul_wrapper__(Geom2d_VectorWithMagnitude self, Standard_Real const other)"
__iadd_wrapper__(Geom2d_VectorWithMagnitude self，opencascade::handle<Geom2d_Vector>const other),"__iadd_wrapper__(Geom2d_VectorWithMagnitude self, opencascade::handle< Geom2d_Vector > const other)"
__isub_wrapper__(Geom2d_VectorWithMagnitude self，opencascade::handle<Geom2d_Vector>const other),"__isub_wrapper__(Geom2d_VectorWithMagnitude self, opencascade::handle< Geom2d_Vector > const other)"
__itruediv_wrapper__(Geom2d_VectorWithMagnitude self，Standard_Real const other),"__itruediv_wrapper__(Geom2d_VectorWithMagnitude self, Standard_Real const other)"
DumpToString（Geom2dConvert_ApproxCurve self）-> std::string,DumpToString(Geom2dConvert_ApproxCurve self) -> std::string
DumpToString（GeomConvert_ApproxCurve self）-> std::string,DumpToString(GeomConvert_ApproxCurve self) -> std::string
DumpToString（GeomConvert_ApproxSurface 自身）-> std::string,DumpToString(GeomConvert_ApproxSurface self) -> std::string
GetChangeValue(GeomFill_Tensor self、Standard_Integer const Row、Standard_Integer const Col、Standard_Integer const Mat) -> Standard_Real,"GetChangeValue(GeomFill_Tensor self, Standard_Integer const Row, Standard_Integer const Col, Standard_Integer const Mat) -> Standard_Real"
"SetChangeValue(GeomFill_Tensor self, Standard_Integer const Row, Standard_Integer const Col, Standard_Integer const Mat, Standard_Real value)","SetChangeValue(GeomFill_Tensor self, Standard_Integer const Row, Standard_Integer const Col, Standard_Integer const Mat, Standard_Real value)"
DumpToString（GeomTools_Curve2dSet 自身）-> std::string,DumpToString(GeomTools_Curve2dSet self) -> std::string
从字符串读取（GeomTools_Curve2dSet self，std::string src）,"ReadFromString(GeomTools_Curve2dSet self, std::string src)"
读取Curve2dFromString（GeomTools_Curve2dSet self，std::string src）,"ReadCurve2dFromString(GeomTools_Curve2dSet self, std::string src)"
WriteToString（GeomTools_Curve2dSet self）-> std::string,WriteToString(GeomTools_Curve2dSet self) -> std::string
DumpToString（GeomTools_CurveSet 自身）-> std::string,DumpToString(GeomTools_CurveSet self) -> std::string
从字符串读取（GeomTools_CurveSet self，std::string src）,"ReadFromString(GeomTools_CurveSet self, std::string src)"
从字符串读取曲线（GeomTools_CurveSet 自身，std::string src）,"ReadCurveFromString(GeomTools_CurveSet self, std::string src)"
写入字符串（GeomTools_CurveSet 自身）-> std::string,WriteToString(GeomTools_CurveSet self) -> std::string
DumpToString（GeomTools_SurfaceSet 自身）-> std::string,DumpToString(GeomTools_SurfaceSet self) -> std::string
从字符串读取（GeomTools_SurfaceSet self，std::string src）,"ReadFromString(GeomTools_SurfaceSet self, std::string src)"
从字符串读取表面（GeomTools_SurfaceSet self，std::string src）,"ReadSurfaceFromString(GeomTools_SurfaceSet self, std::string src)"
WriteToString（GeomTools_SurfaceSet self）-> std::string,WriteToString(GeomTools_SurfaceSet self) -> std::string
__imul_wrapper__(gp_GTrsf 自身，gp_GTrsf 其他),"__imul_wrapper__(gp_GTrsf self, gp_GTrsf other)"
"GetChangeValue(gp_Mat self, Standard_Integer const Row, Standard_Integer const Col) -> Standard_Real","GetChangeValue(gp_Mat self, Standard_Integer const Row, Standard_Integer const Col) -> Standard_Real"
"SetChangeValue(gp_Mat self, Standard_Integer const Row, Standard_Integer const Col, Standard_Real value)","SetChangeValue(gp_Mat self, Standard_Integer const Row, Standard_Integer const Col, Standard_Real value)"
__iadd_wrapper__(gp_Mat 自身， gp_Mat 其他),"__iadd_wrapper__(gp_Mat self, gp_Mat other)"
__isub_wrapper__(gp_Mat 自身，gp_Mat 其他),"__isub_wrapper__(gp_Mat self, gp_Mat other)"
__itruediv_wrapper__(gp_Mat 自身，Standard_Real const 其他),"__itruediv_wrapper__(gp_Mat self, Standard_Real const other)"
"GetChangeValue(gp_Mat2d self, Standard_Integer const Row, Standard_Integer const Col) -> Standard_Real","GetChangeValue(gp_Mat2d self, Standard_Integer const Row, Standard_Integer const Col) -> Standard_Real"
"SetChangeValue(gp_Mat2d self, Standard_Integer const Row, Standard_Integer const Col, Standard_Real 值)","SetChangeValue(gp_Mat2d self, Standard_Integer const Row, Standard_Integer const Col, Standard_Real value)"
__imul_wrapper__(gp_Mat2d 自身，Standard_Real const 其他),"__imul_wrapper__(gp_Mat2d self, Standard_Real const other)"
__iadd_wrapper__(gp_Mat2d 自身，gp_Mat2d 其他),"__iadd_wrapper__(gp_Mat2d self, gp_Mat2d other)"
__isub_wrapper__(gp_Mat2d 自身， gp_Mat2d 其他),"__isub_wrapper__(gp_Mat2d self, gp_Mat2d other)"
__itruediv_wrapper__(gp_Mat2d 自身，Standard_Real const 其他),"__itruediv_wrapper__(gp_Mat2d self, Standard_Real const other)"
__imul_wrapper__(gp_Trsf 自身，gp_Trsf 其他),"__imul_wrapper__(gp_Trsf self, gp_Trsf other)"
__imul_wrapper__(gp_Vec 自身，Standard_Real const 其他),"__imul_wrapper__(gp_Vec self, Standard_Real const other)"
__iadd_wrapper__(gp_Vec 自身， gp_Vec 其他),"__iadd_wrapper__(gp_Vec self, gp_Vec other)"
__isub_wrapper__(gp_Vec 自身， gp_Vec 其他),"__isub_wrapper__(gp_Vec self, gp_Vec other)"
__itruediv_wrapper__(gp_Vec self，Standard_Real const 其他),"__itruediv_wrapper__(gp_Vec self, Standard_Real const other)"
GetChangeCoord（gp_XY self，Standard_Integer const theIndex）-> Standard_Real,"GetChangeCoord(gp_XY self, Standard_Integer const theIndex) -> Standard_Real"
SetChangeCoord（gp_XY self，Standard_Integer const theIndex，Standard_Real value）,"SetChangeCoord(gp_XY self, Standard_Integer const theIndex, Standard_Real value)"
__iadd_wrapper__(gp_XY 自身，gp_XY 其他),"__iadd_wrapper__(gp_XY self, gp_XY other)"
__isub_wrapper__(gp_XY 自身，gp_XY 其他),"__isub_wrapper__(gp_XY self, gp_XY other)"
__itruediv_wrapper__(gp_XY 自身，Standard_Real const 其他),"__itruediv_wrapper__(gp_XY self, Standard_Real const other)"
GetChangeCoord（gp_XYZ self，Standard_Integer const theIndex）-> Standard_Real,"GetChangeCoord(gp_XYZ self, Standard_Integer const theIndex) -> Standard_Real"
SetChangeCoord（gp_XYZ self，Standard_Integer const theIndex，Standard_Real value）,"SetChangeCoord(gp_XYZ self, Standard_Integer const theIndex, Standard_Real value)"
__iadd_wrapper__(gp_XYZ 自身，gp_XYZ 其他),"__iadd_wrapper__(gp_XYZ self, gp_XYZ other)"
__isub_wrapper__(gp_XYZ 自身，gp_XYZ 其他),"__isub_wrapper__(gp_XYZ self, gp_XYZ other)"
__itruediv_wrapper__(gp_XYZ 自身，Standard_Real const 其他),"__itruediv_wrapper__(gp_XYZ self, Standard_Real const other)"
获取编辑保持状态（IFSelect_EditForm 自身）-> Standard_Boolean,GetEditKeepStatus(IFSelect_EditForm self) -> Standard_Boolean
SetEditKeepStatus（IFSelect_EditForm self，Standard_Boolean 值）,"SetEditKeepStatus(IFSelect_EditForm self, Standard_Boolean value)"
PrintDefsToString（IFSelect_EditForm 自身）-> std::string,PrintDefsToString(IFSelect_EditForm self) -> std::string
PrintNamesToString（IFSelect_Editor 自身）-> std::string,PrintNamesToString(IFSelect_Editor self) -> std::string
GetModeSignOnly（IFSelect_SignatureList 自身）-> Standard_Boolean,GetModeSignOnly(IFSelect_SignatureList self) -> Standard_Boolean
SetModeSignOnly（IFSelect_SignatureList 自身，Standard_Boolean 值）,"SetModeSignOnly(IFSelect_SignatureList self, Standard_Boolean value)"
PrintCountToString（IFSelect_SignatureList 自身）-> std::string,PrintCountToString(IFSelect_SignatureList self) -> std::string
PrintSumToString（IFSelect_SignatureList 自身）-> std::string,PrintSumToString(IFSelect_SignatureList self) -> std::string
PrintToString(IGESData_IGESWriter self) -> std::string,PrintToString(IGESData_IGESWriter self) -> std::string
获取写入模式（IGESData_IGESWriter 自身）-> Standard_Integer,GetWriteMode(IGESData_IGESWriter self) -> Standard_Integer
设置写入模式（IGESData_IGESWriter 自身，Standard_Integer 值）,"SetWriteMode(IGESData_IGESWriter self, Standard_Integer value)"
获取C值（Interface_IntVal 自身）-> Standard_Integer,GetCValue(Interface_IntVal self) -> Standard_Integer
SetCValue（Interface_IntVal 自身，Standard_Integer 值）,"SetCValue(Interface_IntVal self, Standard_Integer value)"
获取调度状态（Interface_InterfaceModel 自身）-> Standard_Boolean,GetDispatchStatus(Interface_InterfaceModel self) -> Standard_Boolean
SetDispatchStatus（Interface_InterfaceModel 自身，Standard_Boolean 值）,"SetDispatchStatus(Interface_InterfaceModel self, Standard_Boolean value)"
PrintTraceToString（Interface_MSG 自身）-> std::string,PrintTraceToString(Interface_MSG self) -> std::string
ReadFromString（Interface_MSG self，std::string src）,"ReadFromString(Interface_MSG self, std::string src)"
PrintStaticToString（Interface_Static self）-> std::string,PrintStaticToString(Interface_Static self) -> std::string
DumpToString（math_BFGS 自身）-> std::string,DumpToString(math_BFGS self) -> std::string
DumpToString（math_BissecNewton 自身）-> std::string,DumpToString(math_BissecNewton self) -> std::string
DumpToString（math_BracketMinimum self）-> std::string,DumpToString(math_BracketMinimum self) -> std::string
DumpToString（math_BracketedRoot 自身）-> std::string,DumpToString(math_BracketedRoot self) -> std::string
DumpToString（math_BrentMinimum self）-> std::string,DumpToString(math_BrentMinimum self) -> std::string
DumpToString（math_Crout 自身）-> std::string,DumpToString(math_Crout self) -> std::string
DumpToString（math_DirectPolynomialRoots 自身）-> std::string,DumpToString(math_DirectPolynomialRoots self) -> std::string
获取值（math_DoubleTab self、Standard_Integer const RowIndex、Standard_Integer const ColIndex）-> Standard_Real,"GetValue(math_DoubleTab self, Standard_Integer const RowIndex, Standard_Integer const ColIndex) -> Standard_Real"
设置值（math_DoubleTab self，Standard_Integer const RowIndex，Standard_Integer const ColIndex，Standard_Real 值）,"SetValue(math_DoubleTab self, Standard_Integer const RowIndex, Standard_Integer const ColIndex, Standard_Real value)"
DumpToString（math_FRPR self）-> std::string,DumpToString(math_FRPR self) -> std::string
