Value,Key
"

模式 : 
有两种模式 (通过右键点击切换):

1.  正常模式 : 使用线或圆工具绘制形状

2.  选择模式 : 选择形状, 复制和粘贴, 旋转, 
翻转, 倒角, 阵列, 等等

=================================

正常模式
(当您选择一个面并运行工具, 您处于正常模式)

鼠标左键点击 : 绘制线

鼠标右键点击 : 切换到选择模式

Ctrl + 鼠标滚轮滚动 : 增加/减少 网格数量

Alt + 鼠标滚轮滚动 : 增加/减少 网格平面的大小

Q键 / Enter 键 : 提交操作, 切割网格

A键 : 在 绝对大小模式/相对大小模式 之间切换

S键 : 在操作之间切换, 如: 布尔 切割 / N边面 / 三角面 / 新面

Ctrl + Z : 撤销绘制

U键 : 关闭栅格捕捉 (再按一次即可打开)

P键 : 将网格平面旋转90度, 基于对齐边 
(设置按 Ctrl + 点击)

在U键模式下 (关闭捕捉) : 按住鼠标左键并绘制 : 
徒手绘制

Y键 : 施工线模式 (再按一次即可关闭)



Ctrl + 在选定面的边上点击左键 :  这是最重要的功能 
它改变了网格平面的对齐方式, 对齐网格到边 
并将线对准边缘的中间位置. 您经常需要使用这个功能 



C键 : 使用圆工具

圆内工具> 左键点击 : 从圆心绘制

圆内工具> Shift + 鼠标滚轮滚动 : 更改圆的边数 
 最小值为3 (变成三角形), 您可以用4表示正方形, 5表示5边形.

圆内工具> C键 : 关闭圆工具

圆内工具> Esc键 : 取消


============================================
选择模式
鼠标左键点击 : 选择一个形状

鼠标右键点击 : 离开选择模式

U键 : 关闭栅格捕捉 (再按一次可开启)

Q键 / Enter 键 : 提交操作, 切割网格

鼠标拖动一个黄色矩形 : 选择多个形状

选择形状 > Ctrl + C : 复制形状

选择形状 > Ctrl + V : 粘贴形状 (Esc键取消)

选择形状 > Ctrl + X : 切割形状

选择形状 > G键 : 移动形状 (Esc键取消)

选择形状 > R键 : 旋转形状

选择形状 > 旋转 > 移动鼠标光标 : 旋转 (每步按5度进行递增)

选择形状 > 旋转 > 左键点击 : 确认旋转

选择形状 > 旋转 > 输入数字, 然后R键 : 按度数旋转

选择形状 > 旋转 > Esc键 : 取消

选择形状 > T键 : 将形状旋转90度

选择形状 > B键 : 倒角形状

选择形状 > 倒角工具 > 鼠标滚轮滚动 : 更改倒角段数(number)

选择形状 > 倒角工具 > 左键点击 : 确认

选择形状 > D键 : 用阵列工具复制形状

选择形状 > 阵列工具 > 鼠标滚轮滚动 : 增加/减少 
副本数量

选择形状 > 阵列工具 > 左键点击 : 确认

选择形状 > 阵列工具 > C键 : 切换到圆形阵列

选择形状 > 阵列工具 > 圆形 > 鼠标滚轮滚动 : 更改副本数量 

选择形状 > X键 : 更改所选形状的轴心点 (仅第一个形状)

选择形状 > 更改轴心 > 左键 : 确认新的轴心点

选择形状 > S键 : 调整形状大小

选择形状 > M键和N键 : 水平或垂直翻转形状



鼠标滚轮替换 :

如果您没有鼠标滚轮, 您可以按[or]键作为鼠标 
滚动.

","

Modes : 
There are two modes (switch by Right Click):

1.  Normal Mode : drawing shapes, by line or circle tool

2.  Selection Mode : select shapes, copy and paste, rotate, 
flip, bevel, array, etc

=================================

Normal Mode
(When you select a face and run the tool, you are in Normal Mode)

Mouse Left Click : draw lines

Mouse Right Click : switch to Selection Mode

Ctrl + Mouse wheel scroll : increase / decrease number of grids

Alt + Mouse wheel scroll : increase / decrease the size of grid plane

Q key / Enter key : commit the operation, cut the mesh

A key : Switch between Absolute Size Mode / Relative Size mode

S key : Switch between operation, eg: Boolean cut / n-gon / triangle / new face

Ctrl + Z : undo the draw

U key : Turn off grid snapping (press again to turn on)

P key : Rotate grid plane by 90 degree, based on alignment edge 
(set by Ctrl + click)

In U key mode (snapping off) : Hold left mouse button down and draw : 
free-hand drawing

Y key : Construction Line mode (press again to turn off)



Ctrl + Left Click on an edge of selected faces :  This is the most important 
function, it change the alignment of the grids plane, align the grids to the 
edge, and center the lines to the middle of the edge. You need to use this 
function often.



C key : use Circle tool

In Circle tool> Left click : draw the center of circle

In Circle tool> Shift + Mouse wheel scroll : change the number of sides of 
circle, min is 3 (become a triangle), you can use 4 for square, 5 for pentagon.

In Circle tool> C key : turn off Circle tool

In Circle tool> Esc key : cancel


============================================
Selection Mode
Mouse Left Click : select a shape

Mouse Right Click : leave Selection Mode

U key : Turn off grid snapping (press again to turn on)

Q key / Enter key : commit the operation, cut the mesh

Mouse drag a yellow rectangle : select multiple shapes

Selected shapes > Ctrl + C : copy the shapes

Selected shapes > Ctrl + V : paste the shapes (Esc key cancel)

Selected shapes > Ctrl + X : cut the shapes

Selected shapes > G key : move the shapes (Esc key cancel)

Selected shapes > R key : rotate the shapes

Selected shapes > Rotating > Move mouse cursor : rotate (by 5 degree every step)

Selected shapes > Rotating > Left Click : confirm rotation

Selected shapes > Rotating > Input numbers, then R key : rotate by degree

Selected shapes > Rotating > Esc key : cancel

Selected shapes > T key : rotate the shapes by 90 degree

Selected shapes > B key : bevel the shapes

Selected shapes > Bevel tool > Mouse wheel scroll : change number of bevel cut

Selected shapes > Bevel tool > Left Click : Confirm

Selected shapes > D key : duplicate the shapes by array tool

Selected shapes > Array tool > Mouse wheel scroll : increase / decrease number 
of copies

Selected shapes > Array tool > Left Click : Confirm

Selected shapes > Array tool > C key : switch to Circular Array

Selected shapes > Array tool > Circular > Mouse wheel scroll : change number of 
copies

Selected shapes > X key : Change the pivot of selected shape (only first shape)

Selected shapes > Pivot change > Left click : confirm the new pivot point

Selected shapes > S key : resize the shapes

Selected shapes > M key and N key : flip the shapes horizontally or vertically



Mouse Wheel replacement :

If you do not have mouse wheel, you can press [ or ] key to act as mouse 
scrolling.

"
"

请重新启动Blender并再次启用CATS!
","

Please restart Blender and enable CATS again!
"
"

删除着色器处理程序回退:形状
原因:
","

Remove shader handler fallback: Shape
Reason:
"
"

This is Basic Usage Guide.
For more functions and details, please visit : 
https://www.kushirocg.com/gridmodeler


After drawing shapes, the keys to execute operation are:

1 key : Cut and n-gon fill

2 key : Cut and triangle fill

3 key : Create new face

4 key : Boolean cut

5 key : Boolean slice

9 key : Edge Pipe

0 key : Construction line cut (special function)


==================================

Modes : 
There are two modes in Grid Modeler (switch by Right Click):

1.  Normal Mode : drawing shapes, by line or circle tool

2.  Selection Mode : select shapes, copy and paste, rotate, 
flip, bevel, array, etc

=================================


Normal Mode
(When you select a face and run the tool, you are in Normal Mode)

Mouse Left Click : draw lines

Mouse Right Click : switch to Selection Mode

Ctrl + Mouse wheel scroll : increase / decrease number of grids

Alt + Mouse wheel scroll : increase / decrease the size of grid plane

Q key / Enter key : quick commit operation, cut the mesh

A key : Switch between Absolute Size Mode / Relative Size mode


Ctrl + Z : undo the draw

U key : Turn off grid snapping (press again to turn on)

P key : Rotate grid plane at the location of last drawn point

Ctrl + P key : Rotate grid plane by 90 degree, based on alignment edge 
(set by Ctrl + click)

In U key mode (snapping off) : Hold left mouse button down and draw : 
free-hand drawing

Y key : Construction Line mode (press again to turn off)



Ctrl + Left Click on an edge of selected faces :  This is the most important 
function, it change the alignment of the grids plane, align the grids to the 
edge, and center the lines to the middle of the edge. You need to use this 
function often.



C key : use Circle tool

In Circle tool> Left click : draw the center of circle

In Circle tool> Shift + Mouse wheel scroll : change the number of sides of 
circle, min is 3 (become a triangle), you can use 4 for square, 5 for pentagon.

In Circle tool> C key : turn off Circle tool

In Circle tool> Esc key : cancel


============================================
Selection Mode
Mouse Left Click : select a shape

Mouse Right Click : leave Selection Mode

U key : Turn off grid snapping (press again to turn on)

Q key / Enter key : commit the operation, cut the mesh

Mouse drag a yellow rectangle : select multiple shapes

Selected shapes > Ctrl + C : copy the shapes

Selected shapes > Ctrl + V : paste the shapes (Esc key cancel)

Selected shapes > Ctrl + X : cut the shapes

Selected shapes > G key : move the shapes (Esc key cancel)

Selected shapes > R key : rotate the shapes

Selected shapes > Rotating > Move mouse cursor : rotate (by 5 degree every step)

Selected shapes > Rotating > Left Click : confirm rotation

Selected shapes > Rotating > Input numbers, then R key : rotate by degree

Selected shapes > Rotating > Esc key : cancel

Selected shapes > T key : rotate the shapes by 90 degree

Selected shapes > B key : bevel the shapes

Selected shapes > Bevel tool > Mouse wheel scroll : change number of bevel cut

Selected shapes > Bevel tool > Left Click : Confirm

Selected shapes > D key : duplicate the shapes by array tool

Selected shapes > Array tool > Mouse wheel scroll : increase / decrease number 
of copies

Selected shapes > Array tool > Left Click : Confirm

Selected shapes > Array tool > C key : switch to Circular Array

Selected shapes > Array tool > Circular > Mouse wheel scroll : change number of 
copies

Selected shapes > X key : Change the pivot of selected shape (only first shape)

Selected shapes > Pivot change > Left click : confirm the new pivot point

Selected shapes > S key : resize the shapes

Selected shapes > M key and N key : flip the shapes horizontally or vertically



Mouse Wheel replacement :

If you do not have mouse wheel, you can press [ or ] key to act as mouse 
scrolling.

","

This is Basic Usage Guide.
For more functions and details, please visit : 
https://www.kushirocg.com/gridmodeler


After drawing shapes, the keys to execute operation are:

1 key : Cut and n-gon fill

2 key : Cut and triangle fill

3 key : Create new face

4 key : Boolean cut

5 key : Boolean slice

9 key : Edge Pipe

0 key : Construction line cut (special function)


==================================

Modes : 
There are two modes in Grid Modeler (switch by Right Click):

1.  Normal Mode : drawing shapes, by line or circle tool

2.  Selection Mode : select shapes, copy and paste, rotate, 
flip, bevel, array, etc

=================================


Normal Mode
(When you select a face and run the tool, you are in Normal Mode)

Mouse Left Click : draw lines

Mouse Right Click : switch to Selection Mode

Ctrl + Mouse wheel scroll : increase / decrease number of grids

Alt + Mouse wheel scroll : increase / decrease the size of grid plane

Q key / Enter key : quick commit operation, cut the mesh

A key : Switch between Absolute Size Mode / Relative Size mode


Ctrl + Z : undo the draw

U key : Turn off grid snapping (press again to turn on)

P key : Rotate grid plane at the location of last drawn point

Ctrl + P key : Rotate grid plane by 90 degree, based on alignment edge 
(set by Ctrl + click)

In U key mode (snapping off) : Hold left mouse button down and draw : 
free-hand drawing

Y key : Construction Line mode (press again to turn off)



Ctrl + Left Click on an edge of selected faces :  This is the most important 
function, it change the alignment of the grids plane, align the grids to the 
edge, and center the lines to the middle of the edge. You need to use this 
function often.



C key : use Circle tool

In Circle tool> Left click : draw the center of circle

In Circle tool> Shift + Mouse wheel scroll : change the number of sides of 
circle, min is 3 (become a triangle), you can use 4 for square, 5 for pentagon.

In Circle tool> C key : turn off Circle tool

In Circle tool> Esc key : cancel


============================================
Selection Mode
Mouse Left Click : select a shape

Mouse Right Click : leave Selection Mode

U key : Turn off grid snapping (press again to turn on)

Q key / Enter key : commit the operation, cut the mesh

Mouse drag a yellow rectangle : select multiple shapes

Selected shapes > Ctrl + C : copy the shapes

Selected shapes > Ctrl + V : paste the shapes (Esc key cancel)

Selected shapes > Ctrl + X : cut the shapes

Selected shapes > G key : move the shapes (Esc key cancel)

Selected shapes > R key : rotate the shapes

Selected shapes > Rotating > Move mouse cursor : rotate (by 5 degree every step)

Selected shapes > Rotating > Left Click : confirm rotation

Selected shapes > Rotating > Input numbers, then R key : rotate by degree

Selected shapes > Rotating > Esc key : cancel

Selected shapes > T key : rotate the shapes by 90 degree

Selected shapes > B key : bevel the shapes

Selected shapes > Bevel tool > Mouse wheel scroll : change number of bevel cut

Selected shapes > Bevel tool > Left Click : Confirm

Selected shapes > D key : duplicate the shapes by array tool

Selected shapes > Array tool > Mouse wheel scroll : increase / decrease number 
of copies

Selected shapes > Array tool > Left Click : Confirm

Selected shapes > Array tool > C key : switch to Circular Array

Selected shapes > Array tool > Circular > Mouse wheel scroll : change number of 
copies

Selected shapes > X key : Change the pivot of selected shape (only first shape)

Selected shapes > Pivot change > Left click : confirm the new pivot point

Selected shapes > S key : resize the shapes

Selected shapes > M key and N key : flip the shapes horizontally or vertically



Mouse Wheel replacement :

If you do not have mouse wheel, you can press [ or ] key to act as mouse 
scrolling.

"
"

您还在Blender 2.80的测试版!
请更新到Blender 2.80的发行版本.
","

You are still on the beta version of Blender 2.80!
Please update to the release version of Blender 2.80.
"
"
    插件检查器弹出菜单

    ","
    Addon checker popup

    "
"
    应用旋转和缩放.

    ","
    Apply rotation and scale.

    "
"
    更改选定对象的状态.
    于工作流程的调整.
    ","
    Changes to SStatus of selected object.
    Used for workflow realignment.
    "
"
    折叠所有修改器

    ","
    Collapse all modifiers

    "
"
    将面转换为Knurl图案

    ","
    Convert Face To Knurl Pattern

    "
"
    将四边形转换为栅格图案

    ","
    Convert QUAD(s) To Grate Pattern

    "
"
    将选择边转换为面模式.

    ","
    Convert edge selection to panel modally.

    "
"
    利用材质显示 N边面/三角面.
    选择第二次禁用.

    ","
    Display NGONS / TRIS using materials.
    Select a 2nd time to disable.

    "
"
    显示修改器 / 材质 / hardops 弹出式助手.

    ","
    Displays modifers / material / hardops popup helper.

    "
"
    展开所有修改器

    ","
    Expand all modifiers

    "
"
    将选择面挤出模式.

    ","
    Extrude the face selection modally.

    "
"
    从视图中隐藏标记边.

    ","
    Hides Marked Edges from view.

    "
"
    了解更多关于 Hard Ops/Boxcutter 以及如何使用它们.

    ","
    Learn more about Hard Ops / Boxcutter and how to use them.

    "
"
    在编辑模式下标记锐边和倒角

    ","
    Mark Sharps And Bevels In Edit Mode

    "
"
    各种网格工具和功能在编辑模式下的操作

    ","
    Operations for various mesh utilities and functions in Edit Mode

    "
"
    对象模式下各种网格工具和功能的操作

    ","
    Operations for various mesh utilities and functions in Object Mode

    "
"
    订购披萨!

    ","
    Order A Pizza!

    "
"
    用于添加不适合工具设置标题的额外选项的弹出面板
    ","
    Popover panel for adding extra options that don't fit in the tool settings header
    "
"
    隐藏常规视图元素 / 简化视图.

    ","
    Regular viewport elements hidden / simplified view.

    "
"
    删除边标记.

    ","
    Removes marking from edges.

    "
"
    设置 Eevee / Cycles 设置为高质量渲染
    可在HOPS下拉渲染部分进行配置

    在视口着色中启用 Cavity/阴影.
    F9用于微调

    ","
    Sets Eevee / Cycles settings to render High Quality
    Configurable in HOPS Dropdown render section

    Enables Cavity / Shadow in viewport shading.
    F9 for fine adjustments

    "
"
    设置 Eevee / Cycles 设置为高质量渲染
    ","
    Sets Eevee / Cycles settings to render HighQuality
    "
"
    设置 Eevee / Cycles 设置为低质量渲染
    可在HOPS下拉渲染部分进行配置

    在视口着色中禁用 Cavity/阴影.
    F9用于微调

    ","
    Sets Eevee / Cycles settings to render Lower Quality
    Configurable in HOPS Dropdown render section

    Disables Cavity / Shadow in viewport shading.
    F9 for fine adjustments

    "
"
    实体/纹理 切换

    在视窗中切换常规视窗和材质视图.
    对于uprez任务和涉及材质参考的任务很有用

    ","
    Solid / Texture Toggle

    Toggle general viewport and material view in viewport.
    Useful for uprez tasks and tasks involving a material reference

    "
"
UI列表项目上下文菜单定义。脚本可以附加/预置此内容
    以将自己的操作添加到上下文菜单中。脚本必须确认上下文，所以
    其条目只在有效的上下文中绘制，并为正确的UI列表。
    ","
    UI List item context menu definition. Scripts can append/prepend this to
    add own operators to the context menu. They must check context though, so
    their items only draw in a valid context and for the correct UI list.
    "
"
UI按钮上下文菜单定义。脚本可以附加/预置此内容
    以将自己的操作添加到上下文菜单中。脚本必须确认上下文，所以
    其条目只在有效的上下文中绘制，并为正确的按钮。
    ","
    UI button context menu definition. Scripts can append/prepend this to
    add own operators to the context menu. They must check context though, so
    their items only draw in a valid context and for the correct buttons.
    "
"
    自定义缩放应用程序, 更换Blender的转换应用(缩放=真)
    1. 保持子级变换 + 倒角宽度不变
    2. 如果有DECALmachine存在，则修复贴花备份矩阵
    ","
    custom scale applicaton, replacing Blender's transform_apply(scale=True)
    1. keeps child transformations + bevel width unchanged
    2. fixes decal backup matrices if DECALmachine is present
    "
"
 ! 忽略即时 %s:","
 ! IGNORED Instant %s:"
"
 +X 轴","
 +X axis"
"
 +Y 轴","
 +Y axis"
"
 - X 轴","
 - X axis"
"
 - Y 轴","
 - Y axis"
"
 3D视图键位映射","
 3D View Keymap"
"
 3D视图工具: 游标键位映射","
 3D View Tool: Cursor Keymap"
"
 活动元素","
 Active Element"
"
 添加UV到切割机","
 Add UV to cutters"
"
 在顶部栏中最右边的菜单元素周围添加填充","
 Add padding around right most menu elements in the topbar"
"
 在顶栏的元素之间添加空格","
 Add space between elements in the topbar"
"
 在顶部栏中使用的额外中心填充量

","
 Additional center padding amount to use in the topbar

"
"
 在顶部栏中使用的额外中心填充量

 注意:如果对你的窗口来说太高，顶部栏会隐藏/折叠

 手动输入以上数字 24","
 Additional center padding amount to use in the topbar

 NOTE: If too high for your window the topbar will hide/collapse

 Manually enter numbers above 24"
"
 对齐柔性骨骼...","
 Align Bendy Bones..."
"
 将形状与3D游标对齐

 在绘制时将绘图定向到3D游标
 启用栅格 Gizmo后，会显示栅格.
 游标在Z轴上最佳对齐.

 Gizmo可能被禁用，只留下网格","
 Align Shape to 3d Cursor

 Cursor orients the drawing to the 3d cursor on draw
 Grid Gizmo being enabled shows grid.
 Cursor best aligns on Z axis.

 Gizmo may be disabled leaving only grid"
"
 对齐形状到表面

 对象在绘制时将图形定向到表面
 BC将根据物体表面信息计算出方位.
 通常情况下，默认","
 Align Shape to Surface

 Object orients the drawing to the surface on draw
 BC will calculate the orientation based on surface geo.
 Typically the default"
"
 将形状与世界坐标轴对齐


 在世界的0,0,0中绘制形状

 世界是利用世界进行定位的最后一个后备方案

 通常与 创建BOX 一起使用，用于创建","
 Align Shape to World Axis


 Draws shape in 0,0,0 of the world

 World is the final fallback utilizing the world for orientation

 Typically used with make box for creation"
"
 对齐形状到视图

 视图将图形从表面上定向到绘图时的视图
 BC将根据视图计算方向.
 通过投影切割设置刀具工作. 支持（仅边）2D自定义形状.
 通常用于投影切割","
 Align shape to View

 View orients the drawing off the surface to the view on draw
 BC will calculate the orientation based on the viewport.
 Sets knife to work via knife project. Supporting (edge-only) 2d custom shapes.
 Typically used for cut projection"
"
 绕过曲面方向将图形与视口对齐

","
 Aligns the shape to the viewport bypassing surface orientation

"
"
 绕过表面方向使形状与视口对齐

 禁用网格吸附点.
 绕过对象绘制对齐.

 设置刀通过刀项目工作。支持（仅边缘）2D形状","
 Aligns the shape to the viewport bypassing surface orientation

 Disables mesh snapping dots.
 Bypasses object draw alignment.

 Sets knife to work via knife project. Supporting (edge-only) 2d shapes"
"
 绘制模式允许套索","
 Allow lasso draw mode"
"
 在阵列操作期间允许 shift 操作","
 Allow shift operation during the array operation"
"
 在倒角操作期间允许 shift 操作","
 Allow shift operation during the bevel operation"
"
 在置换操作期间允许 shift 操作","
 Allow shift operation during the displace operation"
"
 在绘制操作期间允许 shift 操作","
 Allow shift operation during the draw operation"
"
 在挤出操作期间允许 shift 操作","
 Allow shift operation during the extrude operation"
"
 在移动操作期间允许 shift 操作","
 Allow shift operation during the move operation"
"
 在偏移操作期间允许 shift 操作","
 Allow shift operation during the offset operation"
"
 在旋转操作期间允许 shift 操作","
 Allow shift operation during the rotate operation"
"
 在缩放操作期间允许 shift 操作","
 Allow shift operation during the scale operation"
"
 在实体化操作期间允许 shift 操作","
 Allow shift operation during the solidify operation"
"
 在锥度操作期间允许 shift 操作","
 Allow shift operation during the taper operation"
"
 允许使用带有accent grave/波浪号键的视图饼","
 Allow using the view pie with accent grave / tilde key"
"
 Alt + 滚轮 快速改变形状","
 Alt + scroll wheel change shape on the fly"
"
 绘图时按住Alt键使刀具居中","
 Alt centers the cutter when held while drawing"
"
 时间量 (毫秒) 点小部件需要淡入","
 Amount of time (milliseconds) it takes for the dot widgets to fade in"
"
 时间量 (毫秒) 点小部件需要淡出","
 Amount of time (milliseconds) it takes for the dot widgets to fade out"
"
 时间量 (毫秒) 网格需要淡入","
 Amount of time (milliseconds) it takes for the grid to fade in"
"
 时间量 (毫秒) 网格需要淡出","
 Amount of time (milliseconds) it takes for the grid to fade out"
"
 时间量 (毫秒) 需要的形状逐渐消失","
 Amount of time (milliseconds) it takes for the shape to fade in"
"
 时间量 (毫秒) 需要使形状逐渐消失","
 Amount of time (milliseconds) it takes for the shape to fade out"
"
 应用布尔修改器","
 Applies Boolean Modifiers"
"
 如果目标被缩放，则对其应用缩放","
 Apply scale on the target if it is scaled"
"
 将切片应用到切片对象上","
 Apply slice cuts on the slice objects"
"
 阵列数量","
 Array count"
"
 当在其他操作期间进行shift时，指定一个要跳转的操作","
 Assign an operation to jump into when shift is held during other operations"
"
 为形状对象指定集合","
 Assign collection for shape objects"
"
 指定形状对象","
 Assign shape object"
"
 切割时自动平滑几何图形","
 Auto smooth geometry when cutting into it"
"
 自动确定正视图投影切割","
 Automatically enter orthographic for view project cuts"
"
 自动挤压到一个深度","
 Automatically extrude to a depth"
"
 行为","
 Behavior"
"
 倒角分段","
 Bevel segments"
"
 倒角分段默认值","
 Bevel segments default value"
"
 倒角宽度","
 Bevel width"
"
 边界框中心","
 Bounding Box Center"
"
 计算相对于可见3D区域的间距","
 Calculate spacing relative to visible 3d area"
"
 取消N边面 右键点击，而不是删除点","
 Cancel ngon on rmb click rather then remove points"
"
 更改网格以匹配形状模式","
 Change the grid to match the shape mode"
"
 选择更大的深度 (自动深度)","
 Choose a larger depth (Auto Depth)"
"
 选择应用在形状上的修改器","
 Choose what modifiers are applied on the shape"
"
 倒角操作点的颜色","
 Color of bevel operation dots"
"
 操作点颜色","
 Color of operation dots"
"
 捕捉点颜色","
 Color of snapping points"
"
 突出显示的捕捉点颜色","
 Color of snapping points highlighted"
"
 网格颜色","
 Color of the grid"
"
 网格的颜色\","
 Color of the grid\"
"
 在网格对象后面时形状的颜色","
 Color of the shape when behind a mesh object"
"
 切割时形状的颜色","
 Color of the shape when cutting"
"
 提取时形状的颜色","
 Color of the shape when extracting"
"
 插入时形状的颜色","
 Color of the shape when insetting"
"
 相交时形状的颜色","
 Color of the shape when intersecting"
"
 合并时形状的颜色","
 Color of the shape when joining"
"
 制作时形状的颜色","
 Color of the shape when making"
"
 切片时形状的颜色","
 Color of the shape when slicing"
"
 使用刀具时的形状颜色","
 Color of the shape when using knife"
"
 形状线的颜色","
 Color of the shape's wire"
"
 形状的颜色\","
 Color of the shape\"
"
 形状绑定区域的颜色","
 Color of the shapes bound region"
"
 彩色操作点高亮显示","
 Color operation dots highlighted"
"
 将N边面的最后一个点与第一个点连接起来","
 Connect the final point of the NGon with the first point"
"
 将刀具作为子对象连接到父对象","
 Connects cutters as children to parent"
"
 Ctrl - HopsCutter 讨论社区

Shift - Box文档","
 Ctrl - HopsCutter Discord Community

Shift - Box Docs"
"
 默认状态 (无修改器)","
 Default State (no modifier)"
"
 检测大小系数","
 Detection Size Factor"
"
 以更简单的状态显示顶栏","
 Display Topbar in a simpler state"
"
 显示并捕捉到网格","
 Display and snap to grid"
"
 锁定状态下显示点操纵器","
 Display dots manipulator when in lock state"
"
 在顶栏中显示操作标签","
 Display label for mode in topbar"
"
 在顶栏中显示操作标签","
 Display label for operation in topbar"
"
 在顶栏中显示形状标签","
 Display label for shape in topbar"
"
 在顶栏中显示曲面标签","
 Display label for surface in topbar"
"
 在顶栏中显示破坏行为菜单","
 Display menu for destructive behavior in topbar"
"
 仅显示形状的线","
 Display only wires for shapes"
"
 在顶栏中显示捕捉选项","
 Display snap options in topbar"
"
 在模态期间显示切割

","
 Display the cuts during the modal

"
"
 在模态期间显示切割

 应用后将出现边线时","
 Display the cuts during the modal

 When off cuts will appear after apply"
"
 完成后显示形状对象","
 Display the shape object when finished"
"
 在目标上显示线","
 Display wires on target"
"
 距离衰减捕捉点","
 Distance to Fade snapping points"
"
 当网格和其他捕捉类型同时处于活动状态时，不要主动更改捕捉目标面","
 Do not actively change the snap target face when the grid and other snap types are active simultaneously"
