"打开下载页面","Open Downloads Page"
"导出资产 JSON","Export Asset JSON"
"压缩","Compress"
"创建雾","Create Fog"
"添加具有假定尺寸和雾材质的立方体","Add a cube with the assumed dimensions and fog material"
"雾型","Fog Type"
"选择要创建的雾类型","Choose the type of fog to create"
"打开 URL","Open URL"
"打开指向给定 url 的网页","Opens a webpage to the given url"
"发送电子邮件","Send Email"
"默认打开以发送电子邮件","Opens default to send an email"
"创造","Create"
"创建新的性能项","Create a new performance item"
"名字","Name"
"性能项的名称","Name of the performace item"
"删除","Remove"
"删除活动性能项","Remove the active performance item"
"上升","Move Up"
"上移活动性能项","Move the active performance item up"
"向下移动","Move Down"
"向下移动活动性能项","Move the active performance item down"
"加载性能项目","Load Performance Items"
"加载所有性能项目","Load all performance items"
"字母的","Alphabetical"
"按字母顺序对项目进行排序","Order the items alphabetically"
"反向","Reverse"
"反转项目的当前顺序","Invert the current order of the items"
"创建预设","Create Preset"
"创建新预设","Create a new preset"
"预设名称","Preset Name"
"新预设的名称","The name of the new preset"
"从现有节点创建新预设","Create a new preset from an existing node"
"创建自定义预设","Create Custom Preset"
"从当前设置创建新预设","Create a new preset from current settings"
"删除预设","Remove Preset"
"删除预设","Remove a preset"
"要删除的天空预设的名称","The name of the sky preset to remove"
"删除活动预设","Remove the active preset"
"将图标添加到预设","Add an icon to a preset"
"从预设中删除图标","Remove an icon from a preset"
"加载预设顺序","Load Preset Order"
"再次加载所有预设以更改其顺序","Load all the presets again to change their order"
"按顺序移动预设","Move the preset up in its order"
"按顺序向下移动预设","Move the preset down in its order"
"按字母顺序对预设进行排序","Order the presets alphabetically"
"反转预设的当前顺序","Invert the current order of the presets"
"导出预设","Export Presets"
"导出这些预设以进行共享","Export these presets for sharing"
"满天","Full Sky"
"时间","Time"
"溶胶单纯疱疹病毒","Sol HSV"
"大气层","Atmosphere"
"阴霾","Haze"
"雾","Fog"
"夜空","Night Sky"
"夜间HDRI","Night HDRI"
"月亮","Moon"
"月相","Moon Phase"
"星云","Nebula"
"星星","Stars"
"夜间清晰度","Night Clarity"
"文件路径","File Path"
"用于导出文件的文件路径","Filepath used for exporting the file"
"导入预设","Import Presets"
"从 json 文件导入预设","Import presets from json file"
"重置为默认值","Reset to Default"
"将设置重置为默认值","Reset the setting to its default value"
"全部重置为默认值","Reset All to Defaults"
"将所有设置重置为默认值","Reset all settings to their default values"
"将设置重置为主要的日/夜预设","Reset the setting to the main day/night preset"
"假定活动场景的活动世界材质","Assumes the active scene's active World Material"
"将所有设置重置为预设","Reset all settings to their preset"
"全部重置为默认值","Reset All to Default"
"设置开发环境","Setup the dev environment"
"默认打开以向 contact@rjtproductions.com 发送电子邮件","Opens default to send an email to contact@rjtproductions.com"
"加载 HDRI","Load HDRI"
"将新的天空HDRI加载到True-Sky中","Load into True-Sky a new sky HDRI"
"点击放置太阳","Place sun by clicking"
"通过单击天空来设置太阳的位置","Set location of the sun by clicking in the sky"
"旋转月亮","Rotate Moon"
"通过旋转月亮灯设置月亮位置","Set moon position by rotating the moon lamp"
"tVFX_Clouds","tVFX_Clouds"
"将每个输入的缺省值设置为在组节点的节点树中设置的缺省值","Set each input's default value to its default value set inside the group node's node tree"
"启用 Nebula","Enable Nebula"
"褪色","Fade"
"量","Amount"
"种子","Seed"
"失真","Distortion"
"色调","Hue"
"饱和","Saturation"
"星星金额","Star Amount"
"星星大小随机","Star Size Random"
"启用光污染","Enable Light Pollution"
"高度","Altitude"
"强度","Strength"
"启用灯","Enable Lights"
"灯的数量","Amount of Lights"
"启用 Moon","Enable Moon"
"半径","Radius"
"距离","Distance"
"高度","Height"
"旋转","Rotation"
"曲面旋转","Surface Rotation"
"亮度","Brightness"
"照明方向","Lighting Direction"
"阴影亮度","Shadow Brightness"
"影子 GI","Shadow GI"
"过渡","Transition"
"太阳大小","Sun Size"
"日照强度","Sun Intensity"
"太阳自转","Sun Rotation"
"天空力量","Sky Strength"
"启用二进制","Enable Binary"
"二进制太阳大小","Binary Sun Size"
"二元太阳强度","Binary Sun Intensity"
"二进制太阳高度","Binary Sun Height"
"双太阳自转","Binary Sun Rotation"
"二元天空强度","Binary Sky Strength"
"二进制空气","Binary Air"
"二元尘埃","Binary Dust"
"二元臭氧","Binary Ozone"
"二进制颜色变化","Binary Color Change"
"二进制颜色","Binary Color"
"启用 HSV","Enable HSV"
"价值","Value"
"太阳高度","Sun Height"
"空气","Air"
"灰尘","Dust"
