on	description=("Maximum ray distance. Zero automatically uses four times  \\n the decal width"	description=("最大射线距离。Zero自动使用四次次数\\n 贴花宽度"	CEW
on	description="Ray samples per test point"	description="每个测试点的射线采样"	CEW
on	description=("Enabled for automatic generation so short source segments are  \\n removed individually. Disabled for manual generation so the \\n complete selected chain is measured and preserved"	description=("启用自动生成，因此短源分段\\n 单独拆下。禁用用于手动生成，因此\\n 测量并保存完整的选定链"	CEW
on	description="Choose a repeatable random width for each disconnected decal path"	description="为每个断开连接的贴花路径选择可重复的随机宽度"	CEW
on	description=("Build a connected curve-graph strip and locally reduce its width  \\n before it reaches another selected decal edge"	description=("建立连通曲线图条并局部缩小其宽度\\n 在它到达另一个选定的贴花边缘之前"	CEW
on	description=("Fraction of the shared gap used by two opposing decal strips"	description=("两个相对的贴花条使用的共享间隙的分数"	CEW
on	description=("Build separate geometry islands where a connected edge path  \\n turns farther than Split Angle"	description=("构建单独的几何孤岛，其中连接的边路径\\n 转向比拆分角度更远"	CEW
on	description="Split when the actual path turn exceeds this angle"	description="当实际路径转弯超过该角度时拆分"	CEW
on	description=("Prefer a real connected support-face edge at safe endpoints,\\n and fall back to the existing miter solver when no suitable rail exists"	description=("首选安全端点处的真实连接支撑面边缘，\\n 当不存在合适的轨道时，回退到现有斜接解算器"	CEW
on	description="Add the Weld modifier to this decal layer"	description="将“焊接修改器”添加到此贴花层"	CEW
on	description="Merge overlapping vertices before the final bevel modifier"	description="合并最终斜边修改器之前重叠的顶点"	CEW
on	description="Add a source-targeted Shrinkwrap modifier to this layer"	description="将以源为目标的收缩包裹修改器添加到此层"	CEW
on	description="Displace only the EdgeDecal_Center vertex group"	description="置换仅EdgeDecal_Center顶点组"	CEW
on	description="Normal displacement applied to EdgeDecal_Center"	description="应用于EdgeDecal_Center的法线置换"	CEW
on	description="Add the final Bevel modifier to this layer"	description="将最终斜边修改器添加到此层"	CEW
on	description="Limit the Bevel modifier to EdgeDecal_Center"	description="限制斜边修改器为EdgeDecal_Center"	CEW
on	description="Width of the angle-limited bevel"	description="角度限制斜边的宽度"	CEW
on	description="Number of segments used by the bevel"	description="斜边使用的分段的数字"	CEW
on	description="Shape of the bevel profile"	description="斜边轮廓的形状"	CEW
on	description="Harden normals on the generated decal's Bevel modifier"	description="在生成贴花的斜边修改器上硬化法线"	CEW
on	description="Only edges sharper than this angle are beveled"	description="仅比这个角度更尖锐的边是斜面的"	CEW
on	description="Add a Subdivision Surface modifier to this layer"	description="将细分表面修改器添加到此层"	CEW
on	description="Add a Decimate modifier to this layer"	description="将精简修改器添加到此层"	CEW
on	description="Show settings stored on the selected decal object"	description="显示存储在选定贴花对象上的设置"	CEW
on	description="Show the selected decal geometry settings"	description="显示选定的贴花几何设置"	CEW
on	description="Show geometry settings that are changed less frequently"	description="显示几何设置"	CEW
on	description="Show the selected decal UV settings"	description="显示所选贴花UV设置"	CEW
on	description="Show UV settings that are changed less frequently"	description="显示较少更改的UV设置"	CEW
on	description="Show normal shading settings for the selected decal"	description="显示选定贴花的法线着色设置"	CEW
on	description="Show detailed normal modifier settings"	description="显示详细的法线修改器设置"	CEW
on	description="Scale Face Width from the source object's largest world-space dimension so differently sized assets get proportional decals"	description="从源对象的最大世界空间维度缩放面宽度，使大小不同的资产获得衰减贴花"	CEW
on	description=("Remove damage from inward concave edges. 0 keeps all crevice edges;  \\n 1 removes all detected concave edges"	description=("移除破损。0保持全部缝隙边；  \\n 1 删除全部检测到的凹形边"	CEW
on	description=("Ambient Occlusion uses local raycasts and is more reliable on  \\n Geometry keeps the older angle test"	description=("环境光遮蔽使用局部光线投射，并且在\\n 几何保持旧的角度测试"	CEW
on	description=("Maximum local occlusion distance. Zero automatically uses four  \\n times Face Width"	description=("最大局部堵塞距离。零自动使用四个\\n 次数面宽度"	CEW
on	description=("Number of cross-section rays per test point. Higher values are  \\n more stable but slower"	description=("每个测试点的数字。更高的值是\\n 更稳定但较慢"	CEW
on	description=("Ignore eligible edges shorter than the Minimum Edge Length"	description=("忽略比最小边长度短的合格边"	CEW
on	description=("World-space edge length below which edges are excluded from decal generation"	description=("世界空间边长度，低于该长度的边将被从贴花生成中排除"	CEW
on	description=("World-space minimum used only by Generate Automatically.  \\n Automatic mode measures individual source edges to reject tiny " "segments that can create unstable geometry"	description=("世界空间最小值仅由“自动生成”仅使用。  \\n 自动模式测量个体源边以拒绝微小" "可以创建不稳定几何的分段"	CEW
on	description=("Controls total decal coverage and slice intensity. Lower values  \\n retain less edge wear and shorten continuous decal chains more aggressively"	description=("控制全部贴花覆盖和切片强度。较低的值\\n 保持较少的边缘磨损，并更积极地缩短连续贴花链"	CEW
on	description="Legacy compatibility value; Decal Amount now continuously controls slicing"	description="旧版兼容性值；贴花数量现在持续控制切片"	CEW
on	description="Internal interactive mode flag: taper only visually exposed endpoints on full selected edges"	description="内部交互式模式标志：在完全选定的边上仅锥度仅视觉暴露的端点"	CEW
on	description=("Maximum continuous generated decal length. Zero disables the limit"	description=("最大连续生成贴花长度。零禁用限制"	CEW
on	description=("Taper only endpoints introduced by Decal Amount slicing;  \\n original decal endpoints remain unchanged"	description=("贴花数量切片引入的锥度仅端点；  \\n 原点贴花端点保持不变的"	CEW
on	description="Distance from a sliced tip to full decal width"	description="从切片尖端到全贴花宽度的距离"	CEW
on	description=("Trim only open decal ends that stop beside a real turning continuation"	description=("修剪仅开放式贴花端点，停止在真实转弯延续线旁边"	CEW
on	description="Trim distance relative to the last source Bevel modifier width"	description="相对于最后源斜边修改器宽度修剪距离相对"	CEW
on	description="Lower values are faster; higher values detect nearby edges more reliably"	description="较低的值更快；更高的值探测附近的边更可靠"	CEW
on	description=("Reduce the width per edge side when the requested Face Width  \\n would reach a nearby edge on the same surface"	description=("当请求的面宽度时，减少每边侧的宽度\\n 会到达相同表面上的附近边缘"	CEW
on	description=("Percentage of the detected free space that the decal is allowed to use"	description=("允许贴花使用的检测到的免费空间的百分比"	CEW
on	description=("Fraction of the shared space used by two opposing strips;  \\n lower values leave a larger gap"	description=("两个相对条带使用的共享空间的分数；  \\n 值越低，间隙越大"	CEW
on	description="Small world-space offset used to prevent z-fighting"	description="用于防止z战斗的小世界空间偏移"	CEW
on	description="Limits very long planar miters at acute corners"	description="限制锐角处非常长的平面斜接"	CEW
on	description=("In Object Mode,use manifold edges whose angle between adjacent  \\n faces is at least this value as automatic generation seeds"	description=("在对象模式中，使用流行边，相邻边之间的角度\\n 作为自动生成种子，面至少为该值"	CEW
on	description="Smallest width used when Random Width is enabled"	description="当随机宽度被启用时使用的最小宽度"	CEW
on	description="Largest width used when Random Width is enabled"	description="当随机宽度被启用时使用的最大宽度"	CEW
on	description=("Follow connected quad-topology loops without including edges  \\n below Auto Edge Angle"	description=("跟随连接的四元拓扑回路无包括边\\n 低于自动边缘角度"	CEW
on	description=("Split only when the actual path turn exceeds this angle;  \\n straight continuations remain connected even at topology junctions"	description=("仅在当实际路径转弯超过该角度时仅拆分；  \\n 直延拓即使在拓扑结处也保持连接"	CEW
on	description="Add the Weld modifier to generated decals"	description="将“焊接修改器”添加到生成贴花"	CEW
on	description=("Add a final Bevel modifier; copy the source Bevel when available,\\n otherwise use the custom bevel settings below"	description=("添加最终斜边修改器；复制源斜边当可用，\\n 否则，请使用下面的自定义斜边设置"	CEW
on	description=("Add a Displace modifier restricted to the EdgeDecal_Center  \\n vertex group and place it before the Bevel modifier"	description=("添加限制为EdgeDecal_Center的置换修改器\\n 顶点组，并将其放置在斜边修改器之前"	CEW
on	description=("Limit the Bevel modifier to the EdgeDecal_Center vertex group"	description=("限制斜边修改器为EdgeDecal_Center顶点组"	CEW
on	description=("Add a Shrinkwrap modifier to generated decals and automatically  \\n use the source mesh as its target,with Surface Offset as its offset"	description=("将收缩包裹修改器添加到生成贴花并自动\\n 使用源网格作为其目标，表面偏移作为其偏移"	CEW
on	description="Add a Subdivision Surface modifier to generated decals"	description="将细分表面修改器添加到生成贴花"	CEW
on	description="Add a Decimate modifier to generated decals"	description="将精简修改器添加到生成贴花"	CEW
on	description=("Normal displacement strength applied only to EdgeDecal_Center"	description=("法线置换强度仅仅于EdgeDecal_Center"	CEW
on	description="Number of segments used by the angle-limited bevel"	description="角度限制斜边使用的分段的数字"	CEW
on	description="Shape of the bevel profile; 0.5 creates a circular arc"	description="斜边轮廓的形状；0.5创建圆形弧形"	CEW
on	description="Normal shading used by newly generated decals"	description="新生成的贴花使用的法线着色"	CEW
on	description="Preserve sharp edge boundaries in the normal modifier"	description="保留法线修改器中的锐边边边界"	CEW
on	description="Weight used by the Weighted Normals mode"	description="加权法线模式使用的权重"	CEW
on	description="Ignore normal contributions below this threshold"	description="忽略低于此阈值的法线贡献"	CEW
on	description=("Append newly generated decal geometry to the existing edge decal  \\n object for this source mesh instead of creating separate objects"	description=("追加新生成的贴花几何附加到现有边缘贴花\\n 此源网格的对象，而不是创建单独的对象"	CEW
on	description=("Automatically center and vertically scale newly generated decal  \\n UV islands to the existing UV pins"	description=("自动中心和垂直缩放新生成贴花\\n UV岛到现有UV固定"	CEW
on	description=("Skip quadrify,texel-density processing,UV strip placement,\\n random UV offsets,and automatic UV-pin fitting without changing " "the saved UV-pin preference"	description=("跳过四边形，纹理密度进程，UV条放置，\\n 随机UV偏移，自动UV引脚适配，无更改" "保存的UV接点首选项"	CEW
on	description=("Generate and process UVs for the created decal strips"	description=("为创建的贴花条带生成和处理UV"	CEW
on	description=("Create UVMap.001; Match Material projects the source object's  \\n first UV map onto it,otherwise Blender's Conformal unwrap and " "the Texel Density target are used"	description=("创建UVMap.001；匹配材质投影源对象的\\n 首先UV映射到它上，否则Blender的保形解包和" "使用纹素密度目标"	CEW
on	description=("Use the self-contained GPL quadrify implementation built into  \\n this add-on"	description=("使用内置于\\n 此加载项"	CEW
on	description=("Average corresponding mesh edge-loop lengths before quadrifying"	description=("四边形化之前平均对应的网格边循环长度"	CEW
on	description=("Use square UV quads instead of preserving mesh proportions"	description=("使用平方UV四边形，而不是保留网格比例"	CEW
on	description=("Use Blender Follow Active Quads only when Quadrify UV Strips  \\n is disabled"	description=("使用Blender Follow活动四边形仅当四边形UV条纹时\\n 是禁用"	CEW
on	description=("Additional UV scale multiplier applied after unwrap,alignment,\\n texel density,and strip placement"	description=("在解包、对齐、，\\n 纹素密度和条带放置"	CEW
on	description=("Scale generated UV islands to an exact pixels-per-centimeter target;  \\n quarter-strip placement will not resize them afterward"	description=("缩放生成UV岛到每厘米精确像素目标；  \\n 四分之一条放置后不会调整它们的大小"	CEW
on	description="Target UV density in pixels per centimeter"	description="目标UV密度，像素/厘米"	CEW
on	description=("Resolution of the square decal texture used to convert px/cm  \\n into UV scale"	description=("用于转换px/cm的平方贴花纹理的分辨率\\n 进入UV缩放"	CEW
on	description=("Equalize texel density across generated UV islands before  \\n horizontal alignment and quarter-strip placement"	description=("在之前，在生成UV岛上相等纹素密度\\n 水平对齐和四分之一条放置"	CEW
on	description=("Rotate each UV island so its longest dimension runs horizontally"	description=("旋转每个UV岛，使其最长的维度水平运行"	CEW
on	description=("Fit each UV island into one of four horizontal 0.25-high bands  \\n inside the 0-1 UV space"	description=("将每个UV岛安装到四个水平0.25高波段中的一中\\n 在0-1 UV空间的内部"	CEW
on	description=("Randomly choose which of the four 0.25-high bands receives each island"	description=("随机选择四个0.25高频带中的哪一个接收每个岛屿"	CEW
on	description=("Give every UV island a distinct randomized U position; wide  \\n islands may tile beyond 0-1 so their horizontal phase can change"	description=("给每个UV岛一个不同的随机U位置；宽的，宽的\\n 岛屿可以平铺超过0-1，因此它们的水平阶段可以改变"	CEW
on	description="Total U-space span used to separate randomized UV islands"	description="用于分离随机UV岛的全部U空间跨度"	CEW
on	description=("Controls independently mixed per-path Decal Amount cuts,\\n slice selection,and random UV placement"	description=("独立控制每路径混合贴花数量切割，\\n 切片选择和随机UV放置"	CEW
on	description=("Padding inside each 0.25-high UV strip,measured in UV space"	description=("填充内部每个0.25高UV条，在UV空间中测量"	CEW
on	description="Assign the selected decal material to generated decals"	description="指定选定的贴花材质指定给生成贴花"	CEW
on	description="Material assigned to newly generated decal objects"	description="指定给新生成贴花对象的材质"	CEW
on	description="Show geometry generation settings"	description="显示几何生成设置"	CEW
on	description="Show generated decal modifier settings"	description="显示生成贴花修改器设置"	CEW
on	description="Show detailed Weld and Bevel modifier settings"	description="显示详细的焊接和斜边修改器设置"	CEW
on	description="Show normal shading settings"	description="显示法线着色设置"	CEW
on	description="Show UV generation and placement settings"	description="显示UV生成和放置设置"	CEW
on	description="Show general generation options"	description="显示常规生成选项"	CEW
on	description="Show options that are changed less frequently"	description="显示较少更改的选项"	CEW
on	description="Show manual or automatic edge generation actions"	description="显示手动或自动边缘生成动作"	CEW
on	description="Show the active layer's material and UV pin assignments"	description="显示活动层的材质和UV固定指定"	CEW
on	description="Show material assignment controls"	description="显示材质分配控件"	CEW
on	description="Show painted texture and crevice masking controls"	description="显示绘制的纹理和缝隙遮蔽控件"	CEW
on	description="Show UV placement controls"	description="显示UV放置控件"	CEW
on	description="Show the interactive generation shortcut reference"	description="显示交互式生成快捷方式引用"	CEW
on	description="Give every generated UV island a distinct randomized U position"	description="为每个生成的UV岛提供一个不同的随机U位置"	CEW
on	description=("Controls independently mixed per-path cuts and random UV placement"	description=("独立控制每路径混合切割和随机UV放置"	CEW
on	description="Interactive multiplier for the generated UV islands"	description="生成UV岛的交互式倍增"	CEW
on	description="Relative decal width; with Relative Width enabled,0.01 means 1% of the source object's largest dimension"	description="相对贴花宽度；在启用“相对宽度”的情况下，0.01表示源对象最大尺寸的1%"	CEW
on	description="Reduce decals on inward concave/crevice edges"	description="减少向内凹形/缝隙边上的贴花"	CEW
on	description="Zero automatically uses four times Face Width"	description="Zero自动使用四个次数面宽度"	CEW
on	description="Ignore edges shorter than the minimum length"	description="忽略比最小长度短的边"	CEW
on	description="World-space minimum length for eligible decal edges"	description="合格贴花边的世界空间最小长度"	CEW
on	description=("Automatic mode filters individual source edges; manual mode  \\n filters the total connected selected chain"	description=("自动模式滤波器个体源边；手动模式\\n 过滤全部连接的选定链"	CEW
on	description=("Controls total coverage and automatic chain shortening intensity"	description=("控制全部覆盖和自动链缩短强度"	CEW
on	description="Internal partial-edge start fraction used by Interactive Generate"	description="Interactive Generate使用的内部部分边缘开始分数"	CEW
on	description="Internal partial-edge end fraction used by Interactive Generate"	description="Interactive Generate使用的内部局部边结束分数"	CEW
on	description="Internal interactive mode flag: taper every open endpoint on newly placed edges"	description="内部交互式模式标志：锥度新放置的边上的每个开放端点"	CEW
on	description="Internal interactive flag: taper the open start of a merged chain"	description="内部交互标志：锥度合并链的开放起点"	CEW
on	description="Internal interactive flag: taper the open end of a merged chain"	description="内部交互标志：锥度合并链的开放端"	CEW
on	description="Internal interactive flag: generate from unchanged source topology"	description="内部交互标志：从不变的源拓扑生成"	CEW
on	description=("Build all selected full edges in one branch-aware topology pass"	description=("在一分支感知拓扑过程中构建全部选定的完整边"	CEW
on	description="Use selected quad faces as virtual center paths"	description="使用选定的四边面作为虚拟中心路径"	CEW
on	description="Taper endpoints created by Decal Amount slicing"	description="通过贴花数量切片创建的锥度端点"	CEW
on	description="Lower is faster; higher is more accurate"	description="越低越快；越高越准确"	CEW
on	description=("Automatically clamp the width per edge side to nearby surface edges"	description=("自动钳制每个边缘的宽度侧到附近的表面边"	CEW
on	description="Fraction of detected free space used by the decal"	description="贴花使用的检测到的免费空间的分数"	CEW
on	description=("Build a connected curve-graph strip and locally reduce its width  \\n before selected decal paths overlap"	description=("建立连通曲线图条并局部缩小其宽度\\n 在选定贴花路径重叠之前"	CEW
on	description="Fraction of the shared gap used by opposing strips"	description="相反板条使用的共享间隙的分数"	CEW
on	description=("At safe open endpoints,follow a connected support-face edge.  \\n Corners and junctions continue using the bounded miter solver"	description=("在安全的开放端点处，遵循连接的支撑面边缘。  \\n 夹角和连接继续使用有界斜接解算器"	CEW
on	description="Skip expensive final UV processing"	description="跳过昂贵的最终UV进程"	CEW
on	description="Interactive distance above the source surface"	description="源表面上方的交互式距离"	CEW
on	description="Distance above the selected source faces"	description="选定源面上方的距离"	CEW
on	description="Skip optional UV placement processing"	description="跳过可选UV放置进程"	CEW
on	description="Generate only edges selected by the inverted crevice mask"	description="仅生成倒置缝隙遮罩选择的仅边"	CEW
on	description="Generate from manifold edges at or above this face angle"	description="在该面角度或其上从流行边生成"	CEW
on	description="Interactive world-space decal width"	description="交互式世界空间贴花宽度"	CEW
on	description="Interactive multiplier for generated UV islands"	description="生成UV岛的交互式倍增"	CEW
on	description="Reduce automatically generated decals on inward crevice edges"	description="减少向内裂缝边上自动生成的生成贴花"	CEW
on	description="Prefer connected support-face rails at strip endpoints"	description="首选带端点处连接的支撑面轨道"	CEW
on	description="Ignore automatically detected edges shorter than the minimum length"	description="忽略自动检测到的短于最小长度的边"	CEW
on	description=("World-space minimum for Generate Automatically. Each detected  \\n source edge is measured separately"	description=("自动生成的世界空间最小值。每个检测到的\\n 单独测量源边缘"	CEW
on	description="Percentage of automatically detected sharp edges kept at random"	description="随机保留的自动检测到的锐边边的百分比"	CEW
on	description="Clamp width automatically near neighboring source edges"	description="在邻近源边附近自动钳制宽度"	CEW
on	description="Fraction of detected free space used by adaptive width"	description="适配宽度使用的检测到的免费空间的分数"	CEW
on	description=("Build connected curve-graph strips and locally reduce their width  \\n before generated sharp-edge paths overlap"	description=("构建连通曲线图条并局部缩小其宽度\\n 在生成锐边路径重叠之前"	CEW
on	description="Fraction of the shared gap used by opposing sharp-edge strips"	description="相对锐边条使用的共享间隙的分数"	CEW
on	description="Selected row in the Decal Layers list"	description="贴花层列表中的选定行"	CEW
on	description="Edit the persistent UV pin set for this material"	description="编辑该材质的保持UV固定集"	CEW
on	description="Display all decal pins in the UV Editor"	description="在UV编辑器中显示全部贴花固定"	CEW
on	description="Reusable Edge Decal preset"	description="可重复使用边缘贴花预设"	CEW
on	description="Name used when saving the current settings"	description="保存当前设置时使用的名称"	CEW
on	description="Show mesh and engine export controls"	description="显示网格和引擎导出控件"	CEW
on	description="Show Send to Unreal settings"	description="显示发送到Unreal设置"	CEW
on	description="Folder for the combined evaluated FBX mesh"	description="合成评估FBX网格的文件夹"	CEW
on	description=("Import source and decal separately,enable Nanite only on the source,\\n and assemble both in an Actor Blueprint"	description=("导入源和贴花分开，启用Nanite仅对源，\\n 并将两者结合在演员蓝图中"	CEW
on	description="Leave empty to use an UnrealExports folder beside the current blend file"	description="保留空物体以使用当前混合文件旁边的UnrealExports文件夹"	CEW
on	description="Content Browser destination path"	description="内容浏览器目标路径"	CEW
on	description="Unreal path where the bundled master is created,or an existing parameterized material"	description="创建捆绑主控形状的Unreal路径，或现有参数化材质"	CEW
on	description=("Create the bundled Deferred Decal / Translucent NormalTexture + Opacity  \\n master at Decal Master when that asset does not exist"	description=("创建捆绑的延迟贴花/半透明NormalTexture+不透明度\\n 当资产不存在时，当的大师"	CEW
on	description="Unreal material assigned to source geometry"	description="指定给源几何的Unreal材质"	CEW
on	description="Leave empty to auto-detect the newest Epic Games Unreal Engine install"	description="保留空物体以自动检测最新的史诗游戏Unreal引擎安装"	CEW
on	description="Normalized position along the decal chain used as a valid cut"	description="沿用作有效切割的贴花链的标准化位置"	CEW
on	description=("Optional name shown for this UV pin; an empty name uses its  \\n number"	description=("为该UV固定显示的可选名称；空物体名称使用其\\n 数字"	CEW
on	description="Material whose decal layers use this UV pin"	description="其贴花层使用此UV固定的材质"	CEW
on	description=("Target vertical UV height for decal islands assigned to this pin"	description=("指定给该固定的贴花孤岛的目标垂直UV高度"	CEW
on	description="Number of equally sized UV pin rows to create"	description="要创建的等大小UV固定行的数字"	CEW
on	class EDGEDECAL_OT_generate_selected_faces(Operator):\n\t"""Route selected quad faces through the regular edge-strip pipeline."	class EDGEDECAL_OT_generate_selected_faces(Operator):\n\t"""通过规则边缘带管线路由选定的四边面."	CEW
