找到具有指示节点树的第一个 ShaderNodeGroup。,Find the first ShaderNodeGroup with the indicated node tree.,
返回包含节点树中给定类型类的所有节点的数组。,Return an array with all nodes of the given type class in the node tree.,
在节点树中查找具有给定类型类的第一个节点。,Find the first node with the given type class in the node tree.,
返回具有给定名称的节点输入套接字的默认值。,Return the default value of the node's input socket with the given name.,
返回链接到给定节点中的输入套接字的节点。,Return the node that links to an input socket in the given node.,
返回图像纹理节点引用的图像的规范化文件路径。,Return the normalized file path of an image referred to by an image texture node.,
创建具有给定类型的新节点。,Create a new node with the given type.,
根据提供的字典中的信息创建一个新节点。,Create a new node based on information in the provided dict.,
创建一个新的原则节点。,Create a new principled node.,
创建一个新的凹凸节点。,Create a new bump node.,
创建一个新的法线贴图节点。,Create a new normal map node.,
创建一个新的位移图节点。,Create a new displacement map node.,
创建一个新的 mixrgb 节点。,Create a new mixrgb node.,
创建一个新的值节点。,Create a new value node.,
创建一个新的属性节点。,Create a new attribute node.,
创建一个新的图像纹理节点。,Create a new image texture node.,
该模块包含用于处理对象的实用函数。,This module contains utility functions for working with objects.,
生成包含 15 个小写 ascii 字符的随机字符串。,Generate a random string containing 15 lowercase ascii characters.,
安全地删除具有给定名称的对象。如果对象不存在，则会优雅地跳过任何操作。,Safely delete an object with a given name. Will gracefully skip doing anything if the object does not exist.,
安全地删除具有给定名称的对象。如果对象为 None，则会优雅地跳过任何操作。,Safely delete an object with a given name. Will gracefully skip doing anything if the object is None.,
检查是否存在具有给定名称的现有对象。,Check if there's an existing object with the given name.,
选定并激活指定对象。也可以取消选择所有其他对象。,Make given object selected and active. Optionally also deselect all other objects.,
确保未选择任何对象或未激活任何对象。,Make sure no object is selected nor active.,
新对象,NewObject,
使用网格数据块创建一个新的网格对象。,Create a new mesh object with a mesh data block.,
用骨架数据块创建一个新的骨架对象。,Create a new armature object with an armature data block.,
创建一个新的空对象，可选择指定其绘制类型和父对象。,"Create a new empty object, optionally specifying its draw type and parent.",
将搅拌器对象链接到集合，也可以选择分配父对象,"Link a blender object to a collection, optionally also assigning a parent object",
返回父属性设置为parent_object的对象列表。,Return list with objects whose parent property is set to parent_object.,
查找所有选定的对象，但可以选择排除非 MH 对象、网格对象、骨架对象和元对象。,"Find all selected objects, but optionally exclude non-MH objects, mesh objects, armature objects, and meta objects.",
查找所有选定的骨架对象。,Find all selected armature objects.,
查找所有选定的网格对象。,Find all selected mesh objects.,
对象有 object_type == Basemesh,Object has object_type == Basemesh,
对象具有对象类型 Proxymesh 或 Proxymeshes。,Object has object_type Proxymesh or Proxymeshes.,
对象具有 object_type == Eyes。,Object has object_type == Eyes.,
对象具有 object_type Basemesh 或 Proxymesh。,Object has object_type Basemesh or Proxymesh.,
对象不是无并且具有 MESH 类型。,Object is not none and has type MESH.,
对象不是无，具有 MESH 类型并且具有有效的 object_type 设置。,"Object is not none, has type MESH and has a valid object_type set.",
对象不是无，具有 MESH 类型，并且具有列为网格资产的 object_type 集。,"Object is not none, has type MESH and has an object_type set which is listed as a mesh asset.",
对象不为无，并且具有有效的 object_type 设置。,Object is not none and has a valid object_type set.,
骨骼,Skeleton,
基础网格,Basemesh,
人类,Human,
临时最低点键。,temporary_lowest_point_key.,
衣服,clothes,
用于处理钻机、骨头和重物的服务。,"Service for working with rigs, bones and weights.",
这将创建指向骨架的骨架修改器，或更新现有的。,"This creates armature modifier(s) pointing to the armature, or updates existing.",
mhmask-保留卷,mhmask-preserve-volume,
mhmask-子系统,mhmask-subrig,
在姿势模式下，找到具有骨架对象给定名称的骨骼。,"Find a bone with the given name of the armature object, in pose mode.",
在编辑模式下，找到具有骨架对象给定名称的骨骼。,"Find a bone with the given name of the armature object, in edit mode.",
在姿势模式下，激活具有骨架对象给定名称的骨骼。,"Activate a bone with the given name of the armature object, in pose mode.",
清除并移除骨骼上的所有姿势模式骨骼约束。,Clear and remove all pose mode bone constraints from a bone.,
为骨骼添加姿势模式约束。,Add a pose mode constraint to a bone.,
骨骼形状球体,bone_shape_sphere,
骨头形状圆圈,bone_shape_circle,
骨骼形状箭头,bone_shape_arrow,
创建与 MHW 兼容的权重字典,Create a MHW-compatible weights dict,
列出装备中不存在但将由 Rigify 生成的变形骨骼。,"List deform bones that are not present in the rig, but will be generated by Rigify.",
根据给定的重量组名称集查找匹配的骨骼，并采用适当的后备。,"Find matching bones for the given set of weight group names, with appropriate fallbacks.",
返回要按顺序尝试加载重量的钻机类型列表。,Returns a list of rig types to try loading weights for in order.,
根,root,
系统和目录的各种功能,Various functionality for system and directories,
用于各种系统任务的实用函数。,Utility functions for various system tasks.,
您不应实例化 SystemService。请改用其静态方法。,You should not instance SystemService. Use its static methods instead.,
推断当前的系统平台（即操作系统）。,Deduces the current system platform (ie the operating system).,
打开指定路径的文件浏览器窗口。,Open a file browser window for the specified path.,
检查 Blender OBJ 导入器是否已安装。,Check if the Blender OBJ importer is installed.,
检查 Blender Rigify 插件是否已安装。,Check if the Blender Rigify addon is installed.,
将所有转义的反斜杠替换为正斜杠。,Replace all escaped backslashes with forward slashes.,
检查完整路径是否包含路径段。,Check if the full path contains the path segment.,
用于管理目标和形状键的模块。,Module for managing targets and shape keys.,
基础,Basis,
宏观细节/,macrodetails/,
宏细节/通用,macrodetails/universal,
宏细节/高度/,macrodetails/height/,
胸部/,breast/,
宏观细节/比例/,macrodetails/proportions/,
宏观细节-,macrodetail-,
该模块提供为手臂/手添加助手的功能。,This module provides functionality for adding helpers to arms/hands.,
获取与钻机类型匹配的实施实例。,Get an implementation instance matching the rig type.,
获取下臂最后一块骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the last bone in the lower arm, must be overriden by rig specific implementation classes.",
获取上臂最后一块骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the last bone in the upper arm, must be overriden by rig specific implementation classes.",
获取肩部最后一块骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the last bone in the shoulder, must be overriden by rig specific implementation classes.",
获取手部骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the hand bone, must be overriden by rig specific implementation classes.",
获取下臂骨骼数量的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the number of bones in the lower arm, must be overriden by rig specific implementation classes.",
获取上臂骨骼数量的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the number of bones in the upper arm, must be overriden by rig specific implementation classes.",
获取肩部骨骼数量的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the number of bones in the shoulder, must be overriden by rig specific implementation classes.",
获取根骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the root bone, must be overriden by rig specific implementation classes.",
对下臂骨骼设置约束的抽象方法。,Abstract method for settings constraints for the bones in the lower arm.,
设置上臂骨骼约束的抽象方法。,Abstract method for settings constraints for the bones in the upper arm.,
设置肩部骨骼约束的抽象方法。,Abstract method for settings constraints for the bones in the shoulder.,
获取骨骼名称列表的抽象方法，从手腕开始向内工作。,"Abstract method for getting a list of bone names, starting from the wrist and working inwards.",
此模块包含默认装备的手臂辅助类实现,This module contains the default rig's implementation of the arm helpers class,
与默认装备和默认无脚趾装备相匹配的手臂助手的装备特定实现。,The rig specific implementation of arm helpers matching the Default and Default-no-toes rigs.,
此模块包含眼部辅助类的默认装备实现,This module contains the default rig's implementation of the eye helpers class,
与默认装备和默认无脚趾装备相匹配的眼睛助手的装备特定实现。,The rig specific implementation of eye helpers matching the Default and Default-no-toes rigs.,
该模块提供为眼睛添加辅助功能的功能。,This module provides functionality for adding helpers to eyes.,
获取头部骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the head bone, must be overriden by rig specific implementation classes.",
获取眼骨名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the eye bone, must be overriden by rig specific implementation classes.",
获取下眼睑骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the lower eyelid bone, must be overriden by rig specific implementation classes.",
获取上眼睑骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the upper eyelid bone, must be overriden by rig specific implementation classes.",
设置眼骨约束的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for setting constraints of the eye bone, must be overriden by rig specific implementation classes.",
此模块包含手指辅助类的默认装备实现,This module contains the default rig's implementation of the finger helpers class,
与默认装备和默认无脚趾装备相匹配的手指助手的装备特定实现。,The rig specific implementation of finger helpers matching the Default and Default-no-toes rigs.,
该模块提供为手指添加辅助功能的功能。,This module provides functionality for adding helpers to fingers.,
添加旋转,Add rotation,
获取手指最内层骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the innermost bone in a finger, must be overriden by rig specific implementation classes.",
获取指尖骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the finger tip bone, must be overriden by rig specific implementation classes.",
获取手指直属父级名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the immediate parent of a finger, must be overriden by rig specific implementation classes.",
获取手指骨骼数量的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the number of bones in a finger, must be overriden by rig specific implementation classes.",
用于设置手指约束的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for setting constraints for a finger, must be overriden by rig specific implementation classes.",
从手指尖端开始获取骨骼列表的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting a list of bones from a finger starting from the tip, must be overriden by rig specific implementation classes.",
该模块包含默认钻机的特定钻机实现。,This module constains the rig specific implementation for the default rig.,
该模块提供为臀部/腿部/脚部添加辅助功能的功能。,This module provides functionality for adding helpers to hip/legs/feet.,
获取小腿最后一块骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the last bone in the lower leg, must be overriden by rig specific implementation classes.",
获取大腿最后一块骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the last bone in the upper leg, must be overriden by rig specific implementation classes.",
获取臀部最后一块骨骼名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the last bone in the hip, must be overriden by rig specific implementation classes.",
获取脚骨名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of the foot bone, must be overriden by rig specific implementation classes.",
获取小腿骨骼数量的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the number of bones in the lower leg, must be overriden by rig specific implementation classes.",
获取大腿骨骼数量的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the number of bones in the upper leg, must be overriden by rig specific implementation classes.",
获取臀部骨骼数量的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the number of bones in the hip, must be overriden by rig specific implementation classes.",
设置小腿约束的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for setting constraints for the lower leg, must be overriden by rig specific implementation classes.",
设置大腿约束的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for setting constraints for the upper leg, must be overriden by rig specific implementation classes.",
设置臀部约束的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for setting constraints for the hip, must be overriden by rig specific implementation classes.",
此模块包含游戏引擎装备的装备助手类的实现,This module contains the gameengine rig's implementation of the rigify helpers class,
与游戏引擎装备相匹配的装备助手的特定装备实现。,The rig specific implementation of rigify helpers matching the Game engine rig.,
组织机构-,ORG-,
DEF-,DEF-,
获取脚骨名称的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting the name of a foot bone, must be overriden by rig specific implementation classes.",
获取脊柱骨骼列表的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting a list of bones in the spine, must be overriden by rig specific implementation classes.",
获取手臂骨骼列表的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting a list of bones in an arm, must be overriden by rig specific implementation classes.",
获取腿部骨骼列表的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting a list of bones in a leg, must be overriden by rig specific implementation classes.",
获取肩部骨骼列表的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting a list of bones in a shoulder, must be overriden by rig specific implementation classes.",
获取头部骨骼列表的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting a list of bones in the head, must be overriden by rig specific implementation classes.",
获取手指骨骼列表的抽象方法，必须由装备特定的实现类覆盖。,"Abstract method for getting a list of bones in a finger, must be overriden by rig specific implementation classes.",
包含 UI 面板基类的文件,File containing the base class for UI panels,
人体建模面板。,Human modeling panel.,
摘要面板,Abstract panel,
这是资产库的根面板。,This is the root panel for the asset library.,
应用资产,Apply assets,
筛选,Filter,
创建资产,Create assets,
材料,Materials,
UI 操作符的抽象包装器,Abstract wrapper for UI operators,
UI 操作符的抽象包装器，为编写错误摘要提供帮助,"Abstract wrapper for UI operators, providing help for writing error summaries",
初始化操作符。通常不需要手动调用它。,Initialize the operator. You will normally not need to call this manually.,
生成错误信息哈希，提供有关错误和上下文状态的信息。,"Generate an error information hash, providing information about the error and the state of the context.",
新人类,New human,
运营,Operations,
管理预设,Manage presets,
索具,Rigging,
体系与资源,System and resources,
包含用于添加步行循环的弃用 UI 的文件,File containing deprecated UI for adding a walk cycle,
已弃用添加/设置步行循环的功能,Deprecated functionality for adding/setting walk cycle,
添加步行循环,Add walk cycle,
已弃用，赞成,DEPRECATED in favor of,
mixamo 功能,mixamo functionality,
（但从来没有奏效,(and it never worked,
尤其擅长,particularly well in,
第一名,the first place),
该模块提供添加步行循环的功能。,This module provides functionality adding walk cycles.,
从 json 加载步行周期,Load walk cycle from json,
负载行走循环,Load walk cycle,
用于添加步行循环的操作符。,Operators for adding walk cycles.,
包含用于建模人类的主要 UI 的文件,File containing main UI for modeling humans,
添加/设置装备摆设的功能,Functionality for adding/setting rig,
添加装备,Add rig,
该模块提供添加钻机的功能。,This module provides functionality adding rigs.,
用于添加装备钻机的操作员。,Operator for adding a rigify rig.,
添加装备,Add a rigify rig,
添加装备,Add rigify rig,
用于添加标准钻机的操作员。,Operator for adding a standard rig.,
添加标准（非装备）装备,Add a standard (non-rigify) rig,
添加标准装备,Add standard rig,
用于生成装备绑定的操作符。,Operator for Generating a rigify rig.,
从元装备生成装备,Generate a rigify rig from a meta-rig,
产生,Generate,
添加钻机的操作员。,Operators for adding rigs.,
动画片,Animation,
选择两个 mixamo 电枢,Select two mixamo armatures,
仅支持 mixamo 骨架,Only mixamo armatures supported,
来源：%s,Source: %s,
目的地：%s,Dest: %s,
通过添加 fcurve 修改器使动画循环。警告：如果动画已经有 fcurve 修改器，则此操作将不起作用。,Make animation cyclic by adding fcurve modifiers. WARNING: This will not work if the animation already has fcurve modifiers.,
使循环,Make cyclic,
将动画捕捉到 Mixamo 装备的功能,Functionality for snapping animation to mixamo rig,
