"空","empty"
"Serpens ","Serpens"
"Serpens 插件","Serpens Addon"
"尽可能使用属性函数代替运算符！","Use property functions instead of operators when possible!"
"打开资源管理器","Open Explorer"
"打开资源管理器","Open the explorer"
"获取 Python 名称","Get Python Name"
"获取此元素的 Python 名称","Get the python name for this element"
"节点树","Node Trees"
"扩展","Extensions"
"获取代码片段","Get Snippets"
"选择有效的运行函数节点以导出代码片段","Select a valid Run Function node to export a snippet"
"选择运行函数节点以导出代码片段","Select Run Function node to export a snippet"
"安装代码片段","Install Snippets"
"没有安装代码片段！","No snippets installed!"
"包通过以下方式","Packages"
"获取包","Get Packages"
"：","By: "
"没有安装包！","No packages installed!"
"重启 blender 以查看包！","Restart blender to see package!"
"属性","Properties"
"注册","Register"
"取消注册","Unregister"
"变量","Variables"
"不要编辑这些设置！","Do not edit these settings!"
" 返回给定 idname 的快捷方式结构"," Returns the shortcut struct for the given idname "
"节点编辑器","Node Editor"
"sn.force_compile ","sn.force_compile"
"sn.open_node_docs ","sn.open_node_docs"
"sn.add_copied_node","sn.add_copied_node"
"打开节点文档","Open Node Docs"
"打开节点文档","Open Node Documentation"
"添加操作员节点","Add Operator Node"
"运行操作员","Run Operator"
"按钮添加","Button"
"复制的","Add Copied Node"
"节点 从复制的路径中为操作员和属性添加节点","Adds a node from the copied path for operators and properties"
"SN_MT_AddOperatorMenu","SN_MT_AddOperatorMenu"
"添加复制的操作员节点","Add Copied Operator Node"
"从复制的路径中为操作员添加","Adds a node from the copied path for operators"
"节点 节点","Node"
"版本","Version"
"此节点的版本","Version of this node"
"禁用评估","Disable Evaluation"
"跳过导出","Skip Export"
" 返回此节点所在的节点树"," Returns the node tree this node lives in "
" 返回此节点的 uid。请注意，这并不稳定，会随着时间而改变！"," Returns a uid for this node. Note that this is not stable and will change over time! "
" 返回此类型节点的集合"," Returns the collection for the nodes of this type "
" 触发所有节点的更新。然后每个节点都可以检查它是否有对此节点的引用，并相应地更新它自己的值"," Triggers an update on all nodes. Every node can then check if it has a reference to this node and update it's own values accordingly "
"静态 UID","Static UID"
" 返回连接到此节点的触发节点"," Returns the trigger nodes that are connected to this node "
" 递归返回链接到给定节点的所有节点的列表"," Recursively returns a list of all nodes linked to the given node "
" 触发对连接到此节点的所有受影响的程序节点的更新。当节点本身的代码发生更改时"," Triggers an update on all affected, program nodes connected to this node. Called when the code of the node itself changes "
" 调用 如果此节点的根节点存在，则"," Compiles the root node of this node if it exists "
" 编译它 检查给定的代码是否与当前代码不同。如果需要，它会触发代码更新"," Checks if the given code is different from the current code. If required it triggers a code update "
"代码","Code"
"此节点的当前编译代码 代码","The current compiled code for this node"
"导入","Code Import"
"此节点的当前编译代码导入","The current compiled code for this nodes imports"
"代码命令式","Code Imperative"
"代码注册此","Code Register"
"节点注册的当前编译代码","The current compiled code for this nodes registrations"
"代码注销","Code Unregister"
"此节点取消注册的当前编译代码","The current compiled code for this nodes unregistrations"
" 如果这是触发节点，则在此节点中包含连接节点的代码"," Includes connected nodes code in this node if this is a trigger node "
" 内部评估以检查是否发生了更改并触发编译过程"," Internal evaluate to check if changes happened and trigger the compile process "
" 如果需要，用于覆盖评估以进行导出 编译"," Used to overwrite evaluate for exporting if required "
"索引","Compile Index"
" 根据 node_color 设置节点的颜色"," Sets the color of the node depending on the node_color "
" 在此节点树的节点集合中为此节点创建一个项目"," Creates an item in the nodes collection of this node tree for this node "
" 从此节点树的引用中删除此节点的引用项"," Removes the reference item for this node from this node trees references "
" 节点图拓扑变化时更新（添加或删除节点和链接）"," Update on node graph topology changes (adding or removing nodes and links) "
" 当具有布局类型的节点连接时更新此节点的布局类型"," Updates the layout type of this node when a node with layout type gets connected "
" 触发动态插座以添加新的插座"," Triggers dynamic sockets to add new ones "
" 当具有布局类型的连接节点被移除时，更新此节点的布局类型"," Updates the layout type of this node when a connected node with layout type gets removed "
" 在节点上逐行绘制此节点的代码"," Draws the code for this node line by line on the node "
"更改顺序后强制编译","Force compile after changing the order"
" 为此节点添加输入。此函数本身不会评估，因为它可能在节点准备就绪之前使用 为此"," Adds an input for this node. This function itself doesn't evaluate as it may be used before the node is ready "
" 节点添加输出。此函数本身不会评估，因为它可能在节点准备就绪之前使用"," Adds an output for this node. This function itself doesn't evaluate as it may be used before the node is ready "
" 将插座从当前类型转换为给定的 idname 根据给定"," Converts the socket from it's current type to the given idname "
" 属性创建输入"," Creates an input from the given property "
"节点名称 字符串","Node Name"
"此","String"
"节点的字符串值","String value of this node"
" 取消注册此插件"," Unregisters this addon "
" 重新注册当前插件代码并存储结果"," Reregisters the current addon code and stores results "
" 返回格式化为单个 python 文件的整个插件代码（用于开发）"," Returns the entire addon code (for development) formatted for a single python file "
" 返回所有节点树中所有触发节点的列表"," Returns a list of all trigger nodes in all node trees "
" 返回此插件的 bl_info"," Returns the bl_info for this addon "
" 以多个文件的字典形式返回整个插件的代码"," Returns the code for the entire addon as a dictionary of multiple files "
"开始教程","Start Tutorial"
"将教程节点添加到节点树","Adds the tutorial node to your node tree"
"结束教程","End Tutorial"
"结束教程","Ends the tutorial"
"移动教程","Move Tutorial"
"更改教程步骤","Changes the tutorial step"
"设置教程","Set Tutorial"
"显示设置","Show Settings"
"显示设置","Show the settings"
"sRGB","sRGB"
"继续！","Keep Going!"
"冒险！！！","ADVENTURE!!!"
"上一个 下一个","Previous"
"图像","Next"
"大小","Image Size"
"大小","Size"
"X ","X"
"Y","Y"
"查看文档","See Docs"
"章节","Chapters"
"清除打印","Clear Prints"
"清除此打印节点消息","Clear this print nodes messages"
"打印","Print"
"在节点上打印 在","Print On Node"
"此节点上显示打印结果","Show print results on this node"
"在删除前一个打印消息之前将添加到此节点的打印消息数量（0 为无限制）","Amount of print messages that will be added to this node before a previous one is removed (0 is unlimited)"
"限制","Limit"
"不打印任何内容！","Nothing printed!"
"消息：","Messages:"
"睡眠","Sleep"
"时间戳","Timestamp"
"开始时间戳记录或打印自开始以来的总时间将此","Start the timestamp recording or print the total time since the start"
"时间戳链接到其他时间戳的标识符","The identifier that links this timestamp to other timestamps"
"颜色","Color"
"此节点的颜色","The color of this node"
"触发节点","Trigger Node"
"触发此节点","Trigger this node"
"触发","Trigger"
"运行 触发","Run Trigger"
"渲染完成","On Render Finish"
"操作时间","Time of Action"
"当你希望事件处理程序运行时在 Blender 上","When you want your event handler to run"
"运行事件","Run Event"
"关闭","On Blender Close"
"atexit.register(before_exit_handler_{self.static_uid}) ","atexit.register(before_exit_handler_{self.static_uid})"
"atexit.unregister(before_exit_handler_{self.static_uid})","atexit.unregister(before_exit_handler_{self.static_uid})"
"在渲染开始时","On Render Start"
"在 Depsgraph 更新时","On Depsgraph Update"
"运行事件代码而不触发事件","Run the event code without triggering event"
"在帧更改时","On Frame Change"
"记录键","Record Key"
"记录下一个按下的键","Records the next pressed key"
"选择","Select"
"在界面中选择此元素","Select this element in the interface"
"选择界面中的元素","Select an element in the interface"
"按键时","On Keypress"
"按键","Key"
"记录","Recording"
"Ctrl","Ctrl"
"如果需要按下 ctrl 键","If the ctrl key has to be pressed"
"Alt","Alt"
"如果需要按下 alt 键","If the alt key has to be pressed"
"Shift","Shift"
"如果需要按下 shift 键","If the shift key has to be pressed"
"值","Value"
"按键的方式","The way the key has to be pressed"
"方向","Direction"
"拖动鼠标以运行操作的方向","Direction to drag the mouse in to run the action"
"重复键 按住","Repeat Key"
"键时重复操作","Repeat the action when the key is held down"
"空格 此操作应该能够运行的","Space"
"空间快捷方式","The space which this action should be able to run in"
"类型","Shortcut Type"
"通过此快捷方式运行的操作类型","The type of action to run from this shortcut"
"父级类型","Parent Type"
"使用自定义面板作为父级","Use a custom panel as a parent"
"面板","Panel"
"按下键时打开的面板 菜单 按下键时打开的","The panel to open when the key is pressed"
"菜单","Menu"
"饼图菜单 按下键时打开的","The menu to open when the key is pressed"
"饼图菜单","Pie Menu"
"为","The pie menu to open when the key is pressed"
" 运算符创建输入 运算"," Create inputs for operator "
"符","Operator"
"按下键时运行的运算符","The operator to run when the key is pressed"
"保持打开","Keep Open"
"在更改属性后保持面板打开","Keep the panel open after a property is changed"
"面板节点树","Panel Node Tree"
"从中选择面板的节点树","The node tree to select the panel from"
"使用此快捷方式打开的面板 使用此快捷","The panel to open with this shortcut"
"方式打开的菜单","The menu to open with this shortcut"
" 选择新的父面板时更新节点设置"," Updates the nodes settings when a new parent panel is selected "
"使用此快捷方式运行的运算符","The operator to run with this shortcut"
"{self.panel} ","{self.panel}"
"{node.last_idname} ","{node.last_idname}"
"{self.menu} ","{self.menu}"
"{node.idname} ","{node.idname}"
"{self.pie} ","{self.pie}"
"{space_names[self.space]}","{space_names[self.space]}"
"加载时","On Load"
"保存时","On Save"
"重做时 撤消","On Redo"
"时","On Undo"
"插件信息","Addon Info"
"资源","Asset"
"获取路径的资源","Asset to get the path from"
"获取编辑 选择模式","Get Edit Select Mode"
"图标源 图标","Icon Source"
"的来源","The source of the icons"
"此插槽的值","Value of this socket"
"图像文件","Image File"
"您要用作图标的图像","The image you want to use as an icon"
"选择图标","Choose Icon"
"图像未保存！","Image not saved!"
"是 导出","Is Export"
"模式","In Mode"
"模式","Mode"
"与活动模式进行比较的模式节点","The mode which the active mode is compared to"
"是 ID 名称","Node Is Idname"
"获取类型的节点","The node to get the type for"
"是 对象类型","Is Object Type"
"与对象进行比较的类型","The type which the object is compared to"
"命名图标","Named Icon"
"无 节点","NONE"
"ID 名称","Node Idname"
"随机颜色","Random Color"
"随机数 数字","Random Number"
"类型","Type of number"
"场景上下文","Scene Context"
"时间和日期","Time and Date"
"2D 视图 缩放","2D View Zoom"
"按类型划分的区域","Area By Type"
"区域类型","Area Type"
"要查找的区域类型 区域","The type of area to find"
"位置","Area Locations"
"材质","Materials"
"元球","Metaballs"
"曲线","Curves"
"动作","Actions"
"骨架","Armatures"
"图像","Images"
"灯光","Lights"
"节点组","Node Groups"
"文本","Texts"
"纹理","Textures"
"工作区","Workspaces"
"世界","Worlds"
"画笔","Brushes"
"相机","Cameras"
"字体","Fonts"
"蜡笔","Grease Pencils"
"格子","Lattices"
"场景","Scenes"
"屏幕","Screens"
"形状键","Shape Keys"
"体积","Volumes"
"窗口管理器","Window Managers"
"Blender 数据","Blender Data"
"索引索引","Index"
"类型","Index Type"
"要使用的索引类型","The type of index to use"
"集合 网","Collections"
"格","Meshes"
"对象","Objects"
"布尔向量","Boolean Vector"
"布尔值","Boolean"
"使用 Alpha","Use Alpha"
"浮点向量 浮点","Float Vector"
"整数","Float"
"向量","Integer Vector"
"整数","Integer"
"列表","List"
"无","None"
"BMesh 对象数据","BMesh Object Data"
"BMesh 边缘数据","BMesh Edge Data"
"BMesh 面数据","BMesh Face Data"
"BMesh 顶点数据","BMesh Vertex Data"
"创建线","Create Line"
"使用 3D","Use 3D"
"是否使用 3D 或 2D 坐标","Whether to use 3D or 2D coordinates"
"创建四边形","Create Quad"
"创建三角形","Create Triangle"
"BMesh 面到顶点位置","BMesh Faces To Vertex Locations"
"对象到 BMesh ","Object To BMesh"
"Ngon 到三角形位置","Ngon To Triangle Locations"
"三角剖分 BMesh","Triangulate BMesh"
" 删除所有运算符输入"," Remove all operator inputs "
"从中选择运算符的节点树 源","The node tree to select the operator from"
"类型","Source Type"
"使用自定义运算符或 Blender 内部","Use a custom operator or a blender internal"
"自定义运算符","Custom Operator"
"此按钮运行的运算","The operator ran by this button"
"符 隐藏禁用的输入","Hide Disabled Inputs"
"隐藏此节点的禁用输入","Hides the disabled inputs of this node"
"粘贴运算符","Paste Operator"
"虚拟按钮","Dummy Button"
"此按钮没有关联的运算符","This button has no operator associated"
"将复制的运算符粘贴到此按钮中","Paste a copied operator into this button"
"显示集合列表","Display Collection List"
"函数","Function"
"过滤函数应该有一个属性输入并返回布尔值（True 保留该项目，False 将其删除）","Filter function which should have a single property input and return a boolean (True keeps the item, False removes it)"
"函数节点树","Function Node Tree"
"节点树从过滤器中选择功能","The node tree to select the function from"
"：","Filter:"
"未连接属性！","No Property connected!"
"显示枚举项","Display Enum Item"
"未指定枚举项！","No Enum Item specified!"
"显示图标","Display Icon"
"小心使用此节点！这可能会减慢您的 UI","Use this node with care! This might slow down your UI"
"显示预览","Display Preview"
"小心！此元素容易崩溃！","Careful! This element is prone to crashes!"
"仅可显示材质、纹理、灯光、世界和线条样式 显示","Only materials, textures, lights, worlds and line styles can be displayed"
"搜索","Display Search"
"显示 Serpens 快捷方式","Display Serpens Shortcut"
"快捷方式 显示的快捷","Shortcut"
"方式","The shortcut to display"
"从显示属性中的混合数据浏览器复制 blender 快捷方式","Copy blender shortcuts from the blend data browser in display property"
"枚举地图（界面）","Enum Map (Interface)"
"图标库","Icon Gallery"
"标签","Label"
"选择","Select "
"选择菜单位置","Select Menu Location"
"在界面中选择此菜单的位置","Select the location of this menu in the Interface"
"选择位置","Pick Location"
"选择此位置将菜单放入","Pick this location to put the menu into"
"测试","test"
"选择 {space.replace(","Select {space.replace("
"选择面板位置","Select Panel Location"
"在界面中选择此面板的位置","Select the location of this panel in the Interface"
"选择此位置将面板放入","Pick this location to put the panel into"
"在子面板节点上选择此自定义面板","Select this custom panel on the subpanel node"
"选择 {label}","Select {label}"
"选择子面板位置","Select Subpanel Location"
"选择此子面板在界面中的位置","Select the location of this subpanel in the Interface"
"选择此位置以将子面板放入","Pick this location to put the subpanel into"
"打开首选项","Open Preferences"
"进度指示器","Progress Indicator"
"分隔符","Separator"
"添加到菜单","Add To Menu"
"位置","Position"
"此界面在所选菜单中的位置","Position of this interface to the selected menu"
"父级","Parent"
"此界面应显示的菜单 ID","The menu id this interface should be shown in"
"添加到面板","Add To Panel"
"此界面在所选面板中的位置","Position of this interface to the selected panel"
"此子面板应显示的面板 ID","The panel id this subpanel should be shown in"
"函数运行（界面）","Function Run (Interface)"
"要运行的","The function to run"
"函数 函数（界面）","Function (Interface)"
"ID 名称覆盖","Idname Override"
"如果您想自己定义此面板的 ID 名称，请使用此项","Use this if you want to define the idname of this panel yourself"
"此菜单顶部显示的标签","The label shown at the top of this menu"
"{self.title} ","{self.title}"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
" 从父节点更新此子面板的节点值"," Update this subpanels nodes values from the parent node "
" 当父面板更新时调用，更新此节点的设置"," Called when a parent panel is updated, updates this nodes settings "
" 转换为子面板时更新编译顺序"," Updates the compile order when turned into a subpanel "
"面板的标签 面板","The label of your panel"
"所在的空间","The space your panel is in"
"区域","Region"
"面板所在的区域 上下文 面板","The region your panel is in"
"所在","Context"
"的上下文面板所在的","The context your panel is in"
"类别","The category your panel is in (Only relevant if in an N-Panel)"
"（仅在 N 面板中相关）","Order"
"顺序 与其他自定义面板相比的面板顺序","The order of your panel compared to other custom panels"
"隐藏标题","Hide Header"
"隐藏面板标题","Hide the panels header"
"展开标题","Expand Header"
"展开标题以填充整个面板宽度","Expands the header to fill the full panel width"
"默认关闭 默认","Default Closed"
"关闭面板","Closes the panel by default"
"仅限","Shortcut Only"
"快捷方式 仅在使用快捷方式打开而不是在界面中打开时才显示此面板","Only displays this panel when opened with a shortcut and not in the interface"
"是子面板","Is Subpanel"
"此面板是否应为子面板","If this panel should be a subpanel"
"自定义父级","Custom Parent"
"用作此子面板的自定义父面板的","The panel used as a custom parent panel for this subpanel"
"面板 面板宽度","Panel Width"
"弹出窗口和弹出窗口的面板宽度","The panel width for popovers and popups"
"最后一个 ID 名称","Last Idname"
"此面板编译时的最后一个 ID 名称","The last idname that this panel had when it was compiled"
"{self.panel_label} ","{self.panel_label}"
"{self.context}","{self.context}"
"首选项","Preferences"
"多个首选项节点！只能使用一个","Multiple preferences nodes! Only one will be used"
"添加到菜单（旧版）","Add To Menu (Legacy)"
"未使用","Unused"
"添加到面板（旧版）","Add To Panel (Legacy)"
"按钮（旧版）","Button (Legacy)"
"复制菜单（旧版）","Copy Menu (Legacy)"
"应显示的菜单","The menu that should be displayed"
"复制面板（旧版）","Copy Panel (Legacy)"
"显示收藏夹列表（旧版）","Display Collection List (Legacy)"
"显示图标（旧版）","Display Icon (Legacy)"
"显示预览（旧版）","Display Preview (Legacy)"
"显示属性（旧版）","Display Property (Legacy)"
"显示搜索（旧版）","Display Search (Legacy)"
