"放置在 3D 光标上","Place on 3D Cursor"
"为当前世界设置下一张 hdri 图像","Sets next hdri image for the current World"
"没有与您的场景相关的世界！","No worlds linked to your scene!"
"无环境纹理","No Environment Texture"
"当前 HDRi：","Current HDRi: "
"以前的","Previous"
"HDR 强度","HDR Strength"
"回转","Rotation"
"天空纹理设置：","Sky Texture Settings:"
"用天空纹理替换","Replace with Sky Texture"
"用 HDRi 替换","Replace with HDRi"
