"图标","icon"
"并不总能如预期般工作","and may not always work as expected"
"颈部","Neck"
"袖口","Cuffs"
"背面","Back"
"中心","Center"
"肩部","Shoulder"
"臃肿","Bloat"
"数量","Amount"
"袖子","Sleeve"
"袖子上部","Upper Sleeve"
"前臂","Forearm"
"上臂","Top"
"裤腿","Trouser Leg"
"神圣预设","Divine Presets"
"翻转至夹克","Turn to Puffer Jacket"
"转为校服夹克","Turn to Varsity Jacket"
"转为衬衫","Turn to Shirt"
"转为西装外套","Turn to Blazer"
"打开","Open"
"连帽衫","Hoodie"
"衣领","Collar"
"神圣物理学","Divine Physics"
"质量","Quality"
"弹性","Stretchiness"
"最大压力","Max Pressure"
"最大收缩","Max Shrinking"
"最大膨胀/放气","Max Inflation/Deflation"
"应用物理","Apply Physics"
"播放声音","Play Sound"
"其他工具","Other Tools"
"当前缓存到烘焙","Current Cache to Bake"
"打开 URL","Open URL"
"缓存到烘焙","Cache to Bake"
"物理","PHYSICS"
"安装 Looptools","Install Looptools"
"安装修改器工具","Install Modifier Tools"
"构建钻机","Build Rig"
"waitwaitwait.mp3","waitwaitwait.mp3"
"DivineProcess.mp3","DivineProcess.mp3"
"生成钻机","Generate Rig"
"FreeTrial.mp3","FreeTrial.mp3"
"互联网连接.mp3","InternetConnection.mp3"
"腰围","Waist"
"腰围","WaistCircle"
"乳头","Nipple"
"乳头点","NipplePoint"
"肩圆","ShoulderCircle"
"比塞普","Bicept"
"比塞普圈","BiceptCircle"
"颈圈","NeckCircle"
"踝关节","Ankle"
"踝圈","AnkleCircle"
"生成 Rig 长裤","Generate Rig Trousers"
"膝关节","Knee"
"膝关节","KneeCircle"
"大腿","Thigh"
"大腿圈","ThighCircle"
"腹股沟","Groin"
"腹股沟点","GroinPoint"
"生成钻机裙","Generate Rig Skirt"
"下腰","WaistLower"
"彖_T-恤","Divine_T-Shirt"
"双环","BiceptLoop"
"颈圈","NeckLoop"
"新布料.mp3","NewCloth.mp3"
"生成裤子","Generate Trousers"
"裤子","Divine_Trousers"
"踝环","AnkleLoop"
"腰环","WaistLoop"
"神_裤子_次级","Divine_Trousers_Secondary"
"梦幻裤子.mp3","fantastictrousers.mp3"
"裙子","Divine_Skirt"
"thisskirt.mp3","thisskirt.mp3"
"这真的很酷.mp3","Thisisreallycool.mp3"
"ahyes.mp3","ahyes.mp3"
"绑定.mp3","Bind.mp3"
"画组","Paint Group"
"GameBind3.mp3","GameBind3.mp3"
"褶皱","Frill"
"关于蝙蝠侠","abouttospawnafrill"
"占卜_填充","Divine_Frill"
"绑定角色","Bind to Character"
"紧急绑定","Emergency Bind"
"游戏绑定1.mp3","GameBind1.mp3"
"游戏绑定2.mp3","GameBind2.mp3"
"紧急绑定.mp3","EmergencyBind.mp3"
"拉链消息.mp3","ZipperMessage.mp3"
"关于拉链","abouttospawnazipper"
"神圣拉链","DIVINE_ZIP"
"将选定对象绑定到神装上。如果选中了神衣，它会将神衣插针绑定到角色上。如果未选中任何对象，则会智能地将场景中的所有 Divine 对象绑定在一起。","Binds the selected object to the Cloth. If the Divine Cloth is selected, it binds the Cloth Pins to the character. If nothing is selected, it smartly binds all Divine Objects in the scene"
"头部高度","Headheight"
"内置画笔.Grab","builtin_brush.Grab"
"制作项圈","gonnabemakingacollar"
"神领","Divine_Collar"
"RegisterDivine.mp3","RegisterDivine.mp3"
"启用项圈","Enable Collar"
"切换项圈模拟","Toggles Collar Simulation"
"播放声音","PlaySound"
"新预置.mp3","NewPreset.mp3"
"神化河豚_夹克_主体","Divine_Puffer_Jacket_Body"
"神化_河豚_夹克_次级","Divine_Puffer_Jacket_Secondary"
"消声器外套","Divine_Puffer_Jacket"
"新预设2.mp3","NewPreset2.mp3"
"衬衫预设.mp3","ShirtPreset.mp3"
"公司衬衫","Divine_Corporate_Shirt"
"制服夹克主体","Divine_Varsity_Jacket_Body"
"Divine_Varsity_Jacket_Secondary","Divine_Varsity_Jacket_Secondary"
"校服夹克前身 Divine_Varsity_Jacket_Front","Divine_Varsity_Jacket_Front"
"面料","Material"
"校队夹克","Divine_Varsity_Jacket"
"转为西装夹克","Turn to Suit Jacket"
"裙子西装外套.mp3","skirttoblazer.mp3"
"长裤夹克.mp3","trouserstoblazer.mp3"
"神化西服外套_InDev","Divine_Suit_Jacket_InDev"
"西装外套","Divine_Blazer"
"神化_西装外套_身体","Divine_Blazer_Body"
"神化_西装_夹克_在开发中","Divine_Blazer_Secondary"
"詹姆斯邦德.mp3","JamesBond.mp3"
"老实说布料.mp3","honestlythefabric.mp3"
"新开拓者rr.mp3","NewBlazerrr.mp3"
"套装物理","Set Physics"
"布料质量.mp3","ClothQuality.mp3"
"弹力.mp3","Stretchiness.mp3"
"隐藏绑定","Hide Bind"
"注册神性对象","Register Divine Object"
"天赐的 AC_花边布料_拼接","Divine_AC_Cloth_Lace_Joined"
"天赐的 AC_布料_花边_连接_戒指","Divine_AC_Cloth_Lace_Joined_Ring"
"神曲_AC_布花边_连接花边","Divine_AC_Cloth_Lace_Joined_Lace"
"Divine_Buckle_Operation","Divine_Buckle_Operation"
"模拟表带","Divine_Strap_Sim"
"Xane_Buckle","Xane_Buckle"
"buttonjoke.mp3","buttonjoke.mp3"
"线程操作","Divine_Thread_Operation"
"线程曲线","Thread_Curve"
"线程","Divine_Thread"
"我的宝贝.mp3","mybaby.mp3"
"绑定2.mp3","Bind2.mp3"
"绑定3.mp3","Bind3.mp3"
"启用碰撞","Enable Collision"
"开启碰撞","Collision Turned On"
"关闭碰撞","Collision Turned Off"
"神圣休息","Divine Rest"
"神圣姿势","Divine Pose"
"吹风机","Puffer"
"河豚指南.mp3","PufferGuide.mp3"
"关于卵式泡芙","abouttospawnapuffer"
"您好","Hello"
"声音","Sound"
"神切文件夹","Divine Cut Folder"
"物化信息","Materialize Message"
"首喷消息","First Spray Message"
"尚未安装 LoopTools","LoopTools not yet installed"
"安装循环工具","Install LoopTools"
"尚未安装修改器工具","ModifierTools not yet installed"
"安装修改器工具","Install ModifierTools"
"我的枚举属性","My Enum Property"
"膨胀量属性","Bloat Amount Property"
"膨胀压力属性","Puff Pressure Property"
"绑定失败","Bind Fails"
"缓存启动","Cache Start"
