"清洁面板","Clean Panels"
"在进行更改之前自动备份插件","Automatically Backup addons before making changes"
"面板和饼图","Panels and Pies"
"弹出面板样式","PopUp Panel Style"
"饼图面板","Pie Panels"
"下拉面板","Dropdown Panels"
"N 面板重新排序","N-Panel ReOrdering"
"焦点面板类别","Focus Panel Categories"
"方向","Direction"
"要排除的附加组件（将始终可用）","Addons To Exclude (Will always be available)"
"实验性功能","Experimental Features"
"使用粘性弹出窗口","Use Sticky Popups"
"选定标签","Selected Tab"
"选定插件","Selected Addon"
"使用列布局（下拉菜单将被堆叠）","Use Column Layout (Dropdowns will be stacked)"
"使用列表代替第二个饼状菜单","Use list instead of 2nd pie menu"
"下拉宽度","Dropdown Width"
"显示下拉搜索按钮","Show Dropdown search button"
"使用取消注册/重新注册方法进行过滤（更改后重新启动）","Use Unregister/Reregister Method for filtering (Restart after changing this)"
"如何清洁 N 面板（更改后重新启动）","How to clean the N-Panel (Restart after changing this)"
"显示高级选项","Show Advanced Options"
"显示下拉菜单","Show Dropdowns"
"按类别对面板进行排序","Sort Panels per Category"
"根据类别中指定的顺序对面板进行排序","Sort Panels based on the order specified in the categories"
"过滤插件的标签名称","Tab name for filtered out addons"
"移除支架标签","Remove Holder Tab"
"自定义图标目录","Custom Icons Directory"
"根据点击次数对焦点面板列表进行排序","Sort Focus Panel List based on clicks"
"使用按工作区过滤","Use Filtering Per Workspace"
"为不同的工作区启用不同的类别集","Have different sets of categories enabled for different workspaces"
"仅显示焦点面板列表中未过滤的面板","Only show unfiltered panels in the Focus Panels list"
"在快速设置面板中显示删除按钮","Show delete buttons in Quick Settings Panel"
"在工具栏中显示（与过滤器选项同一行）","Show in Toolbar (Same row as the Filter Options)"
"空间类型","Space Type"
"过滤内部选项卡（视图、工具、节点和选项）","Filter Internal Tabs(View, Tool, Node and Options)"
"启动时加载的附加组件","Addons to load on boot"
"专业功能","Pro Features"
"在快速设置中显示启用/禁用插件","Show Enable/Disable Addons in Quick Settings"
"修复","Fixes"
"Zen UV 修复","Zen UV Fix"
"Zen UV 需要油脂铅笔面板（来自“视图”选项卡）才能工作，启用此功能将确保即使启用了内部选项卡过滤也不会删除它。","Zen UV needs grease pencil panel(from View Tab) to be available for it to work, Enabling this will make sure its not removed even when Internal tab filtering is enabled."
"导入备份配置","Import Backup Config"
"文档","Documentation"
"聊天支持","Chat Support"
"YouTube","Youtube"
"将工作区导入为类别","Import Workspaces as Categories"
"从所有启用了筛选功能的可用工作区中创建类别","Create categories from all available workspaces which have filtering enabled"
"启用/禁用插件","Enable/Disable Addons"
"启用/禁用插件或添加有关其功能的注释","Enable/Disable addons or add notes about their functionality"
"已启用：","Enabled:"
"已禁用：","Disabled:"
"附加组件描述","Addons Description"
"关于插件的信息","Info about the addon"
"编辑描述","Edit Description"
"编辑插件信息","Edit Info about the addon"
"从在线数据库获取","Fetch from Online Database"
"通过从在线数据库获取自动创建类别","Create categories automatically by fetching from online database"
"保存键盘映射","Save Keymap"
"使用延迟插件加载时保存键盘映射以进行加载","Save keymap to load when using Delayed addon loading"
"看法","View"
"物品","Item"
"工具","Tool"
"选项","Options"
"节点","Node"
"搜索","Search"
"收藏夹","Favorites"
"打开收藏夹饼菜单","Open Favorites Pie Menu"
"PAP_MT_Favorites_Pie_菜单","PAP_MT_Favorites_Pie_Menu"
"打开面板子饼菜单","Open Panels Sub Pie Menu"
"调用默认","INVOKE_DEFAULT"
"焦点面板","Focus Panel"
"其他的","Others"
"关","Turn OFF"
"快速对焦","Quick Focus"
"打开面板饼形菜单","Open Panels Pie Menu"
"PAP_MT_Panels_Pie_菜单","PAP_MT_Panels_Pie_Menu"
"切换筛选","Toggle Filter"
"开启/关闭过滤","Toggle Filtering ON/OFF"
"面板饼菜单","Panels Pie Menu"
"PAP_MT_Panel_Categories_Pie_Menu","PAP_MT_Panel_Categories_Pie_Menu"
"工作区过滤器","Workspace Filters"
"工作区饼形菜单","Workspace Pie Menu"
"打开过滤饼菜单","Open Filtering Pie Menu"
"PAP_MT_Workspace_Categories_Pie_Menu","PAP_MT_Workspace_Categories_Pie_Menu"
"焦点小组","Focused Panels"
"打开面板列表并选择要在焦点选项卡中显示的面板","Open Panels List and choose which panel to display in the Focused Tab"
"PAP_MT_面板列表","PAP_MT_Panels_List"
"没有任何","None"
"下拉菜单","Dropdowns"
"3D 视图","3D View"
"节点编辑器","Node Editor"
"图像","Image"
"打开下载页面","Open Downloads Page"
"更新信息：","Update Information:"
"更新消息：","Update Message:"
"下载页面网址","Download Page URL"
"插件已更新！","Addon is Up to Date!"
"有更新","Update Available"
"检查更新","Check for Updates"
"启动时检查更新！","Check for Updates on Boot!"
"每 X 天检查一次","Check every X days"
"每 X 天检查一次更新","Check for Updates every X days"
"bl_pkg","bl_pkg"
"bl_ext","bl_ext"
