阁楼,"Loft"
两条平行轨迹之间的距离,"Distace between two parallel traces"
平行轨迹数,"Number of parallel traces"
圆线连接,"Round Line Join"
在凸角处插入圆弧,"Insert circle arcs at convex corners"
切片网格,"Slice Mesh"
两个切片之间的距离,"Distance between two slices"
第一个切片沿轴线的位置,"Position of first slice along the axis"
切片数量,"Number of slices"
狗骨,"Dog Bone"
刀具半径补偿,"Tool radius to compensate for"
曲线离散化,"Discretize Curve"
样本数,"Sample Count"
每个曲线段要测试的样本数,"Number of samples to test per curve segment"
截断,"Truncate"
最小距离,"Min Distance"
删除距离太近的顶点,"Remove vertices which are too close together"
Z 跳,"Z Hop"
在轨迹两端的天花板上添加运动,"Add movements to the ceiling at trace ends"
矩形宏,"Rect Macro"
轨迹数,"Number Tracks"
多少条轨迹,"How many tracks"
步长,"Stride"
返回途中到前一条轨迹的距离,"Distance to previous track on the way back"
两条轨道之间的距离,"Distance between two tracks"
一条赛道的长度,"Length of one track"
存储在软体目标重量中,"Stored in softbody goal weight"
钻孔宏,"Drill Macro"
螺丝转数,"Screw Turns"
多少螺旋转数,"How many screw truns"
螺旋转数,"Spiral Turns"
螺旋转数,"How many spiral turns"
顶点数,"Number Vertices"
每转一圈螺杆有多少个顶点,"How many vertices per screw turn"
工具中心半径,"Radius at tool center"
两圈螺旋之间的距离,"Distance between two screw turns"
选定对象数,"NrSelectedObjects"
选定对象的数量,"Number of selected objects"
曲线长度,"CurveLength"
样条线分辨率,"SplineResolution"
花键分辨率将设置为该值,"Spline resolution will be set to this value"
样条线移除长度,"SplineRemoveLength"
将删除短于此阈值长度的样条线,"Splines shorter than this threshold length will be removed"
样条连接距离,"SplineJoinDistance"
"起点/终点更接近的样条线 ","Splines with starting/ending points closer to each other "
花键连接起点和终点,"SplineJoinStartEnd"
只连接起点和终点的样条,"Only join splines at the starting point of one and the ending point of the other"
拼接模式,"SplineJoinMode"
决定连接花键的方式,"Determines how the splines will be joined"
极限距离,"LimitDistance"
显示曲线长度计算的结果,"Displays the result of the curve length calculation"
曲线相交算法,"IntersectCurvesAlgorithm"
决定如何检测交点,"Determines how the intersection points will be detected"
相交曲线模式,"IntersectCurvesMode"
决定在交点处发生的情况,"Determines what happens at the intersection points"
相交曲线效果,"IntersectCurvesAffect"
确定操作将影响所选曲线中的哪些曲线,"Determines which of the selected curves will be affected by the operation"
路径查找器检测半径,"PathFinder detection radius"
输出,"OUT"
路径厚度,"Path thickness"
路径厚度（px）,"Path thickness (px)"
字体厚度,"Font thickness"
字体粗细（px）,"Font thickness (px)"
字体大小,"Font size"
曲线信息,"Curve Info"
曲线,"Curve"
样条曲线,"Spline"
分段,"Segment"
曲线编辑,"Curve Edit"
圆角/倒角,"Fillet/Chamfer"
轮廓,"Outline"
递归偏移,"Recursive Offset"
分离偏移/选定,"Separate Offset/Selected"
扩展手柄,"Extend Handles"
布尔样条线,"Boolean Splines"
多重细分,"Multi Subdivide"
顶点分割,"Split at Vertex"
数组样条线,"Array Splines"
二维曲线布尔运算,"2D Curve Boolean"
曲线相交,"Intersect Curves"
极限距离,"Limit Distance"
算法,"Algorithm"
模式,"Mode"
影响,"Affect"
曲面,"Surfaces"
将面转换为贝塞尔曲线,"Convert Faces to Bezier"
净化,"Sanitize"
将原点设置为样条线起点,"Set Origin to Spline Start"
重置比例,"Reset Scale"
清理,"Cleanup:"
0 段样条线,"0-Segment Splines"
短样条,"Short Splines"
删除阈值,"Threshold remove"
连接样条线,"Join Splines:"
连接相邻样条线,"Join Neighbouring Splines"
阈值,"Threshold"
仅在末端,"Only at Ends"
连接位置,"Join Position"
实用工具,"Utilities"
曲线分辨率：,"Curve Resolution:"
显示 [ESC］,"Show [ESC]"
设置分辨率,"Set Resolution"
样条线顺序,"Spline Order:"
字体大小,"Font Size"
字体粗细,"Font Thickness"
<,"<"
>,">"
切换方向,"Switch Direction"
设置首点,"Set First Points"
路径查找 [ESC］,"Path Finder [ESC]"
路径查找器半径,"PathFinder Radius"
厚度,"Thickness"
ESC 或 TAB - 退出路径查找器,"ESC or TAB - Exit PathFinder"
X 或 DEL - 删除,"X or DEL - Delete"
Alt + 鼠标点击 - 选择样条线,"Alt + Mouse Click - Select Spline"
Alt + Shift + 单击鼠标 - 将样条线添加至选区,"Alt + Shift + Mouse click - Add Spline to Selection"
A - 全部取消选择,"A - Deselect All"
选项卡类别,"Tab Category"
为面板类别选择名称,"Choose a name for the category of the panel"
选项卡类别：,"Tab Category:"
曲线工具,"Curve tools"
分割,"Divide"
缩放 重置,"Scale Reset"
一条曲线,"One Curve"
曲线,"Curves"
双曲线阁楼,"Two Curves Loft"
高级,"Advanced"
扩展,"Extended"
曲线工具,"Curves Utils"
