"工具库","Tool Base"
"在布尔集合中添加新对象并设置为布尔画笔","add new objects in the boolean collection and set as boolean brush"
"更改布尔对象属性","change boolean object properties"
"从给定权重数组中移除剔除距离信息","remove culling distance from information from given weight array"
"从摄像头信息中获取光线追踪（光线只能击中自身网格）","get ray traced from cam info (rays can hit self mesh only)"
"从摄像机信息中获取光线追踪（光线可以照射到所有场景）","get ray traced from cam info (rays can hit all scene)"
"绝对","Absolute"
"根据粒子系统位置接近度创建顶点组","create vertex group from particle system location proximity"
".Scatter5 VcolToVgroup",".Scatter5 VcolToVgroup"
".Scatter5 VgroupMerge",".Scatter5 VgroupMerge"
".Scatter5 VgroupSplit",".Scatter5 VgroupSplit"
"裁剪","Cropping"
"光滑的","Smooth"
"动态更改类别并在更新时重新加载某些面板","dynamically change category & reload some panel upon update"
"addon_prefs.blend_environment_paths[x]","addon_prefs.blend_environment_paths[x]"
"  88","  88"
"使用叠加","Use Overlay"
"用于注册 popovers 参数的 codegen","codegen for registering popovers args"
"用于注册所有 ui 打开/关闭属性的代码生成","codegen for registering all ui open/close properties"
"仅用于创建指针的虚拟类","dummy class used just to create pointers"
"bpy.context.window_manager.scatter5.ui.popovers_args","bpy.context.window_manager.scatter5.ui.popovers_args"
"scat_ui = bpy.context.window_manager.scatter5.ui，用于打开/关闭gui的道具","scat_ui = bpy.context.window_manager.scatter5.ui, props used for opening/closing gui"
"scat_object = bpy.context.object.scatter5","scat_object = bpy.context.object.scatter5"
"首次读取时生成一次 uuid","generate uuid once on first read"
"-2.147.483.647 和 2.147.483.647 之间的随机 ID","random id between -2.147.483.647 & 2.147.483.647"
"返回此发射器的活动粒子系统，将返回 bpy.types.Object 或 None","return the active particle system of this emitter, will return bpy.types.Object or None"
"返回此发射器的选定粒子系统，注意活动 psy 不被视为选定，将返回一个列表","return the selected particle systems of this emitter, note that active psy is not considered as selected, will return a list"
"地理散射地理节点","Geo-Scatter Geonode"
"地理散射表面","Geo-Scatter Surfaces"
"地理散点图","Geo-Scatter Ins Col"
"在particle_interface_items接口中激活该组","get the group active in the particle_interface_items interface"
"清理未使用的组","cleanse unused groups"
"心理医生","MyPsy"
"设置界面项，可以直接通过item设置，也可以通过item_type和item_name设置。","set interface items, either set by item directly, or set by item_type and item_name"
"object.scatter5.particle_interface_items 将在主要用户交互中不断重建","object.scatter5.particle_interface_items will be constantly rebuild on major user interaction"
"从心理元组获取组元组","get group tuple from psy tuple"
"获取此物体网格的平方米（未评估模块），小心，可能会很慢，不能实时运行","get the m² of this object mesh (mods not evaluated),  carreful, might be slow, do not run in real time"
"需要估计未来的心理密度","needed to estimate future psy density"
"在复制对象时是必需的，它还将复制每个对象的属性，如果 blender 有真正的 uuid，则可以更优雅地解决","is needed when dupplicating an object, it will also dupplicate every object properties, coulld be solved more elegantly if blender had real uuid"
"从 scatter_obj 中找回 psy","find back psy from a scatter_obj"
"uuids = bpy.context.scene.scatter5.uuids[i]","uuids = bpy.context.scene.scatter5.uuids[i]"
"scat_scene = bpy.context.scene.scatter5","scat_scene = bpy.context.scene.scatter5"
"返回所有发射器的列表","return list of all emitters"
"返回所有 psys 的列表","return a list of all psys"
"通过其独特的名字获取 psy","get a psy by it's unique given name"
"通过其唯一的 uuid 值获取 psy","get a psy by it's unique uuid value"
"当前使用的模式：DRAW_AREA | MANUAL | PSY_MODAL | FACE_SEL","mode currently used: DRAW_AREA | MANUAL | PSY_MODAL | FACE_SEL"
"bpy.data.node_groups[i].scatter5","bpy.data.node_groups[i].scatter5"
"bpy.context.scene.scatter5.emitter.scatter5.mask_systems","bpy.context.scene.scatter5.emitter.scatter5.mask_systems"
"返回表面对象列表","return a list of surface object(s)"
"将视口选择添加到表面列表中","add the viewport selection to the list of surfaces"
"scat_ops = bpy.context.scene.scatter5.operators","scat_ops = bpy.context.scene.scatter5.operators"
"p.group 的更新函数，将相应刷新所有组属性","update function of p.group, will refresh all group properties accordingly"
"姓名","name"
"生成冗余的featuremasks属性声明","generate the redudant the properies declaration of featuremasks"
"我的_propXX","my_propXX"
"这个有趣的目标是生成冗余的属性声明","this fun goal is to generate the redudant the properies declaration"
"bpy.context.object.scatter5.particle_systems，将存储在发射器上","bpy.context.object.scatter5.particle_systems, will be stored on emitter"
"对于重命名函数很重要，避免名称冲突","important for renaming function, avoid name collision"
"在 add_psy_virgin 中生成的 uuid，永远不应为 0，用于内部目的","uuid generated in add_psy_virgin, should never be 0, internal purpose"
"实例生成器对象。锁定在场景原点上的对象，我们","Instance generator object. An object locked on scene origin where we"
"从 scatter_obj 获取“Geo-Scatter Engine MK..”修饰符的最新版本","get 'Geo-Scatter Engine MK..' modifiers latest version from scatter_obj"
"仅准备就绪！由 `psy.particle_interface_idx` 更新函数 `on_particle_interface_interaction()` 自动更新","ready only! auto-updated by `psy.particle_interface_idx` update function `on_particle_interface_interaction()`"
"使用 Geo-Scatter 或 Biome-Reader 创建的散射系统？","Scatter system created with Geo-Scatter or Biome-Reader ?"
"使用此散射系统创建散射版本","Scatter version upon with this scatter-system was created"
"Blender 版本基于此散射系统而创建","Blender version upon with this scatter-system was created"
"验证此 psy 版本是否适合当前插件版本","verify if this psy version is adequate to the current addon version"
"验证此 psy blender 版本是否适合用户当前使用的 blender 版本","verify if this psy blender version is adequate to the current version of blender the user is using"
"我们","we"
"获取该系统（自身）所属的组，如果不属于任何组则返回 None 。","get group of which this system (self) is a member of, will return None if not part of any groups"
"检查给定的键（可以是完整的 propname 或者只是类别名称）是否被锁定","check if given keys, can be full propname or just category name, is locked"
"检查所有类别是否被锁定（主要用于在 GUI 中显示锁定图标）","check if all categories are locked (mainly used to display lock icon in GUI)"
"锁定所有财产类别","lock all property categories"
"解锁所有属性类别","unlock all property categories"
"检查 psy 是否正在同步","check if the psy is being synchronized"
"获取有关什么与什么同步的信息","get information about what is sync with what"
"检查给定的属性类别是否有效","check if the given property category is active"
"直接运行属性更新任务函数（== 更改节点树），不更改任何属性值，也不进入更新 fct 包装器/调度器","directly run the property update task function (== changing nodetree) w/o changing any property value, and w/o going in the update fct wrapper/dispatcher"
"刷新此属性值","refresh this property value"
"对于每个设置，确保节点树已更新","for every settings, make sure nodetree is updated"
"实时计数，仅适用于视口，如果有数百万个点可能会太慢，并且不适用于点云显示","get count in real time, only for viewport, might be too slow if millions of points, also, will not work for point cloud display"
"评估 psy 粒子数 (如果 psy 被隐藏，将取消隐藏) 慢！不实时","evaluate the psy particle count (will unhide psy if it was hidden) slow! do not in real time"
"独立评估该散射系统的 psy 密度/m²，将暂时移除掩码和优化 - 小心可能会很慢 - 请勿实时运行","evaluate psy density /m² of this scatter system independently of , will remove masks and optimizations temporarily -- CARREFUL MIGHT BE SLOW -- DO NOT RUN IN REAL TIME"
"需要 GUI 绘图..","needed for GUI drawing.."
"收集所有使用过的表面的匹配属性","gather matching attributes accross all surfaces used"
"将收集或选择性地刷新表面的每个对象：object.scatter5.estimated_square_area","will gather or optionally refresh each obj of the surfaces: object.scatter5.estimated_square_area"
"s_scale_random","s_scale_random"
"s_scale_shrink","s_scale_shrink"
"s_scale_grow","s_scale_grow"
"s_scale_mirror","s_scale_mirror"
"内部属性将从给定的节点树名称更新 TEXTURE_NODE 节点树，用于预设，最重要的是复制/粘贴或同步","Internal property that will update a TEXTURE_NODE node tree from given nodetree name, used for presets and most importantly copy/paste or synchronization"
"s_rot_random","s_rot_random"
"s_rot_add","s_rot_add"
"s_rot_tilt","s_rot_tilt"
"s_patternX_allow","s_patternX_allow"
"s_patternX_texture_ptr","s_patternX_texture_ptr"
"s_patternX_color_sample_method","s_patternX_color_sample_method"
"s_patternX_id_color_ptr","s_patternX_id_color_ptr"
"s_patternX_id_color_tolerence","s_patternX_id_color_tolerence"
"s_patternX_dist_infl_allow","s_patternX_dist_infl_allow"
"s_patternX_dist_influence","s_patternX_dist_influence"
"s_patternX_dist_revert","s_patternX_dist_revert"
"s_patternX_scale_infl_allow","s_patternX_scale_infl_allow"
"s_patternX_scale_influence","s_patternX_scale_influence"
"s_patternX_scale_revert","s_patternX_scale_revert"
"s_pattern1","s_pattern1"
"s_pattern2","s_pattern2"
"s_pattern3","s_pattern3"
"s_abiotic_elev","s_abiotic_elev"
"s_abiotic_lope（非生物斜率）","s_abiotic_slope"
"s_abiotic_dir","s_abiotic_dir"
"s_abiotic_cur","s_abiotic_cur"
"s_abiotic_border","s_abiotic_border"
"s_proximity_repel1","s_proximity_repel1"
"s_proximity_repel2","s_proximity_repel2"
"s_proximity_outskirt","s_proximity_outskirt"
"返回局部散射系统列表，用于 prop_search","return list of local scatter-systems, used for prop_search"
"s_ecosystem_affinity_XX_ptr","s_ecosystem_affinity_XX_ptr"
"s_ecosystem_affinity_XX_type","s_ecosystem_affinity_XX_type"
"s_ecosystem_affinity_XX_max_value","s_ecosystem_affinity_XX_max_value"
"s_ecosystem_affinity_XX_max_falloff","s_ecosystem_affinity_XX_max_falloff"
"s_ecosystem_affinity_XX_limit_distance","s_ecosystem_affinity_XX_limit_distance"
"生态系统亲和力","s_ecosystem_affinity"
"s_ecosystem_repulsion_XX_ptr","s_ecosystem_repulsion_XX_ptr"
"s_ecosystem_repulsion_XX_type","s_ecosystem_repulsion_XX_type"
"s_ecosystem_repulsion_XX_max_value","s_ecosystem_repulsion_XX_max_value"
"s_ecosystem_repulsion_XX_max_falloff","s_ecosystem_repulsion_XX_max_falloff"
"生态系统排斥","s_ecosystem_repulsion"
"s_push_offset","s_push_offset"
"推送目录","s_push_dir"
"s_push_noise","s_push_noise"
"推落","s_push_fall"
"s_wind_wave","s_wind_wave"
"s_wind_noise","s_wind_noise"
"获取此粒子实例化方法使用的所有对象","get all objects used by this particle instancing method"
"s_instances_id_XX_rate","s_instances_id_XX_rate"
"s_instances_id_XX_scale_min","s_instances_id_XX_scale_min"
"s_instances_id_XX_scale_max","s_instances_id_XX_scale_max"
"s_instances_id_XX_color","s_instances_id_XX_color"
"bpy.context.object.scatter5.particle_groups，将存储在发射器上","bpy.context.object.scatter5.particle_groups, will be stored on emitter"
"列出所有指定组的成员 psys","list all psys being members given group"
"对于每个设置，确保 psys 成员的节点树已更新","for every settings, make sure nodetrees of psys members are updated"
"用于重命名组的特殊更新名称功能","special update name function for renaming a group"
"开启/关闭群组系统","open/close the group system"
"找到我们插件中加载的所有类","find all classes loaded in our plugin"
"查找所有在注释空间中保留 blender 枚举属性的类","find all classes who detain blender enum properties in their annotation space"
"检查此物品是否需要修补，如果物品的图标元素有修补信号","check if this item need to be patched, if the icon element of the item has a patchsignal"
"如果需要，可以修补项目的图标元素","patch icon element of an item if needed"
"使用用户自定义的 addon_prefs.library_path 从目录模块更新全局","update global from  directories module with user custom addon_prefs.library_path"
"启动库目录","Startup the library directories"
"使用 bpy.utils.preview 安装预览，将尝试搜索给定目录中的所有图像文件","install previews with bpy.utils.preview, will try to search for all image file inside given directory"
"使用 bpy.utils.preview 安装预览，将循环遍历图像路径列表","install previews with bpy.utils.preview, will loop over list of image path"
"使用 bpy.utils.preview 删除预览","remove previews wuth bpy.utils.preview"
"用于调试目的","for debug purpose"
"解压给定的 zip 文件","unzip given zip file"
"检查此 zip 中是否有 .blends","check if there are .blends in this zip"
"翻译这个字符串","translate this string"
"审视所有翻译函数，并创建翻译字典文件，关键始终是英语","introspect all translate() function, and create traduction dict files, key is always english"
"在背景中渲染此生物群系/此物品预设的预览","Render a preview of this biome/preset for this item in background"
"发射器远","emitter_far"
"缩略图","Thumbnail"
"从 json 字典中获取实例列表信息","get instance list information from json dict"
"在散点库和环境路径中搜索给定基本名称的完整路径","search for the full path of given basename in the scatter library & environment paths"
"批量导入生物群系预设文件的所有相关对象","batch import all related objects of a biome preset file"
"与 'add_biome()' 相同，但增加了进度条系统的复杂程度，以及自定义行为设置","same as 'add_biome()', with added layer of complexity of progress bar system, and custom behavior settings"
"\n •","\n • "
"从生物群系文件导入依赖对象，一次性完成以达到优化目的","import dependencies objects from biome files, done at once for optimization purpose"
"导入指令","import_instruction"
"添加新的生物群落层（或者可选地，分配材料，或执行脚本，当前未使用）","Add a new biome layer, (or optionally, assing a material, or execute a script, currently unused)"
"添加层说明","addlayer_instructions"
"直接掩模绘画选项的特殊说明","special instruction for direct mask painting option"
"quickpaint_instruction","quickpaint_instruction"
"安全指令","security_instruction"
"直接绘画","DirectPaint"
"散射生物群系库默认位于：","the scatter Biome Library is by default located in:"
"您可以自由地在此位置内创建子文件夹。","You are free to create subfolders within this location."
"  ","  "
"重命名生物群系 json/files","rename a biome json/files"
"返回 scatter5 认为与给定生物群系相关的所有路径的列表","return a list of all paths that scatter5 believe are linked with the given biome"
"     •","     • "
"默认","default"
"实用函数可快速定义发射器、表面、实例、心理名称和颜色","utility function to define emitter, surfaces, instances, psy name&color quickly"
"无名称","No Name"
"取决于 ctxt_f 调整散射系统","depending on ctxt_f tweak scatter-system"
"如果从脚本运行“Creation>Scatter”中的用户主散射运算符，请注意有一些全局参数可能会对此操作产生影响，例如安全功能","main scattering operator for user in 'Creation>Scatter' if running this from script, note that there are a few globals parameters that could have an influence over this operation, such as the security features"
"运行 add_psy_preset 而不使用预设，并使用自己的密度和默认设置覆盖","running add_psy_preset w/o using presets and overriding with own density & default settings"
"手动的","manual"
"...","..."
"規格","vg"
"surfdefine","surfdefine"
"位图","bitmap"
"标准","standard"
"曲线","curve"
"散射光散射","QScatter"
"维基百科","Vgroup"
"QuickSatterTexture","QuickSatterTexture"
"窗户","Window"
"从自定义加载的预览动态创建 EnumProperty","Dynamically create EnumProperty from custom loaded previews"
"检查发射器发射器类型是否为网格","check if emitter emitter type is mesh"
"轮询 bpy.context.scene.scatter5.emitter prop 的 fct。","poll fct  for bpy.context.scene.scatter5.emitter prop"
"每次 depsgraph 更新时，检查用户是否移除了发射器，我们需要更新场景的主发射器道具","on each depsgraph update, check if user has removed the emitter, we need to update the main emitter prop of scene"
"depsgraph：如果处于 pineed 模式，则自动将发射器指针更新为 context.object","depsgraph: automatically update emitter pointer to context.object if in pineed mode"
"depsgraph：清理已重复（非实例）的发射器对象","depsgraph: clean up emitter objects that have been dupplicated (not instanced)"
"despgraph：检查 f_surfaces 中是否没有删除的表面","despgraph: check if no deleted surfaces in f_surfaces"
"检查发射器是否适合散射预设或生物群系","check if emitter is ok for scattering preset or biome"
"Scatter5 用户列","Scatter5 User Col"
"空发射","EmptyEmit"
"地理分散","Geo-Scatter"
"分散合并","ScatterMerge"
".分散合并",".ScatterMerge"
"返回所有使用此集合作为 s_instances_coll_ptr 的 scatter5 psy","return all scatter5 psy that use this collection as s_instances_coll_ptr"
"检查物体是否兼容分散","check if object compatible to be scattered"
"返回兼容对象的生成器","return a generator of compatible object"
"仅适用于实例列表上下文的运算符","operator only for the insance list context"
"系数计算","Coef Calculation"
"查找属性的默认值","find default value of a property"
"修复缺失/损坏/较旧的地理节点引擎节点组及其修改器","fix missing/broken/older geonode engine nodegroups and their modifiers"
"将可能损坏的 scatter-obj 重新附加到 scatter 系统设置","re attach potentially broken scatter-obj to the scatter system settings"
"散射对象：","scatter_obj : "
"心理：","psy : "
" 字典 -> 设置"," dict -> settings "
"设置 attr，但首先检查 attr 是否在我们的属性字典中，默认情况下将返回是否找到 attr，如果您想检查并且 prop 是否为布尔值并且为 true，请使用 return_value","set attr, but check if attr in our dictornary of properties first, by default will return if attr was found, use return_value if you'd like to check and if the prop was a boolean and true"
"散射纹理类型的辅助函数，在下面各处都有用到","helper funciton for scatter ng texure type, used a bit everywhere below"
"辅助函数用于分配存储在字典中的通用掩码属性","helper function to assign universal mask properties stored in dict"
" 字典 <- 设置"," dict <- settings "
"散射纹理类型的辅助函数，在下面各处都有用到","helper funciton for scatter ng texture type, used a bit everywhere below"
"将掩码设置集合保存在 .preset 字典中，这是一个通用的掩码系统，所有设置都以相同的方式实现","saving masks settings collection in .preset dict, this is an universal mask system, all settings are implemented the same way"
"外部运算符，在创建时我们使用 bpy.ops.scatter5.add_psy_preset()","external operator, on creation we use bpy.ops.scatter5.add_psy_preset()"
"仅当 alt 行为 == 自动选择|活动时使用","only used if alt behavior == automatic selection|active"
"需要将菜单一分为二，因为向 GUI 菜单传递文本参数非常困难","needed to split the menu in two because passing a text argument to gui menus is incredibly difficult"
"每个类别标题的版本","version for per category header"
"用户界面列表版本","version for ui list"
"   ","   "
"移除选定的粒子系统","Remove the selected particle system(s)"
"批量设置 设置所有 psy 选择状态","batch set set all psy selection status"
"当用户将粒子系统设置为活动状态时运行的函数，用于 shift&alt 快捷键，也可以更改选择","function that run when user set a particle system as active, used for shift&alt shortcut, also change selection"
"切换全选","toggle select all"
"选择/取消选择对象","Select/Deselect an object"
"返回所有潜在 psys 的搜索列表","return list of all potential psys for search"
"bpy.context.scene.scatter5.sync_channels[i].成员","bpy.context.scene.scatter5.sync_channels[i].members"
"bpy.context.scene.scatter5.sync_channels","bpy.context.scene.scatter5.sync_channels"
"检查同步频道成员中是否存在 psy","check if a psy exists in sync channel members"
"检查给定的设置类别是否正在同步","check if given settings category is being sync"
"返回 psy 成员列表","return a list of psy members"
"添加给定的心理参数作为新成员","add the given psy args as new members"
"确保所有设置都设置为相同的值","make sure all settings are set to the same values"
"预设的特殊创建选项，相当传统，现在我们有映射种子嵌入设置","special creatiion options for presets, quite legacy, now we have mapping seed embedded settings"
"bpy.data.node_groups[i].scatter5.texture","bpy.data.node_groups[i].scatter5.texture"
"收集此纹理数据的所有散射系统/组系统用户","collect all scatter-systems/group-systems user of this texture data"
"从散点纹理节点组返回设置字典","return a settings dict from a scatter texture nodegroup"
"将设置应用于散射纹理节点组","apply settings to a scatter texture nodegroup"
"将部分旧纹理数据信息转换为新纹理，scatter5 beta","partially convert legacy texture data information to new texture, scatter5 beta"
"投影空间：","Projection Space:"
"绘制纹理数据块","draw texture datablock"
".S5PatternViz",".S5PatternViz"
"散点可视化工具","ScatterVisualizer"
".ScatterTextureVisualizer",".ScatterTextureVisualizer"
"用于在调用函数操作符时添加延迟的计时器","timer used to add delay when calling operator of the function"
"更新节点组调度，该函数不可以直接使用，请改用 factory()","update nodegroup dispatch, this function is not meant to be used directly, use factory() instead"
"当用户按下 alt 时将值同步到所有选定的 psy","sync value to all selected psy when user is pressing alt"
"更新时同步所有设置，设置在更新工厂中同步","sync all settings while updating, settings get synced in the update factory"
"避免设置颜色时出错","Avoid Error when setting colors"
"从 psy 节点树获取节点","get node from psy nodetree"
"根据节点条目类型，根据节点名称在 psy 节点树中设置值","set value in psy nodetree from node name, depending on node entry type"
"将 psy 节点树中的节点颜色静音","mute a color of a node in psy nodetree"
"将 psy 节点树中的节点静音","mute a node in psy nodetree"
"在 psnodetree 中将两个节点链接在一起","link two nodes together in psy nodetree"
"更改纹理 ptr == 将纹理节点树分配给 psy 纹理节点组","changing a texture ptr == assigning texture nodetree to a psy texture nodegroup"
".纹理 *默认* MKIV",".TEXTURE *DEFAULT* MKIV"
"更新 psy 节点树中的关键字节点","update keword node in psy nodetree"
"从 psy 节点获取关键字值","get keyword value from psy node"
"节点树的随机心理函数，将分配属性","random psy function of a nodetree, will assign property"
"从节点获取重映射图点矩阵","get remap graph points matrix from node"
"从矩阵 str 设置重映射图矩阵","set remap graph matrix from matrix str"
"计时器用于增加延迟，直到凸轮停止移动","timer used to add delay until cam has stopped moving"
"更新节点组","update nodegroup"
"当用户在集合中添加/删除对象时运行 uuid 更新，在 depsgraph 更新上运行","run uuid update when user is adding/removing objects in collections, run on depsgraph update"
"从节点树中的 uuid 设置等价 id，仅适用于多表面 + 手动分布","set equivalence id from uuid in nodetree, only for multi-surface + manual distribution"
"更新开始/结束帧节点组","update start/end frame nodegroup"
"确保 BoolProperty 的值与 EnumProperty 同步","ensure values of BoolProperty are in synch with EnumProperty "
"更新 fct 可以是生成器 fct，也可以是直接更新 fct","update fct can either be a generator fct or just a direct update fct"
"只需用标签标记功能","just mark function with tag"
"代码生成，自动创建通用掩码系统的更新函数","code generation, automatize the creation of the update functions for the universal mask system"
"撤消所有组功能（如果 psy 不再分配给任何组）","undo all group features (if a psy is not assigned to any groups anymore)"
