"默认调用","INVOKE_DEFAULT"
"移动时","On Move"
"爆炸时","On Explode"
"论影响","On Impact"
"烟雾颜色","Smoke Color"
"更新烟雾","Update Smoke"
"添加烟雾排放","Add Smoke Emission"
"部署流体","Deploy Fluid"
"添加烟雾域","Add Smoke Domain"
"添加湍流场","Add Turbulence Field"
"使用前请先烘烤","Bake Before to Use"
"无骨折组","No Fracture Group"
"KB_OP_更新_烟雾","KB_OP_Update_Smoke"
"KB_OP_应用_强度","kb_op_apply_strenght"
"将强度应用于选定对象的可破坏约束","Apply Strenght to Breakable Constraints of Selected Objects"
"复制代码","kb_op_add_constraint"
"为选定对象添加约束","Add Constarints to Selected Objects"
"易碎","breakable"
"复制代码","kb_op_apply_mass"
"将质量应用于破碎的群组对象","Apply Mass to Fratured Group Objects"
"KB_OP_设置_被动刚体","KB_OP_set_passiv_RG"
"设置被动刚体对象","Set Passiv Rigid Body Object"
"KB_碰撞","KB_Collision"
"约束","Constraints"
"固定的","Fixed"
"易碎","Breakable"
"力量","Strength"
"移除","Remove by"
"片段","Fragments"
"大量的","Mass"
"障碍：","Obstacles:"
"是 Collider","is Collider"
"设置被动障碍","Set Passiv Obstacle"
"消除","remove"
"KB_OP_移除_选定对象的约束","kb_op_remove_selected_objects_constraints"
"按对象删除约束","Remove Constraints by Objects"
"删除约束","kb_op_remove_constraint"
"消除分裂群体的限制","Remove Constraints by Fratured Group"
"B_OP_模拟_破碎","KB_OP_simulation_krumble"
"KB_OP_重置_刚体_世界","KB_OP_Reset_Rigid_Body_World"
"KB_OP_爆炸_模拟","KB_OP_Sumulation_Blast"
"模式","mode"
"计算两点之间的距离。","Calculate distance between two points."
"KB_OP_分布_火焰","KB_OP_Distribute_KaFires"
"KB_OP_移除_火焰","KB_OP_Remove_Kfires"
"关于","About"
"爆能枪","Blaster"
"刚体","Rigid Bodies"
"模拟","Simulation"
"世界","World"
"重置刚体世界","Reset Rigid Body World"
"烘焙模拟","Baking Simulation"
"自定义范围","Custom Range"
"开始","start"
"结尾","end"
"烘焙至关键帧","Bake to Keyframes"
"   特效","   FX"
"断裂组","Fracture Groups"
"从选择中添加组","Add Group From Selection"
"选择动态碎片","Select Dynamic Shards"
"等级","Level"
"数量","Amount"
"尺寸","Size"
"屠杀","Decimate"
"消除","Remove"
"申请","Apply"
"启用粗剪","Enable Rough Cut"
"爆炸：","BLAST:"
"全部","All"
"居住","Live"
"爆炸！","Blast !"
"分发 KaFires","Distribute KaFires"
"请创建分散组","Please Create Fractured Group"
"克鲁姆布尔：","KRUMBLE:"
"崩塌！","Krumble !"
"卡布姆科尔","kaboom_col"
"对象源","object_src"
"对象集合来源","obj_collection_src"
"对象动作来源","obj_action_src"
"是否有约束","has_constraints"
"是否已烘焙","is_baked"
"有碎片","has_debris"
"有烟","has_smoke"
"烟雾颜色","smoke_color"
"内部噪声","is_noisy_inner"
"噪声内部层","noisy_inner_level"
"噪声内部量","noisy_inner_amount"
"噪声内部大小","noisy_inner_size"
"噪声内部显示视图","noisy_inner_show_view"
"噪声内部隐藏渲染","noisy_inner_hide_render"
"是否迭代","is_iteration"
"纹理参考","ob_texture_ref"
"迭代程度","iteration_degree"
"噪声内部简化","noisy_inner_decimate"
"纹理空间位置","tex_space_loc"
"纹理空间缩放","tex_space_scale"
"火花 ID","kfire_id"
"是否有火花","has_kafires"
"撕裂模式","kb_fracture_mode"
"撕裂计数","Fracture Modes"
"撕裂轴","kb_fracture_count"
"Kaboom 集合","kb_fracture_axis"
"集合索引","kb_kaboom_collection"
"爆炸物体名称","kb_col_index"
"径向力强度","kb_blaster_object_name"
"径向力随机百分比","kb_bomb_radial_force"
"方向力向量","Radial Force Power"
"方向力随机百分比","kb_bomb_radial_force_rand"
"噪声内部大小","radial force random percent"
"噪声内部显示视图","kb_bomb_directionnal_force"
"噪声内部隐藏渲染","Directionnal Force Vector"
"是否迭代","kb_bomb_directionnal_force_rand"
"方向随机百分比","Directionnal random percent"
"部分旋转","kb_part_spin"
"骨折部位旋转","Fractured Part Spin"
"复制代码","kb_part_spin_rand"
"旋转随机百分比","Spin random percent"
"自定义范围布尔值","kb_custom_range_bool"
"自定义开始帧","kb_custom_f_start"
"自定义结束帧","kb_custom_f_end"
"质量约束","kb_constraint_mass"
"强度约束","kb_constraint_strenght"
"速度阈值","kb_velocity_threshold"
"加速度限制触发器","Acceleration limit trigger"
"粒子持续时间","kb_particles_duration"
"发射持续时间范围内的时间","Time in frame of emission duration"
"kb_粒子数","kb_particles_count"
"每次触发的粒子数","Number of particles for each triggering"
"粒子影响因子","kb_particles_impact_factor"
"碰撞触发计数百分比","Percent of count for collision triggering"
"粒子速度","kb_particles_speed"
"粒子模式","kb_particles_mode"
"碎片部件集合","kb_debris_part_collection"
"显示碎片部件","kb_show_debris_parts"
"显示烟雾部件","kb_show_smoke_parts"
"动态","kb_live_blast"
"粒子模式","kb_particle_mode"
"复制代码","kb_blast_all_groups"
"进度百分比","kb_progress_percent"
"烟雾排放移动","kb_smoke_emission_moving"
"搬运过程中烟雾排放强度","Intensity of smoke emission during move"
"烟雾发射爆炸","kb_smoke_emission_exploding"
"爆燃（爆炸和碰撞）烟雾排放强度","Intensity of smoke emission for deflagration (detonation and collision)"
"烟雾Z轴速度","kb_smoke_z_velocity"
"碰撞时烟雾排放强度","Intensity of smoke emission on collision"
"是否为迭代器源","kb_is_iterator_source"
"进度百分比","kb_progress_job"
"是否正在渲染","kb_is_rendering"
"锁定烘焙标志","kb_lock_bake_flag"
"碎片速度","kb_shard_velocity"
"碎片加速度","kb_shard_acceleration"
"碎片实际加速度","kb_shard_real_acceleration"
"分配K火","kb_distribute_kfires"
