"开始","Inception"
"禁用 Matcap 2 的叠加效果","Disable Overlays for Matcap 2"
"切换背景","Switch Background too"
"Matcap 1 背景类型","Matcap 1 Background Type"
"Matcap 1 背景颜色","Matcap 1 Background Color"
"Matcap 2 背景类型","Matcap 2 Background Type"
"Matcap 2 背景颜色","Matcap 2 Background Color"
"自动平滑角度预设","Autosmooth Angle Preset"
"显示已展开的自动平滑模式","Show Autosmooth Mod Expanded"
"显示视图派首选项","Show Views Pie Preferences"
"围绕选区旋转，但仅适用于对象模式","Rotate Around Selection, but only in Object Mode"
"使用自定义视图时强制轨迹球导航","Force Trackball Navigation when using Custom Views"
"使用自定义视图时设置变换预设","Set Transform Preset when using Custom Views"
"显示活动轨迹","Show Orbit around Active"
"显示轨道方法选择","Show Orbit Method Selection"
"根据视口匹配分辨率和相机镜头","Match Resolution and Camera Lens to Viewport"
"调整渲染分辨率，以匹配 3D 视图","Adjust Render Resulution ratio, to match the 3D View"
"显示光标和原点派首选项","Show Cursor and Origin Pie Preferences"
"显示光标和选定网格","Show Cursor and Selected to Grid"
"设置光标时设置变换预设值","Set Transform Preset when Setting Cursor"
"显示截取饼型首选项","Show Snapping Pie Preferences"
"显示绝对网格截取","Show Absolute Grid Snapping"
"显示体积截取","Show Volume Snapping"
"显示工作区饼状首选项","Show Workspace Pie Preferences"
"左工作区名称","Left Workspace Name"
"左工作区自定义标签","Left Workspace Custom Label"
"左侧工作区图标","Left Workspace Icon"
"左上工作区名称","Top-Left Workspace Name"
"左上工作区自定义标签","Top-Left Workspace Custom Label"
"左上工作区图标","Top-Left Workspace Icon"
"顶部工作区名称","Top Workspace Name"
"顶部工作区自定义标签","Top Workspace Custom Label"
"顶部工作区图标","Top Workspace Icon"
"右上工作区名称","Top-Right Workspace Name"
"顶部-右侧工作区自定义标签","Top-Right Workspace Custom Label"
"顶部-右侧工作区图标","Top-Right Workspace Icon"
"右侧工作区名称","Right Workspace Name"
"右工作区自定义标签","Right Workspace Custom Label"
"右侧工作区图标","Right Workspace Icon"
"右下工作区名称","Bottom-Right Workspace Name"
"右下工作区自定义标签","Bottom-Right Workspace Custom Label"
"右下工作区图标","Bottom-Right Workspace Icon"
"底部工作区名称","Bottom Workspace Name"
"底部工作区自定义标签","Bottom Workspace Custom Label"
"底部工作区图标","Bottom Workspace Icon"
"左下方工作区名称","Bottom-Left Workspace Name"
"底部-左侧工作区自定义标签","Bottom-Left Workspace Custom Label"
"左下方工作区图标","Bottom-Left Workspace Icon"
"显示工具派首选项","Show Tools Pie Preferences"
"显示硬操作工具","Show Hard Ops Tool"
"显示硬操作菜单","Show Hard Ops Menu"
"显示方框剪切工具","Show BoxCutter Tool"
"显示方框剪切预设","Show BoxCutter Presets"
"显示快速收藏夹","Show Quick Favorites"
"显示工具栏","Show Tool Bar"
"显示注释","Show Annotate"
"显示批注工具","Show Annotation Tools"
"显示表面绘制","Show Surface Draw"
"显示 GreasePencil 表面绘制工具","Show GreasePencil Surface Draw Tool"
"智能垂直","Smart Vert"
"智能边缘","Smart Edge"
"智能面","Smart Face"
"清理","Clean Up"
"边缘约束","Edge Constraint"
"挤出","Extrude"
"聚焦","Focus"
"镜像","Mirror"
"对齐","Align"
"分组","Group"
"智能驱动","Smart Drive"
"文件浏览器工具","File Browser Tools"
"资产浏览器工具","Asset Browser Tools"
"切换区域","Toggle Region"
"渲染","Render"
"平滑","Smooth"
"剪切切换","Clipping Toggle"
"表面滑动","Surface Slide"
"材质选择器","Material Picker"
"应用","Apply"
"选择","Select"
"网格切割","Mesh Cut"
"线程","Thread"
"统一","Unity"
"自定义","Customize"
"模式派","Modes Pie"
"保存派","Save Pie"
"阴影饼","Shading Pie"
"视图派","Views Pie"
"对齐派","Align Pies"
"光标和原点饼","Cursor and Origin Pie"
"变形派","Transform Pie"
"抓取饼","Snapping Pie"
"收藏夹","Collections Pie"
"工作区图","Workspace Pie"
"工具饼","Tools Pie"
"使用组子菜单","Use Group Sub-Menu"
"显示组大纲切换","Show Group Outliner Toggles"
"显示侧边栏面板","Show Sidebar Panel"
"在 3D 视图中显示 MACHIN3tools 面板","Show MACHIN3tools Panel in 3D View"
"HUD 缩放","HUD Scale"
"HUD 元素的比例","Scale of HUD elements"
"HUD 超时","HUD timeout"
"全局超时调制（在 MACHIN3tools 中未显示）","Global Timeout Modulation (not exposed in MACHIN3tools)"
"清理 HUD 淡入时间（秒）","Clean Up HUD Fade Time (seconds)"
"选择层次结构 HUD 淡入时间（秒）","Select Hierarchy HUD Fade Time (seconds)"
"剪切切换 HUD 淡入时间（秒）","Clipping Toggle HUD Fade Time (seconds)"
"组 HUD 淡入时间（秒）","Group HUD Fade Time (seconds)"
"工具派 HUD 淡入时间（秒）","Tools Pie HUD Fade Time (seconds)"
"点击距离","Flick Distance"
"可更新","Update is available"
"选项卡","Tabs"
"安装 MACHIN3 工具 更新","Install MACHIN3tools Update"
"移除更新","Remove Update"
"退出 Blender + 安装更新","Quit Blender + Install Update"
"在您的主页和/或下载文件夹中找到以下更新： ","Found the following Updates in your home and/or Downloads folder: "
"重新扫描","Re-Scan"
"发现","found"
"选择 MACHIN3tools_x.x.x.zip 文件","Select MACHIN3tools_x.x.x.zip file"
"获取支持","Support"
"获取支持","Get Support"
"激活","Activate"
"工具","Tools"
"资产浏览器工具","Assetbrowser Tools"
"文件浏览器工具","Filebrowser Tools"
"饼状菜单","Pie Menus"
"对齐饼","Alignments Pie"
"设置","Settings"
"附加组件","Addon"
"查看 3D","View 3D"
"HUD","HUD"
"渐变时间","Fade time"
"选择层次结构","Select Hierarchy"
"文件浏览器","Filebrowser"
"子菜单","Sub Menu"
"大纲切换","Outliner Toggles"
"删除空","Remove Empty"
"基础名称","Basename"
"自动名称","Auto Name"
"前缀","Prefix"
"后缀","Suffix"
"因子","Factor"
"注意：以下内容均由阴影饼控制","NOTE: The following are all controlled from the Shading Pie"
"启用阴影饼以获得更多选项","Enable the Shading Pie for additional options"
"鼠标右键键图","Right Mouse Button Keymap"
"已启用","Enabled"
"常规","General"
"首选项","Preferences"
"导入/导出","Import / Export"
"显示 .obj 导入/导出","Show .obj Import/Export"
"显示塑性导入/导出","Show Plasticity Import/Export"
"已设置轴的 .obj 导入/导出",".obj import/export with Axes set up already"
"显示 .fbx 导入/导出","Show .fbx Import/Export"
"显示 .usd 导入/导出","Show .usd Import/Export"
"显示 .stl 导入/导出","Show .stl Import/Export"
"导出根文件夹","Export Root Folders"
"可塑性","Plasticity"
"投屏","Screen Cast"
"取消前保存","Pre-Undo Save"
"版本化启动文件","Versioned Startup File"
"叠加可见性（按阴影类型）","Overlay Visibility (per-shading type)"
"自动平滑","Autosmooth"
"Matcap 切换","Matcap Switch"
"智能相机","Smart Cam"
"相机创建","Camera Creation"
"它","It"
"顶部","Top"
"左上角","Top-Left"
"顶部-右侧","Top-Right"
"左","Left"
"图标名称？","Icon Names?"
"右","Right"
"底部-左","Bottom-Left"
"底部-右","Bottom-Right"
"底部","Bottom"
"未激活任何工具或带有设置的饼状菜单。","No tools or pie menus with settings have been activated."
"雕刻模式冲突","Sculpt Mode Conflicts"
"在雕刻模式下，有一个冲突的按键映射阻止了着色饼的出现。我建议你重新映射它，也许可以添加一个 mod 键？","There is a conflicting keymap, preventing the Shading Pie from coming up in Sculpt mode. I suggest you remap it, maybe by adding a mod key?"
"在 “雕刻 ”模式下，“视图饼 ”无法显示。我建议你重新映射它，或许添加一个修改键？","There is a conflicting keymap, preventing the Views Pie from coming up in Sculpt mode. I suggest you remap it, maybe by adding a mod key?"
"将已修改的键映射重置为默认值","Reset Modified Keymaps to Default"
"恢复缺失的键映射","Restore Missing Keymaps"
"没有可用的键映射，因为没有激活任何工具。","No keymappings available, because none of the tools have been activated."
"没有创建键映射，因为没有激活任何馅饼。","No keymappings created, because none of the pies have been activated."
"MACHIN3工具","MACHIN3tools"
"MACHINƎ.io","MACHINƎ.io"
"blenderartists","blenderartists"
"Patreon","Patreon"
"推特","Twitter"
"视频","Youtube"
"艺术站","Artstation"
"DECALmachine","DECALmachine"
"MESHmachine","MESHmachine"
"PUNCHit","PUNCHit"
"曲线机","CURVEmachine"
"超光标","HyperCursor"
"历史对象","History Object"
"历史解除镜像","History Unmirror"
"批处理姿势","BatchPose"
"组姿态矩阵","Group Pose Matrix"
"移除姿势","Remove Pose"
"批处理姿势","Batch Pose"
"切换与该组层次结构中其他批次姿势的连接（Toggle Connection to Other Batch Pose in this Group Hierarchy）\n\n如果活动姿势断开连接，则会像普通单个姿势一样被检索。","Toggle Connection to Other Batch Poses in this Group Hierarchy\n\nIf the active pose is disconnected, it will be retrieved like a regular single Pose.\nDisconnected Batch Poses in the Group Hierarchy below, will not be previewed, retrieved or removed, unless overriden in the Retrieve/Remove ops"
"使用撤销保存","Use Undo Save"
"请注意，根据场景的复杂程度，这可能会明显影响您的撤消速度。","Save before Undoing\nBe warned, depending on your scene complexity, this can noticably affect your undo speed"
"使用重做保存","Use Redo Save"
"也可在首次操作重做之前保存","Also save before first Operator Redos"
"通过","Pass Through"
"显示编辑网格线框","Show Edit Mesh Wireframe"
"同步选择","Synce Selection"
"空腔","Cavity"
"曲率","Curvature"
"绘制轴线尺寸","Draw_Axes Size"
"绘制轴线 Alpha","Draw Axes Alpha"
"在屏幕空间中绘制轴线","Draw Axes in Screen Space"
"绘制活动轴线","Draw Active Axes"
"绘制活动轴","Draw Active"
"绘制光标轴","Draw Cursor Axes"
"绘制光标","Draw Cursor"
"照明方法","Lighting Method"
"实体/纹理视口阴影的照明方法","Lighting Method for Solid/Texture Viewport Shading"
"使用平面阴影","Use Flat Shadows"
"在平面光照时使用阴影","Use Shadows when in Flat Lighting"
"萌萌哒预设","Eevee Preset"
"Eevee 质量预设","Eevee Quality Presets"
"设置使用场景灯光","Set Use Scene Lights"
"更改萌宠预设时设置使用场景灯光","Set Use Scene Lights when changing Eevee Preset"
"设置使用场景世界","Set Use Scene World"
"在更改 Eveevee 预设值时设置使用场景世界","Set Use Scene World when changing Eevee Preset"
"强度","Intensity"
"萌宠通过预设","Eevee Passes Preset"
"七彩精灵通过预设","Eevee Passes Presets"
"精灵厚度","Eevee Thickness"
"Eevee 光线追踪和快速 GI 分辨率","Eevee Ray-Trace and Fast GI Resolution"
"Eevee 网屏追踪厚度 + 快速 GI 近似厚度","Eevee Screen-Trace Thickness + Fast GI Near Thickness"
"Eevee 精确度","Eevee Precision"
"屏幕追踪精度 + 快速 GI 精度","Eevee Screen-Trace Precision + Fast GI Precision"
"使用体积","Use Volumes"
"对象卷通过在视口中过滤它们来切换；世界卷通过（取消）静音卷节点来切换；在没有对象卷和没有世界卷的情况下，启用此选项将设置一个世界卷；即使存在对象卷，按住 SHIFT 键也会强制设置一个世界卷。","Toggle Volume Rendering\n\n Object Volumes are toggled by filtering them in the viewport\n World Volume is toggled by (un)muting the Volume node\n\nWithout Object Volumes and without a World Volume present, enabling this will set up a World Volume\nHold SHIFT to force set up a World Volume, even though Object Volumes are present"
"使用 Bloom","Use Bloom"
"切换 Bloom 后期效果","Toggle Bloom Post Effect"
"使用色散","Use Dispersion"
"切换色散后期效果","Toggle Dispersion Post Effect"
"渲染时调整灯光","Adjust Lights when Rendering"
"调整渲染时的灯光区域灯光，以更好地匹配 Eeevee 和 Cycles","Adjust Lights Area Lights when Rendering, to better match Eevee and Cycles"
"用于从 Eeeve 光强计算 Cycles 光强的除法器","Divider used to calculate Cycles Light Strength from Eeeve Light Strength"
"最后一次灯光调整","Last Light Adjustment"
"初始渲染处理程序是否减少了光照？","Have Lights been decreased by the init render handler?"
"渲染引擎","Render Engine"
"渲染设备","Render Device"
"在视口渲染时，对对象进行隐藏渲染设置","Enfore hide_render setting for objects when Viewport Rendering"
"使用斜角着色器","Use Bevel Shader"
"对可见材质批量应用斜角着色器","Batch Apply Bevel Shader to visible Materials"
"考虑斜角半径调节的对象尺寸","Consider Object Dimensions for Bevel Radius Modulation"
"示例","Samples"
"斜角着色器示例","Bevel Shader Samples"
"半径","Radius"
"斜角着色器全局半径","Bevel Shader Global Radius"
"自定义本地视图","Custom Local Views"
"根据活动对象使用自定义视图","Use Custom Views, based on the active object"
"自定义光标视图","Custom Cursor Views"
"根据光标使用自定义视图","Use Custom Views, based on the cursor"
"对齐模式","Align Mode"
"显示智能驱动器","Show Smart Drive"
"驱动器起始值","Driver Start Value"
"驱动器结束值","Driver End Value"
"驱动轴","Driver Axis"
"驱动器变换","Driver Transform"
"驱动器空间","Driver Space"
"驱动起始值","Driven Start Value"
"驱动端值","Driven End Value"
"驱动轴","Driven Axis"
"驱动变换","Driven Transform"
"驱动 Lmit","Driven Lmit"
"显示统一","Show Unity"
"导出到 Unity","Export to Unity"
"启用以执行实际的 FBX 导出（不启用则仅准备模型","Enable to do the actual FBX export\nLeave it off to only prepare the Model"
"统一导出路径","Unity Export Path"
"在导出前进行三角剖分","Triangulate before exporting"
"在每个对象的末尾添加三角剖分修改器","Add Triangulate Modifier to the end of every object"
"方框剪切方向","BoxCutter Orientation"
"显示组","Show Group"
"显示群组小工具","Show Group Gizmos"
"全局切换群组小工具","Toggle Group Gizmos Globally"
"自动选择组","Auto Select Groups"
"激活空时自动选择整个组","Automatically select the entire Group, when its Empty is made active"
"递归选择组","Recursively Select Groups"
"向下递归选择整个组层次结构","Recursively select entire Group Hierarchies down"
"在三维视图中隐藏组空","Hide Group Empties in 3D View"
"在三维视图中隐藏组空以避免杂乱","Hide Group Empties in 3D View to avoid Clutter"
"在主对象上下文菜单中显示自动选择切换按钮","Show Auto Select Toggle in main Object Context Menu"
"在主对象上下文菜单中显示递归选择切换按钮","Show Recursive Selection Toggle in main Object Context Menu"
"在主对象上下文菜单中显示组隐藏切换按钮","Show Group Hide Toggle in main Object Context Menu"
"仅变换组原点（空）","Transform only the Group Origin(Empty)"
"仅变换组原点（空），禁用组自动选择并启用 ","Transform the Group Origin(Empty) only, disable Group Auto-Select and enable "
"全局群组小工具大小","Global Group Gizmo Size"
"显示资产浏览器工具","Show Assetbrowser Tools"
"收集路径","Collect Path"
"显示挤出","Show Extrude"
"导出到 Unity","Exported to Unity"
"统一导出前矩阵","Pre-Unity-Export Matrix"
"统一前导出网格","Pre-Unity-Export Mesh"
"统一前导出电枢","Pre-Unity-Export Armature"
"是空组","is group empty"
"是组对象","is group object"
"组空大小","group empty size"
"显示群组小工具","show group gizmo"
"显示 X 旋转小工具","show X rotation gizmo"
"显示 Y 旋转小工具","show Y rotation gizmo"
"显示 Z 旋转小工具","show Z rotation gizmo"
"组小控件大小","group gizmo size"
"组休息姿势矩阵","Group Rest Post Matrix"
"姿势名称","Pose Name"
"双击重命名","Double Click to Rename"
"姿势预览 Alpha","Pose Preview Alpha"
"用于在整个组中预览姿势的 Alpha 值","Alpha used to preview Poses across the entire Group"
"绘制活动姿势预览","Draw a Preview of the Active Pose"
"平滑角度","Smooth Angle"
"已平滑","Has been smoothed"
"绘制轴线","Draw Axes"
"活动对象斜角切换","Active Object Bevel Toggle"
"在活动对象上切换斜角着色器","Toggle Bevel Shader on Active Object"
"活动对象斜角半径调节","Active Object Bevel Radius Modulation"
"调节活动对象斜角着色器半径的因子","Factor to modulate the Bevel Shader Radius on the Active Object"
"散列查找关联对象","Hash to find associated objects"
"在 CreateAssemblyAsset 中设置自定义隐藏道具，因为一旦将资产放入场景中，对象的原始可见性就会丢失。","Custom Hide prop set in CreateAssemblyAsset, because and objects original visibility gets lost once you drop an asset into a scene"
"在 CreateAssemblyAsset 中设置自定义隐藏视口道具，因为我们会对资产集合中的某些对象禁用此功能，但希望在拆解时恢复原始状态","Custom Hide Viewport prop set in CreateAssemblyAsset, because we disable this for some objects in the assets collection, but want to get the original state back when disassembling"
"机器3：对齐","MACHIN3: Align"
"在两者之间对齐","Align in between"
"在两者之间绘制","Draw in between"
"翻转","Flip"
"模式","Mode"
"对齐位置","Align Location"
"对齐旋转","Align Rotation"
"对齐比例","Align Scale"
"X","X"
"Y","Y"
"Z","Z"
"父节点到骨节点","Parent to Bone"
"将 Z 对齐至 Y","Align Z to Y"
"滚动","Roll"
"滚动量（度","Roll Amount in Degrees"
"对齐至","Align to"
"对齐到","True"
"位置","Location"
"旋转","Rotation"
"缩放","Scale"
"相对对齐","Align Relative"
"确认","Confirm"
"取消","Cancel"
"选择单个","Select Single"
"选择多个","Select Multiple"
"MACHIN3： 相对对齐","MACHIN3: Align Relative"
"实例","Instance"
"目标地图","target map"
"机械3：应用变换","MACHIN3: Apply Transformations"
"应用变换，同时保持斜面宽度和子变换不变。","Apply Transformations while keeping the bevel width as well as the child transformations unchanged."
"MACHIN3：创建装配资产","MACHIN3: Create Assembly Asset"
"从选定对象创建装配资产","Create Assembly Asset from the selected Objects"
"资产名称","Asset Name"
"移动而不是复制","Move instead of Copy"
"将对象移动到资产集合中，而不是复制（这将取消它们与任何现有集合的链接","Move Objects into Asset Collection, instead of copying\nThis will unlink them from any existing collections"
"空位置","Empty Location"
"资产位置","Location of Asset"
"取消链接装配资产","Unlink Assembly Asset"
"从当前场景中移除空资产","Remove the Asset Empty from the current Scene"
"渲染缩略图","Render Thumbnail"
"资产信息","Asset Info"
"目录","Catalog"
"空资产","Asset Empty"
"位置","Position"
"取消链接","Unlink"
"无法从当前选择对象创建资产缩略图","Could not create Asset Thumbnail from current Selection of Objects"
"MACHIN3：更新资产缩略图","MACHIN3: Update Asset Thumbnail"
"通过活动对象的视口渲染更新资产缩略图","Update the Asset Thumbnail via a Viewport Render of the Active Object"
"MACHIN3：删除装配资产","MACHIN3: Remove Assembly Asset"
"描述","description"
"删除整个本地资产","Remove entire Local Asset"
"这将从 .blend 文件中删除整个资产！","This will remove the entire asset from the .blend file!"
"操作完成后，资产浏览器中将不再显示该资产。","It will no longer be available in the asset browser after this operation."
"MACHIN3：分解装配体","MACHIN3: Disassemble Assembly"
"使程序集对象（实例集合）可被访问","Make Assembly Objects (Instance Collection) accessible"
"机械3：使 ID 本地化","MACHIN3: Make IDs Local"
"强制将所有内容本地化","Force Making Everything Local"
"机械3：资产浏览器书签","MACHIN3: Assetbrowser Bookmark"
"索引","Index"
"保存书签","Save Bookmark"
"清除书签","Clear Bookmark"
"机械3：清理","MACHIN3: Clean Up"
"删除重复","Remove Doubles"
"溶解退化","Dissolve Degenerate"
"合并距离","Merge Distance"
"重新计算法线","Recalculate Normals"
"翻转法线","Flip Normals"
"删除松散","Delete Loose"
"删除松散的顶点","Delete Loose Verts"
"删除松散的边","Delete Loose Edges"
"删除松散面","Delete Loose Faces"
"分解冗余","Dissolve Redundant"
"删除多余的顶点","Dissolve Redundant Verts"
"溶解冗余边","Dissolve Redundant Edges"
"分解冗余角度","Dissolve Redundnat Angle"
"非平面面阈值","Non-Planar Face Threshold"
"所选视图","View Selected"
"双倍","Doubles"
"退化","Degenerate"
"松散","Loose"
"顶点","Verts"
"边","Edges"
"面","Faces"
"冗余","Redundant"
"角度","Angle"
"阈值","Threshold"
"边缘","VERTS"
"边缘","EDGES"
"面","FACES"
"MACHIN3：剪切切换","MACHIN3: Clipping Toggle"
"最小值","Minimum"
"中","Medium"
"最大值","Maximum"
"当前状态","Current State"
"当前状态","Current"
"剪辑开始","Clip Start"
"MACHIN3：自定义","MACHIN3: Customize"
"自定义 Blender 的各种首选项、设置和键图。","Customize various Blender preferences, settings and keymaps."
"view3d.view_center_pick","view3d.view_center_pick"
"内置注释","builtin.annotate"
"builtin.annotate_eraser","builtin.annotate_eraser"
"USERPREF_MT_interface_theme_presets","USERPREF_MT_interface_theme_presets"
"资料库","Library"
"MACHIN3: M3 调试","MACHIN3: M3 Debug"
"M3 调试","M3 Debug"
"零缩放","Zero Scaling"
"缩放","Scaling"
"轴","Axis"
"清除轴","Clear Axis"
"旋转","Rotate"
"零刻度","Zero Scale"
"约束模式","Constrain Mode"
"角度锁定","Angle Snap"
"方向锁定","Direction Lock"
"MACHIN3：边缘约束变换","MACHIN3: Transform Edge Constrained"
"变换模式","Transform Mode"
"变换轴","Transform Axis"
"对齐端面边缘","Align Ends to Face Edge"
"绘制对齐端点选项","Draw Align Ends Option"
"面对齐","Face Align"
"打孔","Punch It"
"设置数量","Set Amount"
"最终确定","Finalize"
"挤出模式：","Extrusion Mode:"
"平均","Averaged"
"边缘","Edge"
"正常","Normal"
"重置数量","Reset Amount"
"完成","Finish"
"巫术","Sorcery"
"推拉","Push and Pull"
"拉","Pull"
"推","Push"
"重置","Reset"
"反转","Invert"
"推/拉 x 100","Push/Pull x 100"
"机器 3：冲压","MACHIN3: Punch It"
"有效的歧管挤压","Manifold Extruding that works"
"使用自交","Use Self Intersection"
"神奇地修复问题（较慢）/使你残疾","Magically fix issues (slower)\nDisabled you"
"数量","Amount"
"挤出深度","Extrusion Depth"
"推动","Pushed"
"将侧面推出","Push Side Faces out"
"拉","Pulled"
"正面向后拉","Pull Front Face back"
"机器 3：光标旋转","MACHIN3: Cursor Spin"
"光标旋转","Cursor Spin"
"角度预设","Angle Preset"
"步进","Steps"
"自适应步进","Adaptive Steps"
"自适应因子","Adaptive Factor"
"光标轴","Cursor Axis"
"偏移","Offset"
"偏移重置","Offset Reset"
"自适应","Adaptive"
"MACHIN3：在系统中打开","MACHIN3: Open in System"
