"检查更新","Check Update"
"恢复下一个弹出窗口的值","restore value for the next popup"
"附加剪贴板混合文件的文件\nAlt 附加所选类型的所有数据","Append files for clipboard blend file\nAlt to append all data of chosen type"
"链接剪贴板混合文件的文件\nAlt 链接所选类型的所有数据","Link files for clipboard blend file\nAlt to link all data of chosen type"
"从所有文件批量导入全部 批量导入","Batch import all from all files"
"使用当前搅拌机打开文件","Batch Import"
"打开","Open file with current blender"
"...","Open..."
"用另一个搅拌机打开文件 打开","Open file with another blender"
"从","Open"
"json 文件","Import config from a json file"
"导入配置 导入配置","Import Config"
"wm.super_importExport 标记的配置到 json 文件","wm.super_importExport marked configs to a json file"
"导出配置","Export Config"
"全部","Export All"
"导出 导出到剪贴板","Export to Clipboard"
"超级导出","Super Export"
"粘贴模型/图像","Paste Model/Images"
"超级导入","Super Import"
"从剪贴板加载文件/模型/图像","Load files/models/images from clipboard"
"过滤扩展","Filter extension"
"将选定的对象导出到混合文件","Export Selected objects to a blend file"
"复制混合","Copy Blend"
"安装 Cinema 4d 插件","Install Cinema 4d Plugin"
"这是一个适用于 c4d R23+ 的插件","This is a plugin suitable for c4d R23+"
"复制 c4d 下的插件文件夹","Copy the plugin folder under c4d"
"您可以在扩展菜单中找到它","You can find it in extension menu"
"安装教程","Install Tutorial"
"安装 Houdini 包","Install Houdini Package"
"版本","Version"
"包路径","Packages Path"
"这是一个适用于 houdini 18+(python3) 的脚本","This is a script suitable for houdini 18+(python3)"
"单击","Click "
"然后为其分配快捷方式","Then assign Shortcut for it"
"EXEC_DEFAULT","EXEC_DEFAULT"
"安装","Install"
"加载文本","Load Text"
"导入为参考","Import as Reference"
"导入为平面","Import as Plane"
"导入为节点","Import as Nodes"
"导入和设置 PBR（原则）","Import and Setup PBR (Principled)"
"导入为世界","Import as World"
"导入为灯光图案片","Import as Light Gobos"
"。","."
"导入为视差材质","Import as Parallax Material"
"导出为图像像素","Export as Image Pixel"
"复制像素","Copy Pixel"
"导出为图像文件","Export as Image File"
"复制图像","Copy Image"
"导入 PBR 文件夹作为材质","Import PBR Folders as Materials"
"加入目录","Join Dirs"
"Principled 纹理设置","Principled Texture Setup"
"添加纹理 为 Principled BSDF","Add Texture Node Setup for Principled BSDF"
"节点设置 目录","Directory"
"相对路径","Relative Path"
"尽可能设置相对于混合文件的文件路径","Set the file path relative to the blend file, when possible"
"将选定对象导出到文件并复制到剪贴板\nAlt 将所有对象导出到单个文件","Export Selected objects to file and copy to clipboard\nAlt to export every object to a single file"
"复制模型","Copy Model"
"使用 blender 的默认导入器导入模型","Import Model with blender's default importer"
"导入模型","Import Model"
"选择一个节点并将其导出为纹理\n先选择活动对象 将","Select a node and export it as a texture\nSelect active object first"
"节点导出为纹理","Export Node as Texture"
"输出选定的","Output"
"UV 贴图","UV Map"
"到活动","Selected to Active"
"设备","Device"
"边距","Margin"
"扩展","Extension"
"跳过未链接的套接字","Skip Unlinked Socket"
"链接以烘焙图像","Link to bake images"
"序列","Sequence"
"帧 开始","Frame Start"
"帧 结束","Frame End"
"帧 步骤","Frame Step"
"非","Not a "
"自定义","Custom"
"_ ","_"
"Texture_Bake_Node","Texture_Bake_Node"
"从预设中添加","Add from Preset"
"预设","Preset"
"过滤器类型","Filter Type"
"匹配规则","Match Rule"
"名称的匹配规则","Matching rule of the name"
"颜色标签","Color Tag"
"反向","Reverse"
"显示导入","Show Import"
"显示导出","Show Export"
"配置列表 索引","Config list Index"
"属性","Property"
"值","Value"
"使用","Use"
"IO 类型","IO Type"
"预设名称","Preset Name"
"描述","Description"
"在弹出的操作提示中显示","Show in the popup operator tips"
"匹配值","Match Value"
"临时目录","Temporary Directory"
"临时目录用于存储导出文件。\n如果为空，则使用 blender","Temporary Directory to store export files.\nIf empty, use blender"
"操作符类型","Operator Type"
"操作符上下文","Operator Context"
"区域","Area"
"属性","Properties"
"3D 视图","3D View"
"节点编辑器","Node Editor"
"图像 通用","Image Generic"
"文件浏览器","File Browser"
"操作符道具","Operator Props Operate"
"操作 添加道具","Add Prop"
"移除道具","Remove Prop"
"添加/移除/复制当前","Add / Remove / Copy current config"
"配置 配置","Config Operate"
"操作","Config Move"
"配置移动 添加","Add Config"
"配置 移除配置","Remove Config"
"复制配置","Copy Config"
"上移","Move Up"
"下移","Move Down"
"配置 导入/导出","Config Import/Export"
"基础颜色","Base Color"
"命名组件用于基础颜色贴图 次","Naming Components for Base Color maps"
"表面颜色","Subsurface Color"
"命名组件用于次表面颜色贴图","Naming Components for Subsurface Color maps"
"金属","Metallic"
"命名组件用于金属度贴图","Naming Components for metallness maps"
"高光","Specular"
"命名组件用于高光贴图","Naming Components for Specular maps"
"法线命名组件","Normal"
"用于法线贴图","Naming Components for Normal maps"
"凹凸","Bump"
"命名组件用于凹凸贴图","Naming Components for bump maps"
"粗糙度","Roughness"
"命名组件用于粗糙度贴图","Naming Components for roughness maps"
"光泽","Gloss"
"命名组件","Naming Components for glossy maps"
"用于光泽贴图 位移贴图的命名组件","Naming Components for displacement maps"
"透射","Transmission"
"命名组件用于透射贴图 发射命名","Naming Components for transmission maps"
"组件","Emission"
"用于发射贴图","Naming Components for emission maps"
"Alpha","Alpha"
"命名组件用于 alpha 贴图的","Naming Components for alpha maps"
"环境光遮蔽","Ambient Occlusion"
"命名组件用于 AO 贴图","Naming Components for AO maps"
"UI","UI"
"类别","Category"
"强制 Unicode","Force Unicode"
"强制使用","Force to use "
"使用 C++ obj 导入器","Use C++ obj importer"
"显示原则命名标签","Show Principled naming tags"
"实验性","Experimental"
"使用C++ obj 导出器","Use C++ obj exporter"
"扩展导出菜单","Extend Export Menu"
"导出后打开目录 导出","Open Dir After Export"
"后打开目标目录","Open the target directory after export"
"导出","Copy After Export"
"后复制 导出模型/图片后将文件复制到剪贴板 (Mac 仅支持一个文件)","Copy files to clipboard after export models / images (Mac Only Support One file)"
"报告时间","Report Time"
"报告导入时间","Report import time"
"关闭 警告 规则","Close Warning Rules"
"帮助","Help"
"手册","Manual"
"赞助商: 只剩一瓶辣椒酱","Sponsor: 只剩一瓶辣椒酱"
"斑斓魔法CG官网","斑斓魔法CG官网"
"辣椒B站频道","辣椒B站频道"
"开发者: Atticus ","Developer: Atticus"
"Atticus Github ","Atticus Github"
"AtticusB站频道","AtticusB站频道"
"插件","Addons"
"第三方","Third-party"
"支持 粘贴从 Illustrator 复制的矢量图案","Support Paste Vector Patterns copied from Illustrator"
"支持粘贴从 Photoshop 复制的选区","Support Paste Selection copied from Photoshop"
"Extra ","Extra"
"import_3dm by jesterKing","import_3dm by jesterKing"
"导入","Import"
"导出","Export"
"临时文件","Temporary Files"
"用户界面","User Interface"
"键盘","Keymap"
"映射 警告","Warning"
"1. 如果文件名与此规则不匹配","1. If file name not matching this rule"
"   它将搜索下一个匹配的配置","   It will search for the next config which match"
"2. 如果没有匹配的配置规则 导入所有","2. If no config’s rule is matched"
"   符合规则的文件后，它将在菜单中弹出所有可用的导入器","   It will popup all available importer in a menu after import all file that match a rule"
"错误的 IO 类型/运算符类型","Wrong IO Type / Operator Type"
"bpy.ops。","bpy.ops."
"未找到运算符为过滤/排序/搜索区域","No Operator Found"
"添加属性","Add Property"
"UI 代码。","UI code for the filtering/sorting/search area."
"超级 IO","Super IO"
"活动资产预览","Active Asset Preview"
"活动对象","Active Object"
"安装 Pillow ","Install Pillow"
"。\n ",".\n"
"PIL","PIL"
