"删除 Bagapie 数组修饰符"," Remove Bagapie Array modifiers "
"  并切换到重量绘制，","  and switch to Weight Paint, "
"  并将创建一个新的顶点组，","  and a new vertex group will be created,"
"  并且它将被分配给：","  and it will be assigned to :"
"  ","  "
"  未选择输入","  No input selected"
"- 将创建一个新的头发对象","- A new Hair Object will be created"
"  并将收到修饰符","  and will receive the modifier"
"- 活动对象将接收修改器","- Active object will receive the modifier"
"- 全新","- A new "
"- 选定的对象将链接到名为的新文件夹：","- Selected objects will be linked to new coll named :"
"- 新的集合将在输入中设置：","- The new collection will be set in the input :"
"信息！","Info !"
"你的修改器可能包含数据（Obj、Mat、Coll）。","Your modifier may contain data (Obj, Mat, Coll)."
"您可以选择使用修改器来保存这些。","You can choose to save these with the modifier."
"传奇：","Legend:"
"修饰符输入：","Modifier Inputs:"
"   数据 = 当前在输入中设置的 Obj/Mat/Coll 的名称。","   Data = Name of Obj/Mat/Coll currently set in the input."
"   输入 = 输入名称和类型。","   Input = Input name and type."
"   保存 = 保存当前输入数据。","   Save = Saves the current input Data."
"默认值：","Default Val:"
"   保留或删除默认值的选项（Obj/Mat/Coll）。","   Options to keep or remove default values (Obj/Mat/Coll)."
"   清除 = 删除输入","   Purge = Removes the input"
"是资产：","Is Asset:"
"   将当前在输入中设置的数据标记为资产。","   Marks data currently set in the input as an asset."
"   不会生成预览！","   Preview will NOT be generated!"
"更多信息！","More info !"
"直接在节点树中设置数据","Data set directly in the node tree"
"将与节点树一起保存。","will be saved with the Node Tree."
"修饰符输入中的数据集将是","Data set in modifier inputs will be"
"单独保存为混合文件。","saved separately as blend files."
"它们将被存储在 GeoPack 中。","They will be stored in the GeoPack."
"如果某个对象已经保存（例如 Cube.001），","If an object has already been saved (e.g. Cube.001),"
"它不会被再次保存（基于名称）。","it will not be saved again (name based)."
"此方法可以防止重复保存数据。","This method prevents duplicate data saving."
"GeoPack 将跟踪每个输入","GeoPack will track each input"
"并在使用修饰符时恢复它们。","and restore them when the modifier is used."
"修饰符输入","Modifier Inputs"
"默认值","Default Val"
"是资产","Is Asset"
"数据：  ","Data:  "
"输入：","Input: "
"节省","Save"
"清除","Purge"
"回收所有收藏品和收藏品。","Récupère tous les objets d'une collection et de ses sous-collections."
"空网格","EmptyMesh"
"空曲线","EmptyCurve"
"空发曲线","EmptyHairCurve"
"切换数据","Toggle Data"
"复印机","Copier l"
"档案之书","Dossier Cible"
"删除图标","Delete Icon"
"图片名称","image_name"
"BagaPie 地质包","BagaPie GeoPack"
"未检测到任何包裹","No packs detected"
"设置 GeoPack 位置或安装包","Setup GeoPack Location or Install Pack"
"转到编辑 > 首选项 > Bagapie > GeoPack","Go to Edit > Preferences > Bagapie > GeoPack"
"BAGAPIE_MT_geopack_select_modifier","BAGAPIE_MT_geopack_select_modifier"
"将所有包移至新位置","Move all packs to a new location"
"新地点","New Location"
" 取消所选组的组合"," Ungroup the selected group "
"取消群组","Ungroup"
"将选定对象分组。将创建一个边界框，并且对象不再可选。使用“编辑”使它们可选。","Group selected objects. A bounding box is created and the objects are no longer selectable. Use Edit to make them selectable."
"团体","Group"
"BagaPie_Group_BoundBox","BagaPie_Group_BoundBox"
"编辑选定的组","Edit selected group"
"編輯組","Edit Group"
"使组对象不可选择","Make group objects non selectable"
"锁组","Lock Group"
"复制组","Duplicate Group"
"重复群组 witk 链接","Duplicate Group witk link"
"复制链接组","Duplicate Linked Group"
"删除群组及其内容","Delete group and it's content"
"删除组","Delete Group"
" 删除 Bagapie 扶手修改器"," Remove Bagapie Handrail modifiers "
"移除 Bagapie 扶手","Remove Bagapie Handrail"
"添加扶手","Add Handrail"
" 没有任何"," NONE "
"导入节点","Import Nodes"
"BagaPie_Array_Line","BagaPie_Array_Line"
"安装BagaPie Pack","Install a BagaPie Pack"
"安装 BagaPie 资产包","Install BagaPie Assets Pack"
"更换包","Replace pack"
"BagaPie 资产","BagaPie Assets"
"设置 BagaPie 包位置","Set BagaPie Package Location"
"设置 BagaPie Geopacks 位置","Set BagaPie Geopacks Location"
"设置位置","Set Location"
"导出 BagaPie Geopack","Export a BagaPie Geopack"
"出口地质包装","Export Geopack"
"导入 BagaPie Geopack","Import a BagaPie Geopack"
"导入 Geopack","Import Geopack"
" 删除 Bagapie 实例置换修改器"," Remove Bagapie Instance Displace modifiers "
"移除 Bagapie 墙砖","Remove Bagapie Wall Brick"
"创建 Bagapie 实例置换","Create Bagapie Instance Displace"
"实现真实","Make Real"
"从选定对象的边缘或曲线创建墙壁","Creates walls from the edges of the selected object or from curves"
" 移除 Bagapie Ivy"," Remove Bagapie Ivy "
"移除 Bagapie Ivy","Remove Bagapie Ivy"
"创建常春藤。每个顶点都会生成一个新的常春藤。","Create Ivy. Each vertices generate a new ivy."
"常春藤家长","Ivy_Parent"
"在选定的 ivy 中创建一个新的 ivy 源。目标和 serrtings 将被共享","Create a new ivy source in the selected ivy. Target and serrtings will be shared"
"简单情态运算符","Simple Modal Operator"
"将选定对象添加到目标集合中。选择目标对象，然后选择 Ivy","Add selected object in target collection. Select Target Object then Ivy"
"添加对象目标","Add Object Target"
"从目标集合中移除选定对象。选择目标对象，然后选择 Ivy","Remove selected object from target collection. Select Target Object then Ivy"
"移除对象目标","Remove Object Target"
"BagaPie_Ivy_来源_","BagaPie_Ivy_Source_"
"应用常春藤修改器","Apply Ivy Modifier"
"申请常春藤","Apply Ivy"
"将创建大约 {} 个多边形。","About {} polygons will be created."
"继续 ？","Continue ?"
"根据常春藤的父级（空对象）移除常春藤。","Remove ivy based on his parent (Empty Object)."
"移除单枝常春藤","Remove Single Ivy"
" 删除 Bagapie Pipes 修饰符"," Remove Bagapie Pipes modifiers "
"移除 Bagapie 管道","Remove Bagapie Pipes"
"添加管道","Add Pipes"
" 删除 Bagapie Point Effector 修改器"," Remove Bagapie Point Effector modifiers "
"移除 Bagapie 点效应器","Remove Bagapie Point Effector"
"BagaPie_Effector","BagaPie_Effector"
" 删除 Bagapie Point Snap 实例"," Remove Bagapie Point Snap Instance "
"删除 Bagapie Point Snap 实例","Remove Bagapie Point Snap Instance"
"在选定的网格表面上的每个点击处添加实例","Add instance at each clic on the selected mesh surface"
" 删除 Bagapie 代理修饰符"," Remove Bagapie Proxy modifiers "
"删除 Bagapie 代理","Remove Bagapie Proxy"
"创建仅在视口中可见的凸包","Create convex hull visible only in the viewport"
"在一个或多个选定对象上找到代理","Proxy found on one or more of the selected objects"
"在选定的对象上禁用代理？","Disable proxy on selected objects ?"
"BagaPie_Proxy","BagaPie_Proxy"
"将选定的对象另存为资产（预览生成可能会失败）","Save as asset the selected object (preview generation may fail)"
"选择库","Select Library"
"具有相同名称的对象已存在。","Object with the same name already exist."
"新名称","New name"
"此名称已存在。","This name already exist."
"该资产将取代现有资产。","This asset will replace the existing one."
"現在名字：","Current name : "
"替换现有资产。","Replace existing asset."
"如果启用了替换，","If replace is enabled,"
"如果同名资产已经存在，","and if an asset of the same name already exists,"
"它将被这项新资产取代。","it will be replaced by this new asset."
"保存选定对象的活动材料（预览生成可能会失败）","Save active material from selected object (preview generation may fail)"
"具有相同名称的材质已存在。","Material with the same name already exist."
"新名称","New Name"
"启用/禁用库","Enable/Disable Library"
"使用库","Use Library"
" 删除 Bagapie Scatter Paint 修改器"," Remove Bagapie Scatter Paint modifiers "
"去除 Bagapie 散漆","Remove Bagapie Scatter Paint"
"通过在活动对象（最后选定的对象）上绘制选定对象来实例化选定对象。此函数的精度取决于网格的密度","Instantiates selected objects by painting them on the active object (the last selected). The precision of this function depends on the density of the mesh"
"最小距离","Distance Min"
"密度","Density"
"最小缩放","Scale Min"
"最大缩放","Scale Max"
"随机旋转","Randomize Rotation"
"对齐法线","Align to Normal"
"巴加维尔集团","BagaVertGrp"
"BagaPie_ScatterPaint","BagaPie_ScatterPaint"
"顶点组","Vertex Group"
"BagaScatter","BagaScatter"
"散点组输入","Scatter Group Input"
"散点组输出","Scatter Group Output"
"连接层","Join Layer"
" 删除 Bagapie Scatter 修改器"," Remove Bagapie Scatter modifiers "
"移除 Bagapie 散射","Remove Bagapie Scatter"
"将选定的对象分散到活动对象（最后选定的对象）","Scatter selected objects to the active object (last selected)"
"性能优化：","Performance optimization :"
"分散创建","Scatter create "
"使用代理","Use Proxy"
"显示的实例（百分比）","Displayed Instances in %"
"一个或多个对象多边形数量超出偏好设置的限制","One or more object polycount surpasses limit in preferences"
"代理将自动应用于它们。","Proxy will be auto-applied on them."
"禁用方法：插件面板 > Scatter > Proxy","To disable: Addon Panel > Scatter > Proxy"
"使用相机剔除","Use Camera Culling"
"分散创建  ","Scatter create  "
"不适用您的目标规模。","The scale of your target is not applied."
"应用比例","Apply Scale"
"影响粒子数量并避免实例变形。","Affects particules count and avoid instances deformation."
"BagaPie_Scatter","BagaPie_Scatter"
"BagaPie_Scatter_Main","BagaPie_Scatter_Main"
"插座_{}","Socket_{}"
"使用属性","Use Property"
"在集合中启用/禁用代理","Enable/Disable Proxy in collection"
"在资产上使用代理","Use Proxy On Assets"
"启用/禁用/添加相机剔除","Enable/Disable/Add Camera Culling"
"应用散射修改器","Apply Scatter Modifier"
"应用散点图","Apply Scatter"
"所有散射层都将被转换。","All scatter layers will be converted."
"转换为网格","Convert To Mesh"
"让实例真实化","Make Instances Real"
"推荐的选项。","Recommended option."
"将应用所有散射层。","All scatter layers will be applied."
"实例将被转换成对象。","Instances will be converted into objects."
"所有实例都将合并为一个网格。","All instances will be merged into a single mesh."
"警告 ：","Warning :"
"将网格 UV 转换为属性。","Convert to mesh turn UVs to Attribute."
"您可以在属性面板中恢复 UV：","You can restore UVs in the attribute panel :"
"对象数据特性 > 属性","Object Data Properties > Attributes"
"另外，请注意多边形数量。","Also, pay attention to the polycount."
" 删除 Bagapie Siding 修改器"," Remove Bagapie Siding modifiers "
"移除 Bagapie 壁板","Remove Bagapie Siding"
"在选定的网格上添加侧线生成器。仅在与 X/Y/Z 轴相切的面上。","Add Siding generator on the selected mesh. Only on tangent faces with X/Y/Z axis."
" 删除 Bagapie 线性楼梯修改器"," Remove Bagapie Linear Stair modifiers "
"移除 Bagapie 楼梯线性","Remove Bagapie Stair Linear"
"创建线性楼梯","Create Linear Stair"
" 删除 Bagapie 螺旋楼梯修饰符"," Remove Bagapie Spiral Stair modifiers "
"移除 Bagapie 楼梯螺旋","Remove Bagapie Stair Spiral"
" 删除 Bagapie Tiles 修改器"," Remove Bagapie Tiles modifiers "
"移除 Bagapie 瓷砖","Remove Bagapie Tiles"
"创建图块","Create Tiles"
" 删除 Bagapie 变形修改器"," Remove Bagapie Deform modifiers "
"移除 Bagapie 变形","Remove Bagapie Deform"
"巴嘎派","BagaPie"
"曲线变形","Curve Deform"
"画","Draw"
"资源浏览器","Asset Browser"
"建筑学","Architecture"
"散射","Scattering"
"散点画","Scatter Paint"
"Snap 资产","Snap Asset"
"形变","Deformation"
"效应器","Effector"
"无可用分散","No Scatter available"
"管理","Manage"
"教程","Tutorial"
"教程","Tutorials"
"文档","Documentation"
"BagaPie UIList。","BagaPie UIList."
"BagaPie 修改器","BagaPie Modifier"
"修饰符属性：","Modifier Properties :"
"墙高","Wall Height"
"壁厚","Wall Thickness"
"墙轴偏移","Wall Axis Offset"
"高度","Height"
"厚度","Thickness"
"材料 ：","Material :"
"行数","Row Count"
"行偏移","Row Offset"
"水平偏移","Horizontal Offset"
"翻动","Flip"
"随机的","Random"
"最小/最大位置","Position Min / Max"
"旋转最小值/最大值","Rotation Min / Max"
"缩放最小值/最大值","Scale Min / Max"
"规模","Scale"
"管道","Pipe"
"聚","Poly"
"配置文件解析","Profile Resolution"
"抵消","Offset"
"精确","Precision"
"解决","Resolution"
"斜角","Bevel"
"末端斜角","End Bevel"
"连接点","Junctions"
"深度","Depth"
"支持","Support"
"可能性","Probability"
"使用阀门","Use Valve"
"使用连接","Use Jonctions"
"使用支持","Use Support"
"使用管端","Use Pipe End"
"风俗 ：","Custom :"
"使用自定义阀门","Use Custom Valve"
"使用自定义连接","Use Custom Jonctions"
"支持自定义配置文件","Support Custom Profile"
"目标 ：","Target :"
"材料","Materials"
"连接点","Jonction"
"阀门","Valve"
"尖端","Tips"
"该修改器破坏了 UV。","This modifier break UVs."
"你仍然可以将 UV 作为属性","You can still get UVs as an attribute"
"一旦应用了修饰符：","Once the modifier is applied :"
"Prop > Obj 数据 Prop > 属性","Prop > Obj Data Prop > Attributes"
"边数","Sides Count"
"截面高度","Section Height"
"级别","Levels"
"直径","Diameter"
"对角线","Diagonal"
"光束","Beam"
"轮廓","Profile"
"三角测量","Triangulate"
"材料","Material"
"主要的","Main"
"台阶高度","Step Height"
"宽度","Width"
"特性","Properties"
"使用扶手","Use Handrail"
"使用玻璃","Use Glass"
"纵梁","Stringers"
"偏移 X","Offset X"
"偏移 Y","Offset Y"
"扶手","Handrail"
"栏杆半径","Balusters Radius"
"栏杆距离","Balusters Distance"
"扶手分辨率","Handrail Resolution"
"玻璃尺寸","Glass Size"
"玻璃偏移","Glass Offset"
"玻璃","Glass"
"栏杆","Baluster"
"斯特林格","Stringer"
"步","Step"
"瓦","Tile"
"程序","Procedural"
"风俗","Custom"
"宽度偏移","Width Offset"
"角瓦","Angle Tile"
"重新分区","Repartition"
"比艾斯","Biais"
"叠加X","Superposition X"
"叠加 Y","Superposition Y"
"移位 X","Shift X"
"角度","Angle"
"内部偏移量","Int Offset"
"斜角数","Bevel Count"
"尺寸","Size"
"混合","Blend"
"捻","Twist"
"顶点 X","Vertices X"
"顶点 Y","Vertices Y"
"使用自定义网格","Use Custom Mesh"
"台阶厚度","Step Thickness"
"倒置","Invert"
"左边","Left"
"正确的","Right"
"栏杆距离","Baluster Distance"
"玻璃高度","Glass Height"
"玻璃宽度","Glass Width"
"柱子","Column"
"大号","L"
"R","R"
"偏移 Z","Offset Z"
"模块长度","Module Length"
"玻璃","GLass"
"部分","Proportion"
"使用连接器","Use Connector"
"曲线分辨率","Curve Resolution"
"水平栏杆","Horizontal Baluster"
"玻璃连接器","Glass Connector"
"栅栏偏移","Fence Offset"
"墙","Wall"
"厚度均匀","Even Thickness"
"帽檐","Cap Flashing"
"自动平滑","Auto Smooth"
"垂直栅栏","Fence Vertical"
"端壁偏移","End Wall Offset"
"缩放随机","Scale Random"
"缩放 Z 轴随机","Scale Z Random"
"随机切线","Random Tangent"
"随机轴","Random Axis"
"木材柱","Timber Post"
"间距","Spacing"
"固定","Fixation"
"尺寸","Dimmensions"
"水平的","Horizontal"
"底部偏移","Base Offset"
"顶部偏移","Top Offset"
"满的","Full"
"金属丝","Wire"
"栅栏","Fence"
"主要支撑","Main Support"
"谢谢 ！","Thanks !"
"感谢 Zeroskilz。","Thanks to Zeroskilz."
"他创造了曲线到网格","He created the Curve to Mesh"
"均匀厚度节点！","Even Thickness node !"
"保持原始","Keep Original"
"X 轴","X Axis"
"Y 轴","Y Axis"
"Z 轴","Z Axis"
"形状","Shape"
"重力","Gravity"
"刚性","Rigidity"
"光滑的","Smooth"
"起始偏移","Start Offset"
"起始刚度","Start Rigidity"
"边缘碰撞","Edge Collision"
"简介","Profil"
"线缆数量","Cable Count"
"电缆半径","Cable Radius"
"随机化","Randomize"
"半径噪声","Radius Noise"
"半径噪波比例","Radius Noise Scale"
"每条曲线的半径","Radius per Curve"
"半径偏移","Radius offset"
"倾斜噪音","Tilt Noise"
"倾斜噪声比例","Tilt Noise Scale"
"戒指","Rings"
"使固定","Fix"
"曲线","Curves"
"位置","Position"
"环偏移","Ring Offset"
"环偏移 Z","Ring Offset Z"
"与向量对齐","Align to Vector"
"向量","Vector"
"目标","Target"
"对齐曲线","Align to Curve"
"分钟","Min"
"最大限度","Max"
"重命名图层","Rename Layer"
"最大密度","Density Max"
"% 视口显示","% Viewport Display"
"对齐法线","Align Normal"
"工具","Tools"
"选择图层","Select Layer"
"添加资产","Add Assets"
"来源 ：","Source :"
"查看 3D","View 3D"
"移除资产","Remove Assets"
"代理人","Proxy"
"相机剔除","Camera Culling"
"图层集合：","Layer Collection :"
"画 ！","Paint !"
"透明漆","CLEAR PAINT"
"反转油漆","INVERT PAINT"
"添加粒子","Add particles"
"去除颗粒","Remove particles"
"出口 ！","EXIT !"
"油漆分辨率取决于","Paint resolution depend"
"在你的表面分辨率上！","on your surface resolution !"
"如果有必要，","If necessary,"
"细分你的表面。","subdivide your surface."
"纹理蒙版","Texture Mask"
"事实","Fac"
"位置 ：","Position :"
"反转蒙版","Invert Mask"
"教程和资产！","Tuto & Assets !"
"散点图教程","Scatter Tutorial"
"获取 BagaPie 资产！","Get BagaPie Assets !"
"细分","Subdivision"
"细分渲染","Subdivision Render"
"置换","Displace"
"方向","Direction"
"质地","Texture"
"进入“纹理”选项卡。","Go in Texture tab."
"映射","Mapping"
"目的","Object"
"亮度","Brightness"
"斜坡最小值","Ramp Min"
"最大坡度","Ramp Max"
"添加","ADD"
"消除","REMOVE"
"清洁油漆","CLEAN PAINT"
"源集合","Source Collection"
"对齐 Z","Align Z"
"当前层：","Current Layer :"
"轴","Axis"
"使用相对偏移","Use Relative Offset"
"相对抵消","Ralative Offset"
"使用恒定偏移","Use Constant Offset"
"窗口大小","Window Size"
"窗口偏移","Window Offset"
"窗口斜面","Window Bevel"
"按距离合并","Merge by Distance"
"更多窗口！","More Window !"
"出口","EXIT"
"选择窗口的边界框","Selects the bounding box of the window"
"效应器集合：","Effector Collection :"
"最大距离","Distance Max"
"相机 ：","Camera :"
"X 比率","X Ratio"
"Y 比率","Y Ratio"
"剔除分辨率取决于","Culling resolution depend"
"布尔类型","Boolean Type"
"使用自身","Use self"
"孔容差","Hole Tolerant"
"布尔目标","Boolean Target"
"斜角段","Bevel Segments"
"布尔对象","Boolean Object"
"使用 Solidify","Use Solidify"
"禁用实体化","Disable Solidify"
"镜像 XYZ","Mirror XYZ"
"更多布尔值！","More Boolean !"
"将 Ivy 添加到 3D 光标","Add Ivy to 3D Cursor"
"常春藤","Ivy"
"螺旋","Spiral"
"电网项目","Grid Project"
"查看指南","View Guide"
"环形","Loop"
"屠杀","Decimate"
"发射面积","Emission Area"
"表面偏移","Surface Offset"
"常春藤随机位置","Ivy Random Position"
"收藏","Collections"
"资产","Asset"
"发射器","Emitter"
"添加实例","Add Instances"
"退出以停止","ESCAPE to Stop"
"信息来源","Source info"
"实例","Instances"
"草着色器：","Grass Shader :"
"材料","Material "
"饱和","Saturation"
"AO 白色","AO White"
"AO 距离","AO Distance"
"半透明","Translucent"
"色调强度","Tint Intensity"
"随机色调","Random Tint"
"随机亮度","Random Brightness"
"随机饱和度","Random Saturation"
"季节","Season"
"随机赛松","Random Saison"
"季节值高达 0.9","Season value up to 0.9"
"这个值增加了透明度。","This value add transparency."
"可能会增加渲染时间！","May increase render time !"
"减少季节或随机季节","Decrease Season or Random Season"
"镜面反射","Specular"
"粗糙度","Roughness"
"植物着色器：","Plant Shader :"
"颜色","Color"
"使用 AO","Use AO"
"地下","Subsurface"
"随机季节","Random Season"
"阿尔法","Alpha"
"岩石着色器：","Rock Shader :"
"着色","Tint"
"撞","Bump"
"临界点","Threshold"
"强度","Intensity"
"环境光遮蔽","Ambient Occlusion"
"AO（地图）","AO (Map)"
"AO 已禁用","AO disabled"
"AO 强度","AO Intensity"
"AO","AO"
"AO 色调","AO Tint"
